Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Germany","","","DEUB020","","SPO-DEUB020_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","1990","668.550","ug/m3","30.74","","Background","rural","11.3937","53.6375","59.0","Schwerin                                                                        ","DE031C1                                           ","95653","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEUB020","","SPO-DEUB020_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max-per99.18","1 year 99.18 percentile of daily maximum","1990","242.394","ug/m3","30.69","","Background","rural","11.3937","53.6375","59.0","Schwerin                                                                        ","DE031C1                                           ","95653","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEUB020","","SPO-DEUB020_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max-per99.73","1 year 99.73 %ile of hourly values in a given year","1990","449.600","ug/m3","30.74","","Background","rural","11.3937","53.6375","59.0","Schwerin                                                                        ","DE031C1                                           ","95653","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENW054","","SPO-DENW054_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max25","1 year hour max 25","1990","105.000","ug/m3","93.88","","Background","suburban","7.0060","51.0384","45.0","Leverkusen                                                                      ","DE519C1                                           ","163729","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENW054","","SPO-DENW054_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-per50","1 year 50 percentile","1990","20.000","ug/m3","93.88","","Background","suburban","7.0060","51.0384","45.0","Leverkusen                                                                      ","DE519C1                                           ","163729","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENW055","","SPO-DENW055_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-max25","1 year hour max 25","1990","122.000","ug/m3","95.27","","Background","suburban","6.8789","50.9549","50.0","Köln                                                                            ","DE004C1                                           ","1087863","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENW055","","SPO-DENW055_00001_100","SO2","Sulphur dioxide (air)","P1Y-hr-per50","1 year 50 percentile","1990","20.000","ug/m3","95.27","","Background","suburban","6.8789","50.9549","50.0","Köln                                                                            ","DE004C1                                           ","1087863","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DESH012","","SPO-DESH012_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","1990","14.708","ug/m3","15.34","","Background","suburban","10.1044","54.3442","25.0","Kiel                                                                            ","DE039C1                                           ","246794","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DENW048","","SPO-DENW048_00001_100","SO2","Sulphur dioxide (air)","P1Y-daysAbove125","1 year day exceed 125","1990","0.000","count","94.52","","Background","suburban","6.8592","51.1888","40.0","Düsseldorf                                                                      ","DE011C1                                           ","621877","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"Germany","","","DEUB020","","SPO-DEUB020_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max4","1 year day max 4","1990","212.615","ug/m3","30.69","","Background","rural","11.3937","53.6375","59.0","Schwerin                                                                        ","DE031C1                                           ","95653","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
