Air Quality Station EoI Code,Air Pollutant,Date,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Linke,Gruene,SPD,FDP,CDU,AfD,Others
DEBE064,PM10,2021,24.32,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
DEBE032,PM10,2021,15.222,ug/m3,Background,Rural,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
DEBE068,PM10,2016,22.032,ug/m3,Background,Urban,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE064,PM10,2016,29.331,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE051,PM10,2016,20.449,ug/m3,Background,Suburban,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE010,PM10,2016,20.995,ug/m3,Background,Urban,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE063,PM10,2016,25.933,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE063,PM10,2021,27.761,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
DEBE034,PM10,2016,22.816,ug/m3,Background,Urban,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE061,PM10,2016,24.659,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE010,PM10,2021,16.2,ug/m3,Background,Urban,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
DEBE069,PM10,2016,25.549,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE056,PM10,2021,15.263,ug/m3,Background,Rural,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
DEBE065,PM10,2021,22.863,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
DEBE032,PM10,2016,17.027,ug/m3,Background,Rural,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE065,PM10,2016,27.593,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.875,16.875,23.75,7.5,19.375,15.625,0.0
DEBE126,PM10,2021,23.214,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
DEBE069,PM10,2021,22.182,ug/m3,Traffic,Urban,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
DEBE034,PM10,2021,17.482,ug/m3,Background,Urban,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
DEBE051,PM10,2021,16.541,ug/m3,Background,Suburban,BE,Berlin,Berlin,16.3265306122449,21.768707482993197,24.489795918367346,8.16326530612245,20.40816326530612,8.843537414965986,0.0
