Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEBB045,CO,2017,0.389,mg/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB054,CO,2014,0.425,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,CO,2024,0.262,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB032,CO,2013,0.269,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,CO,2018,0.261,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,CO,2025,0.162,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB054,CO,2015,0.397,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,CO,2016,0.368,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,CO,2018,0.358,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,CO,2022,0.225,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB086,CO,2014,0.287,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBB099,CO,2017,0.314,mg/m3,Traffic,Suburban,BB,Märkisch-Oderland,Rüdersdorf bei Berlin
DEBB099,CO,2018,0.301,mg/m3,Traffic,Suburban,BB,Märkisch-Oderland,Rüdersdorf bei Berlin
DEBB045,CO,2018,0.383,mg/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB045,CO,2015,0.424,mg/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB054,CO,2017,0.36,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,CO,2021,0.311,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB110,CO,2019,0.227,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz
DEBB110,CO,2020,0.223,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz
DEBB110,CO,2023,0.186,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz
DEBB086,CO,2020,0.216,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBB086,CO,2021,0.249,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBE065,CO,2014,0.443,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBE065,CO,2024,0.298,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBB087,CO,2016,0.349,mg/m3,Traffic,Urban,BB,Cottbus,Cottbus
DEBE065,CO,2022,0.297,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBB032,CO,2017,0.229,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,CO,2022,0.192,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,CO,2014,0.276,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB110,CO,2024,0.168,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz
DEBW019,CO,2016,0.161,mg/m3,Background,Urban,BW,Ulm,Ulm
DEBW080,CO,2022,0.223,mg/m3,Traffic,Urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBB054,CO,2013,0.447,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBE061,CO,2018,0.371,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBE061,CO,2019,0.35,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBE061,CO,2021,0.321,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBB045,CO,2019,0.355,mg/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB086,CO,2018,0.262,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBW098,CO,2021,0.236,mg/m3,Traffic,Urban,BW,Mannheim,Mannheim
DEBE065,CO,2018,0.357,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBE065,CO,2019,0.348,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBE065,CO,2020,0.315,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBE065,CO,2021,0.331,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBE065,CO,2023,0.296,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBW022,CO,2015,0.151,mg/m3,Industrial,Suburban,BW,Ortenaukreis,Kehl
DEBB045,CO,2020,0.348,mg/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB032,CO,2024,0.201,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB110,CO,2022,0.17,mg/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz
DEBW033,CO,2013,0.253,mg/m3,Background,Urban,BW,Pforzheim,Pforzheim
DEBW033,CO,2014,0.215,mg/m3,Background,Urban,BW,Pforzheim,Pforzheim
DEBW033,CO,2016,0.205,mg/m3,Background,Urban,BW,Pforzheim,Pforzheim
DEBB032,CO,2015,0.268,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,CO,2019,0.241,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,CO,2023,0.225,mg/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB045,CO,2023,0.298,mg/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB045,CO,2024,0.277,mg/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB045,CO,2025,0.21,mg/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB099,CO,2015,0.364,mg/m3,Traffic,Suburban,BB,Märkisch-Oderland,Rüdersdorf bei Berlin
DEBB099,CO,2016,0.331,mg/m3,Traffic,Suburban,BB,Märkisch-Oderland,Rüdersdorf bei Berlin
DEBB054,CO,2023,0.272,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB054,CO,2020,0.314,mg/m3,Traffic,Urban,BB,Potsdam,Potsdam
DEBB086,CO,2022,0.187,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBB086,CO,2017,0.255,mg/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBB087,CO,2015,0.341,mg/m3,Traffic,Urban,BB,Cottbus,Cottbus
