Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEUB020,SO2,1990,668.55,ug/m3,Background,rural,MV,Schwerin,Schwerin
DEUB020,SO2,1990,242.394,ug/m3,Background,rural,MV,Schwerin,Schwerin
DEUB020,SO2,1990,449.6,ug/m3,Background,rural,MV,Schwerin,Schwerin
DENW054,SO2,1990,105.0,ug/m3,Background,suburban,NW,Leverkusen,Leverkusen
DENW054,SO2,1990,20.0,ug/m3,Background,suburban,NW,Leverkusen,Leverkusen
DENW055,SO2,1990,122.0,ug/m3,Background,suburban,NW,Köln,Köln
DENW055,SO2,1990,20.0,ug/m3,Background,suburban,NW,Köln,Köln
DESH012,SO2,1990,14.708,ug/m3,Background,suburban,SH,Kiel,Kiel
DENW048,SO2,1990,0.0,count,Background,suburban,NW,Düsseldorf,Düsseldorf
DEUB020,SO2,1990,212.615,ug/m3,Background,rural,MV,Schwerin,Schwerin
DENW056,SO2,1990,156.0,ug/m3,Background,suburban,NW,Köln,Köln
DESH012,SO2,1990,214.0,ug/m3,Background,suburban,SH,Kiel,Kiel
DENW023,SO2,1990,0.0,count,Background,suburban,NW,Herne,Herne
DENW054,SO2,1990,65.522,ug/m3,Background,suburban,NW,Leverkusen,Leverkusen
DENW026,SO2,1990,22.082,ug/m3,Background,suburban,NW,Essen,Essen
DESN009,SO2,1990,128.954,ug/m3,Background,suburban,SN,Chemnitz,Chemnitz
DENW036,SO2,1990,170.0,ug/m3,Background,suburban,NW,Wesel,Moers
DEBE034,SO2,1990,750.0,ug/m3,Background,urban,BE,Berlin,Berlin
DEBW083,SO2,1990,0.0,count,Traffic,urban,BW,Freiburg im Breisgau,Freiburg im Breisgau
DEBW083,O3,1990,148.544,ug/m3,Traffic,urban,BW,Freiburg im Breisgau,Freiburg im Breisgau
DEBW036,SO2,1990,50.548,ug/m3,Background,urban,BW,Tübingen,Tübingen
DEBW036,O3,1990,209.75,ug/m3,Background,urban,BW,Tübingen,Tübingen
DEBE009,SO2,1990,22.0,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE012,SO2,1990,27.0,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE014,SO2,1990,344.0,ug/m3,Traffic,urban,BE,Berlin,Berlin
DEBE015,SO2,1990,27.0,count,Traffic,urban,BE,Berlin,Berlin
DEBE016,SO2,1990,32.0,ug/m3,Background,urban,BE,Berlin,Berlin
DEBE017,SO2,1990,147.625,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE018,SO2,1990,35.875,ug/m3,Background,urban,BE,Berlin,Berlin
DEBE018,SO2,1990,29.0,count,Background,urban,BE,Berlin,Berlin
DEBE018,SO2,1990,15.0,count,Background,urban,BE,Berlin,Berlin
DEBE021,SO2,1990,240.875,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE021,SO2,1990,27.0,count,Background,suburban,BE,Berlin,Berlin
DEBE026,SO2,1990,7.0,count,Industrial,rural,BE,Berlin,Berlin
DEBE027,SO2,1990,416.0,ug/m3,Industrial,rural,BE,Berlin,Berlin
DEBW001,SO2,1990,0.0,count,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBE032,SO2,1990,283.0,ug/m3,Background,rural,BE,Berlin,Berlin
DEBW002,SO2,1990,23.242,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBW002,SO2,1990,19.75,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBE033,NO2,1990,111.0,ug/m3,Industrial,urban,BE,Berlin,Berlin
DEBY043,SO2,1990,130.0,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBY045,NO2,1990,50.521,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBW001,SO2,1990,81.47,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBW007,SO2,1990,25.976,ug/m3,Background,urban,BW,Mannheim,Mannheim
DEBW009,SO2,1990,15.152,ug/m3,Traffic,urban,BW,Heidelberg,Heidelberg
DEBW039,SO2,1990,143.05,ug/m3,Background,suburban,BW,Schwarzwald-Baar-Kreis,Villingen-Schwenningen
DEBW011,SO2,1990,13.624,ug/m3,Traffic,urban,BW,Stuttgart,Stuttgart
DEBW011,SO2,1990,176.45,ug/m3,Traffic,urban,BW,Stuttgart,Stuttgart
DEBW012,SO2,1990,84.533,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW012,O3,1990,193.9,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW014,SO2,1990,14.05,ug/m3,Industrial,suburban,BW,Stuttgart,Stuttgart
DEBY054,SO2,1990,12.0,ug/m3,Traffic,urban,BY,Nürnberg,Nürnberg
DEBY054,SO2,1990,0.0,count,Traffic,urban,BY,Nürnberg,Nürnberg
DEBW024,SO2,1990,133.1,ug/m3,Background,suburban,BW,Ludwigsburg,Ludwigsburg
DEBY057,SO2,1990,223.0,ug/m3,Background,urban,BY,Nürnberg,Nürnberg
DEBY057,SO2,1990,148.0,ug/m3,Background,urban,BY,Nürnberg,Nürnberg
DEBY058,SO2,1990,76.833,ug/m3,Background,urban,BY,Nürnberg,Nürnberg
DEBY057,SO2,1990,89.083,ug/m3,Background,urban,BY,Nürnberg,Nürnberg
DEBY057,SO2,1990,0.0,count,Background,urban,BY,Nürnberg,Nürnberg
DEBW025,NO2,1990,46.045,ug/m3,Background,urban,BW,Esslingen,Esslingen am Neckar
DEBY057,NO2,1990,132.0,ug/m3,Background,urban,BY,Nürnberg,Nürnberg
DEBW038,SO2,1990,0.0,count,Traffic,urban,BW,Bodenseekreis,Friedrichshafen
DEHE021,SO2,1990,89.432,ug/m3,Traffic,urban,HE,Wiesbaden,Wiesbaden
DEBY068,SO2,1990,80.5,ug/m3,Traffic,urban,BY,Schweinfurt (Kreisfreie Stadt),Schweinfurt
DEBY003,SO2,1990,13.506,ug/m3,Background,urban,BY,Aschaffenburg (Kreisfreie Stadt),Aschaffenburg
DEBW014,NO2,1990,34.218,ug/m3,Industrial,suburban,BW,Stuttgart,Stuttgart
DEBY077,SO2,1990,133.833,ug/m3,Background,suburban,BY,Würzburg (Kreisfreie Stadt),Würzburg
DEHE035,NO2,1990,55.0,ug/m3,Traffic,urban,HE,Kassel (Kreisfreie Stadt),Kassel
DENI011,SO2,1990,218.5,ug/m3,Background,suburban,NI,Braunschweig,Braunschweig
DEBW051,NO2,1990,0.0,count,Background,urban,BW,Heilbronn (Stadtkreis),Heilbronn
DEBW052,SO2,1990,1.0,count,Background,urban,BW,Konstanz,Konstanz
DEBW052,SO2,1990,261.3,ug/m3,Background,urban,BW,Konstanz,Konstanz
DEBE001,SO2,1990,38.568,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE001,O3,1990,126.125,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE001,O3,1990,124.75,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE004,SO2,1990,316.0,ug/m3,Background,rural,BE,Berlin,Berlin
DEBY076,O3,1990,50.375,ug/m3,Traffic,urban,BY,Würzburg (Kreisfreie Stadt),Würzburg
DEBY076,O3,1990,8.25,ug/m3,Traffic,urban,BY,Würzburg (Kreisfreie Stadt),Würzburg
DEBY015,NO2,1990,153.0,ug/m3,Background,urban,BY,Erlangen,Erlangen
DEBY016,SO2,1990,158.708,ug/m3,Background,suburban,BY,Erlangen,Erlangen
DEBY016,SO2,1990,0.0,count,Background,suburban,BY,Erlangen,Erlangen
DEHH001,SO2,1990,19.614,ug/m3,Background,urban,HH,Hamburg,Hamburg
DEHH002,SO2,1990,7.0,count,Background,urban,HH,Hamburg,Hamburg
DEHH002,SO2,1990,235.0,ug/m3,Background,urban,HH,Hamburg,Hamburg
DEHH003,SO2,1990,353.0,ug/m3,Background,urban,HH,Hamburg,Hamburg
DEHH003,SO2,1990,226.0,ug/m3,Background,urban,HH,Hamburg,Hamburg
DEHH005,SO2,1990,17.747,ug/m3,Background,suburban,HH,Hamburg,Hamburg
DEHE003,NO2,1990,111.477,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHE004,NO2,1990,184.5,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHE007,SO2,1990,12.5,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHH007,NO2,1990,49.676,ug/m3,Background,suburban,HH,Hamburg,Hamburg
DEBW024,SO2,1990,19.456,ug/m3,Background,suburban,BW,Ludwigsburg,Ludwigsburg
DEBW024,SO2,1990,0.0,count,Background,suburban,BW,Ludwigsburg,Ludwigsburg
