Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEBB029,O3,2015,52.853,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB029,O3,2017,50.454,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB021,O3,2015,46.594,ug/m3,Background,Urban,BB,Potsdam,Potsdam
DEBB021,O3,2014,45.325,ug/m3,Background,Urban,BB,Potsdam,Potsdam
DEBB021,O3,2017,47.439,ug/m3,Background,Urban,BB,Potsdam,Potsdam
DEBB065,O3,2020,53.953,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig
DEBB065,O3,2023,59.511,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig
DEBB063,O3,2024,57.057,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge
DEBB032,O3,2013,52.14,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB029,O3,2016,48.407,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB042,O3,2014,47.985,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder)
DEBB064,O3,2017,52.327,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB064,O3,2018,59.982,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB064,O3,2023,61.143,ug/m3,Background,Urban,BB,Cottbus,Cottbus
DEBB032,O3,2016,49.774,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB032,O3,2021,53.692,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt
DEBB048,O3,2021,50.141,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB048,O3,2022,55.559,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB048,O3,2023,52.786,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin
DEBB053,O3,2015,53.104,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz
DEBB053,O3,2016,49.704,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz
DEBB053,O3,2017,51.712,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz
DEBB053,O3,2021,53.037,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz
DEBB075,O3,2024,53.012,ug/m3,Background,Suburban,BB,Potsdam,Potsdam
DEBB067,O3,2021,50.532,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB067,O3,2022,54.394,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB067,O3,2025,57.523,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB067,O3,2016,46.898,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB067,O3,2018,54.567,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB067,O3,2019,54.155,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB067,O3,2023,55.329,ug/m3,Background,Suburban,BB,Havelland,Nauen
DEBB086,O3,2017,45.282,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBB086,O3,2020,50.682,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow
DEBB029,O3,2013,54.446,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB029,O3,2018,56.33,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB029,O3,2020,53.675,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder
DEBB065,O3,2017,47.565,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig
DEBE056,O3,2020,53.867,ug/m3,Background,Rural,BE,Berlin,Berlin
DEBB066,O3,2019,56.205,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald
DEBB066,O3,2024,52.367,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald
