Wolfsburg,2025,3
Bremerhaven,2002,3
Walsrode,2005,3
Wittenberg,2005,3
Raunheim,2018,2
Raunheim,2007,2
Mannheim,2009,2
Mainz,2002,2
Fürth,2010,3
Karlsruhe,2017,2
Neuwied,2011,2
Koblenz,2005,2
Aschaffenburg,2003,2
Kempten (Allgäu),2003,3
Nürnberg,2023,2
Bremerhaven,2024,3
Heidenheim an der Brenz,2000,2
Frankfurt am Main,2002,3
Neuwied,2016,3
Bernburg (Saale),2004,3
Erfurt,2002,3
Koblenz,2024,3
Marburg,2015,3
Nordhausen,2000,4
Regensburg,2010,3
Wiesloch,1999,3
Ludwigshafen am Rhein,2010,3
Mainz,2024,3
Augsburg,2010,3
Blankenfelde-Mahlow,2020,3
Nordhausen,2006,3
Erlangen,2010,3
Freudenstadt,2000,3
Dillingen/Saar,2004,3
Heidenheim an der Brenz,2001,3
Bremen,2007,3
Passau,2012,3
Ansbach,2008,3
Wörth am Rhein,2020,3
Dallgow-Döberitz,2022,3
Würzburg,2002,3
Wittenberg,2023,3
Berlin,2013,3
Nordhausen,2001,3
Stendal,2015,3
Freiberg,2002,2
Göttingen,2020,2
Stuttgart,2020,2
Stralsund,2007,2
Osnabrück,2007,2
Schkopau,2003,2
Marburg,2019,2
Hamburg,2010,2
Freudenstadt,2001,2
Frankfurt (Oder),2014,2
Mannheim,2025,5
Halle (Saale),2007,2
Völklingen,2014,3
Passau,2003,2
Künzelsau,2002,2
Frankfurt (Oder),2008,3
Schweinfurt,2011,3
Bitterfeld-Wolfen,2017,3
Ludwigsburg,2000,3
Raunheim,2004,3
Limburg a.d. Lahn,2000,3
Nürnberg,2000,3
Schwedt/Oder,2006,4
Walsrode,1999,3
Bernburg (Saale),2002,3
Stendal,2019,3
Essen,2003,3
Regensburg,2011,3
Ulm,2012,3
Ludwigshafen am Rhein,2011,2
Duisburg,2001,2
Trier,2013,2
Aalen,2000,2
Hanau,2000,2
Ludwigshafen am Rhein,2016,2
Magdeburg,2020,2
Wernigerode,2023,2
Dillingen/Saar,2002,2
Hanau,2006,2
Friedrichshafen,2000,2
Ludwigsburg,2001,3
Rostock,2006,2
Ansbach,2009,3
Schwäbisch Hall,2003,2
Limburg a.d. Lahn,2001,2
Nürnberg,2001,3
Wolfsburg,2013,2
Heilbronn,2005,2
Koblenz,1999,3
Speyer,2012,3
Tübingen,2003,3
Kassel,2005,2
Mönchengladbach,2003,3
Freiburg im Breisgau,2006,2
Berlin,2021,3
Mainz,1999,2
Aalen,2001,2
Reutlingen,2022,2
Filderstadt,2005,2
Hanau,2001,2
Chemnitz,2005,2
Goslar,2004,2
Erfurt,2006,3
Passau,2010,2
Dillingen/Saar,2024,2
Duderstadt,2006,2
Berlin,2018,3
Frankfurt (Oder),2009,3
Osnabrück,2004,2
Waldshut-Tiengen,2009,2
Wittenberg,2001,3
Halle (Saale),2004,3
Sonnenbühl,2005,2
Raunheim,2002,2
Rastatt,2000,2
Villingen-Schwenningen,2003,3
Wiesbaden,2021,3
Potsdam,2007,3
Würzburg,2006,3
Dessau-Roßlau,2008,3
Limburg a.d. Lahn,2015,3
Trier,2021,3
Freiberg,2006,3
Kassel,2023,3
Leuna,2006,3
Darmstadt,2000,3
Wernigerode,2000,3
Marburg,2012,3
Zarrentin,2005,3
March-Umkirch,2001,3
Rastatt,2001,3
Darmstadt,2006,3
Garmisch-Partenkirchen,2022,3
Rostock,2015,3
Bautzen,2002,3
Raunheim,2024,3
Trier,2018,3
Bad Kreuznach(Verbandsfreie Geme,2023,3
Wörth am Rhein,2011,3
Leuna,2001,2
Freiburg im Breisgau,2015,2
Kaiserslautern,2020,2
Wörth am Rhein,2016,3
Saarbrücken,2020,2
Wolfsburg,2018,3
Wolfsburg,2007,3
Stuttgart,2011,3
Linden,2006,3
Goslar,2002,3
Darmstadt,2001,2
Wernigerode,2001,2
Göttingen,2016,2
Frankfurt (Oder),2025,2
Gransee und Gemeinden,2023,3
Stendal,2012,2
Hannover,2022,2
Stuttgart,2016,3
Klötze,2000,3
Kehl,2011,3
Kaiserslautern,2003,3
Erfurt,2015,2
Saarbrücken,2003,3
Stralsund,2002,3
Blankenfelde-Mahlow,2014,2
Heilbronn,1999,3
Kehl,2016,3
Osnabrück,2002,3
Rostocker Heide,2003,3
Goslar,2005,3
Halle (Saale),2002,3
Hettstedt,2005,2
Rostock,2019,3
Berlin,2004,2
Muldestausee,2005,2
Filderstadt,1999,2
Dessau-Roßlau,2009,2
Freiburg im Breisgau,2019,2
Göttingen,2014,2
Klötze,2001,2
Stuttgart,2014,2
Worms,2007,3
Rheinfelden (Baden),2002,2
Karlsruhe,2023,3
Würzburg,2015,3
Kassel,2000,3
Magdeburg,2011,3
Ulm,2014,3
Magdeburg,2016,3
Potsdam,2004,2
Halle (Saale),2024,3
Ulm,2008,3
Düsseldorf,2004,2
Darmstadt,2015,2
Wernigerode,2015,2
Biberach an der Riß,2004,2
Wildau,2024,2
Bad Kreuznach(Verbandsfreie Geme,2000,2
Marburg,2010,2
Böblingen,2005,2
Kassel,2001,2
Raunheim,2006,2
Rottweil,2003,2
Linden,2015,2
Kaiserslautern,2010,3
Speyer,2008,3
Saarbrücken,2010,3
Schönau,2005,4
Neu-Ulm,2002,3
Würzburg,2019,3
Eisenhüttenstadt,2020,3
Sonnenbühl,2000,4
Magdeburg,2014,4
Chemnitz,2001,3
Mannheim,2007,3
Wolfsburg,2004,3
Dallgow-Döberitz,2025,3
Offenbach am Main,2005,3
Bad Kreuznach(Verbandsfreie Geme,2001,3
Fulda,2021,3
Trostberg,2014,2
Kiel,2003,2
Darmstadt,2019,2
Berlin,2002,2
Bottrop,2002,2
Meiningen,2002,2
Mörfelden-Walldorf,2021,3
Hannover,2014,2
Neubrandenburg,2025,2
Fulda,2017,2
Sonnenbühl,2001,2
Waiblingen,2005,2
Cottbus,2005,3
Karlsruhe,2000,3
Linden,2019,3
Dortmund,2003,3
Braunschweig,2002,3
Bremen,2006,3
Berlin,2005,2
Potsdam,2002,3
Ulm,2009,3
Goslar,1999,3
Leipzig,2006,3
Düsseldorf,2002,3
Berlin,2024,3
Stralsund,2006,2
Naumburg (Saale),2000,2
Osnabrück,2006,2
Wittenberg,2020,3
Wetzlar,2006,3
Fürth,2013,3
Walsrode,2003,3
Rostock,2012,3
Halle (Saale),2006,2
Marburg,2008,3
Karlsruhe,2001,2
Schwedt/Oder,2003,2
Bremerhaven,2020,2
Kaiserslautern,2011,3
Saarbrücken,2011,3
Leipzig,2001,2
Kaiserslautern,2016,3
Saarbrücken,2016,3
Neuwied,2021,3
Koblenz,2020,3
Freiburg im Breisgau,2012,3
Calw,1999,3
Biberach an der Riß,2005,3
Pforzheim,2000,3
Potsdam,2024,3
Bremerhaven,2003,3
Isny im Allgäu,2000,3
Naumburg (Saale),2001,3
Wiesbaden,2005,2
Augsburg,2013,2
Koblenz,2003,2
Trier,2005,3
Erfurt,2012,3
Reutlingen,2025,2
München,2006,3
Neuwied,2017,2
Trostberg,2009,2
Mannheim,2004,2
Böblingen,1999,2
Mainz,2003,2
Limburg a.d. Lahn,2022,3
Nürnberg,2022,3
Heidelberg,2005,3
Pforzheim,2001,3
Salzgitter,2024,3
Isny im Allgäu,2001,3
Bitterfeld-Wolfen,2000,3
Raunheim,2019,3
Suhl,2000,3
Wolfsburg,2024,3
Frankfurt am Main,2003,3
Bremen,2015,3
Hamburg,2013,3
Sigmaringen,1999,4
Ansbach,2007,3
Würzburg,2012,3
Freiburg im Breisgau,2022,3
Osnabrück,2015,4
Schönau,2000,4
Bitterfeld-Wolfen,2001,3
Darmstadt,2012,4
Suhl,2001,3
Halle (Saale),2015,3
Wiesbaden,2023,4
Wittenberg,2022,3
Offenbach am Main,2000,3
Brandenburg an der Havel,2007,2
Witten,2005,2
Mühlhausen/Thüringen,2011,2
Berlin,1999,2
Bremerhaven,2010,2
Frankfurt (Oder),2007,2
Neuenburg am Rhein,2004,2
Eisenhüttenstadt,2011,3
Linden,2012,2
Bremen,2019,3
Eisenhüttenstadt,2016,2
Ludwigshafen am Rhein,2021,2
Schönau,2001,3
Waldshut-Tiengen,2007,2
Augsburg,2021,2
Braunschweig,2006,2
Pforzheim,2015,3
Potsdam,2006,2
Waiblingen,2000,3
Mainz,2010,3
Mannheim,2002,2
München,2015,3
Offenbach am Main,2001,3
Osnabrück,2019,3
Heilbronn,2020,3
Augsburg,2018,3
Halle (Saale),2019,3
Ludwigshafen am Rhein,2017,3
Biberach an der Riß,1999,3
Kassel,2020,3
Frankfurt am Main,2010,3
Mühlhausen/Thüringen,2014,3
Spremberg,2005,3
Erfurt,2010,3
Görlitz,2002,3
Bernburg (Saale),2003,3
Hamburg,2021,3
Wernigerode,2022,3
Darmstadt,2022,3
Bitterfeld-Wolfen,2015,3
Waiblingen,2001,2
Trier,1999,2
Mannheim,2024,2
Nürnberg,2014,2
Aachen,2005,2
München,2019,2
Dillingen/Saar,2003,2
Ansbach,2004,2
Hamburg,2018,2
Limburg a.d. Lahn,2008,2
Fulda,2005,2
Bremerhaven,2011,2
Würzburg,2010,2
Aalen,2014,3
Bremerhaven,2016,3
Koblenz,2011,3
Neuenburg am Rhein,2002,3
Koblenz,2016,2
Hanau,2008,3
Rostock,2008,3
Brandenburg an der Havel,2004,3
Esslingen am Neckar,2002,3
Mainz,2011,3
Braunschweig,2015,3
Mainz,2016,3
Frankfurt (Oder),2004,3
Worms,2006,3
Freiburg im Breisgau,2008,3
Wittenberg,2014,3
Plauen,2007,3
Raunheim,2003,3
Eggenstein-Leopoldshafen,2005,3
Heidelberg,2001,3
Dreisamtal,2005,3
Offenburg,2005,3
Fulda,2023,3
Gera,2000,3
Neuwied,2005,3
Bremen,2012,3
Wörth am Rhein,2017,3
Dillingen/Saar,2010,3
Braunschweig,2019,3
Bad Kreuznach(Verbandsfreie Geme,2022,3
Ansbach,2002,3
Potsdam,2019,3
Göttingen,2017,3
Stuttgart,2017,3
Würzburg,2008,4
Mannheim,2006,4
Osnabrück,2012,3
Dresden,2005,3
Aalen,2009,4
Wernigerode,2014,3
Leuna,2008,3
Rostock,2009,3
Tuttlingen,2002,3
Halle (Saale),2012,3
Gransee und Gemeinden,2022,3
Gera,2001,2
Mittleres Schussental,2002,4
Brandenburg an der Havel,2002,3
Goslar,2003,3
Bad Waldsee,2002,3
Darmstadt,2008,4
Wernigerode,2008,3
Freiburg im Breisgau,2009,3
Salzgitter,2019,3
Weiden i.d. OPf.,2000,3
Frankfurt (Oder),2002,2
Reutlingen,2018,2
Worms,2015,2
Pforzheim,2012,2
Waldshut-Tiengen,2002,2
Dreisamtal,2023,2
Raunheim,2010,2
Halle (Saale),2003,3
München,2012,2
Neuwied,2023,3
Marburg,2013,3
Heilbronn,2016,3
Magdeburg,2017,3
Dessau-Roßlau,2004,3
Fürth,2005,3
Karlsruhe,2022,3
Weiden i.d. OPf.,2001,3
Ulm,2007,3
Plauen,2004,2
Rheinfelden (Baden),2003,3
Dillingen/Saar,2011,3
Frankfurt (Oder),2024,3
Spremberg,2001,3
Fulda,2000,2
Burg,2002,3
Limburg a.d. Lahn,2025,3
Dillingen/Saar,2016,2
Regensburg,2005,2
Worms,2019,2
Stendal,2013,2
Ludwigshafen am Rhein,2005,2
Augsburg,2005,2
Eggenstein-Leopoldshafen,1999,2
Rostock,2025,2
Mannheim,2015,3
Erlangen,2005,3
Baden-Baden,2000,3
Kassel,2014,3
Fulda,2001,2
Wernigerode,2009,3
Darmstadt,2009,3
Freiburg im Breisgau,2025,3
München,2022,3
Stralsund,2010,3
Bad Kreuznach(Verbandsfreie Geme,2014,3
Neu-Ulm,2003,3
Osnabrück,2010,3
Trostberg,2007,3
Berlin,2020,3
Linden,2009,2
Hamburg,2005,3
Baden-Baden,2001,3
Halle (Saale),2010,5
Braunschweig,2012,3
Hannover,2007,3
Gransee und Gemeinden,2014,3
Ansbach,2006,3
Hamburg,2024,3
Berlin,2003,3
Marburg,2021,3
Mannheim,2019,3
Neuwied,2000,3
Reutlingen,2004,3
Dessau-Roßlau,2002,3
Aschaffenburg,2005,3
Meiningen,2003,3
Gransee und Gemeinden,2008,3
Plauen,2002,3
Saarbrücken,2021,3
Neubrandenburg,2002,3
Ludwigshafen am Rhein,2023,3
Marburg,2018,3
Würzburg,2025,2
Brandenburg an der Havel,2006,3
Mittleres Schussental,1999,3
Dallgow-Döberitz,2024,3
Ulm,2004,3
Potsdam,2003,3
Wiesbaden,2020,3
Premnitz,2004,3
Kaiserslautern,2017,3
Frankfurt (Oder),2006,3
Greiz,2000,3
Neuwied,2001,3
Saarbrücken,2017,3
Düsseldorf,2003,3
Trier,2020,3
Biberach an der Riß,2003,3
Karlsruhe,2014,3
Völklingen,2006,3
Wernigerode,2025,3
Bremen,2008,2
Neubrandenburg,2024,3
Speyer,2004,3
Stendal,2018,2
Stralsund,2008,3
Schkopau,2005,3
Greiz,2001,3
Wetzlar,2008,3
Bad Kreuznach(Verbandsfreie Geme,2009,2
Wolfsburg,2003,3
Schweinfurt,2000,2
Passau,2005,2
Berlin,2010,2
Worms,2012,3
Reutlingen,2002,2
Gransee und Gemeinden,2009,2
Schwerin,2005,3
Regensburg,2000,2
Pforzheim,2008,3
Staufen-Münstertal,2008,3
Braunschweig,2010,3
Ludwigshafen am Rhein,2000,3
München,2008,3
Schweinfurt,2001,3
Rostock,2013,3
Potsdam,2010,3
Ulm,2002,3
Frankfurt (Oder),2015,3
Freiburg im Breisgau,2013,4
Reutlingen,2024,2
Bitterfeld-Wolfen,2014,3
Schwäbisch Hall,2005,2
Bremen,2009,2
Nordhausen,2007,2
Regensburg,2001,3
Völklingen,2015,2
Karlsruhe,2009,3
Wörth am Rhein,2023,2
Bitterfeld-Wolfen,2008,2
Eisenhüttenstadt,2017,2
Ludwigshafen am Rhein,2001,3
Speyer,2002,3
Mannheim,2012,3
Premnitz,2005,3
Erfurt,2013,3
Plauen,2006,3
Königs Wusterhausen,2006,3
Cottbus,2016,3
Berlin,2011,3
Kempten (Allgäu),2000,3
Jena,2000,3
Neubrandenburg,1999,3
Speyer,2005,2
Berlin,2016,3
Frankfurt (Oder),2019,3
Wuppertal,2004,3
Mannheim,2003,3
Königs Wusterhausen,2001,3
Kenzingen-Herbolzheim,2001,3
Völklingen,2019,2
Pforzheim,2009,2
Würzburg,2013,2
Staufen-Münstertal,2009,2
Fulda,2020,2
Bremerhaven,2021,2
München,2009,2
Villingen-Schwenningen,2005,2
Braunschweig,2008,2
Plochingen,2004,2
Aschaffenburg,2001,2
Kempten (Allgäu),2001,2
Jena,2001,2
Cottbus,2014,3
Limburg a.d. Lahn,2018,3
Limburg a.d. Lahn,2007,2
Nürnberg,2007,2
Darmstadt,2013,3
Bremen,2025,2
Wiesbaden,2011,3
Mainz,2021,2
Bremerhaven,2017,3
Wiesbaden,2016,2
Trier,2011,3
Aalen,2007,2
Bitterfeld-Wolfen,2009,3
Hanau,2007,2
Koblenz,2017,3
Rostock,2018,2
Schwerin,1999,2
Wörth am Rhein,2000,2
Linden,2013,2
Trier,2016,2
Frankfurt am Main,2021,3
Ehingen (Donau),2002,3
Stuttgart,2000,3
Mainz,2017,3
Freiburg im Breisgau,2018,3
Nordhausen,2004,3
Freiburg im Breisgau,2007,3
Krefeld,2004,3
Hof,2003,2
Marburg,2005,2
Göttingen,2006,2
Stuttgart,2006,2
Kehl,2000,2
Neuenburg am Rhein,2003,3
Burghausen,2018,2
Freudenstadt,2004,2
Wittenberg,2007,3
Saarbrücken,2005,2
Schwäbisch Hall,1999,3
Wiesbaden,2014,3
Wörth am Rhein,2001,3
Mannheim,2010,3
Ulm,2006,3
Wuppertal,2002,3
Stuttgart,2001,3
München,2025,3
Würzburg,2021,3
Kehl,2001,3
Ansbach,2012,3
Plochingen,2002,3
Zeitz,2002,3
Worms,2008,2
Fulda,2022,3
Tübingen,2000,2
Würzburg,2018,2
Duisburg,2004,3
Magdeburg,2000,2
Elsdorf,2005,3
Leuna,2007,2
Magdeburg,2006,3
Ludwigsburg,2004,3
Heidenheim an der Brenz,2002,3
Limburg a.d. Lahn,2004,3
Blankenfelde-Mahlow,2015,3
Raunheim,2013,3
Nordenham,2000,2
Darmstadt,2018,2
Wernigerode,2007,3
Darmstadt,2007,2
Villingen-Schwenningen,1999,2
Frankfurt (Oder),2012,2
Weimar,2001,6
Trostberg,2006,3
Kaiserslautern,2023,3
Saarbrücken,2023,4
Tübingen,2001,3
Nordhausen,2002,4
Völklingen,2012,3
Magdeburg,2001,3
Hanau,2004,3
Rostock,2004,3
Hannover,2006,3
Tuttlingen,2003,3
Linden,2018,3
Linden,2007,3
Mittleres Schussental,2003,3
Göttingen,2015,3
Stuttgart,2015,3
Freudenstadt,2002,3
Brandenburg an der Havel,2003,3
Friedrichshafen,2004,2
Dillingen/Saar,2021,2
Freiburg im Breisgau,2004,3
Nordenham,2001,3
Heilbronn,2017,3
Kehl,2015,2
Frankfurt (Oder),2003,2
Kulmbach,2000,2
Braunschweig,2025,2
Kiel,2005,2
Blankenfelde-Mahlow,2019,2
Neuwied,2022,2
Kulmbach,2006,2
Ludwigshafen am Rhein,2020,2
Augsburg,2020,2
Dillingen/Saar,2017,2
Duderstadt,2004,2
Worms,2009,2
Bremen,2013,2
Dortmund,2005,2
Duisburg,2002,2
Lübeck,2000,2
Weiden i.d. OPf.,2008,2
Edertal,2008,2
Ehingen (Donau),1999,3
Göttingen,2019,3
Rostocker Heide,1999,3
Stuttgart,2019,3
Osnabrück,2013,3
Ludwigsburg,2002,3
Halle (Saale),2013,3
Ansbach,2010,3
Magdeburg,2015,3
Limburg a.d. Lahn,2002,3
Raunheim,2021,3
Würzburg,2004,3
Hamburg,2020,3
Freiberg,2004,2
Trostberg,2015,2
Kaiserslautern,2000,2
Leuna,2004,2
Fulda,2014,3
Lübeck,2001,2
Schwedt/Oder,2005,2
Hanau,2002,2
Gera,2009,2
Rostock,2002,2
Bad Kreuznach(Verbandsfreie Geme,2007,2
Darmstadt,2004,2
Hamburg,2003,3
Wernigerode,2004,3
Pforzheim,2013,3
Hannover,2015,3
Eisenhüttenstadt,2023,3
Friedrichshafen,2002,3
Dreisamtal,2011,3
München,2013,3
Bremerhaven,2005,3
Frankfurt (Oder),2010,3
Freiburg im Breisgau,2002,3
Plochingen,1999,3
Limburg a.d. Lahn,2024,3
Gransee und Gemeinden,2007,3
Kaiserslautern,2001,2
Magdeburg,2019,2
Saarbrücken,2001,2
Garmisch-Partenkirchen,2019,2
Worms,2025,2
Rottweil,1999,2
Duderstadt,2002,2
Mainz,2005,2
Rostock,2024,3
Klötze,2004,4
Weiden i.d. OPf.,2009,3
Dessau-Roßlau,2003,3
Ludwigshafen am Rhein,2022,2
Freiburg im Breisgau,2024,3
Frankfurt am Main,2005,3
Hannover,2019,3
Plauen,2003,2
Dreisamtal,2014,2
Neubrandenburg,2003,2
Osnabrück,2021,2
Erfurt,2005,3
Bremen,2018,2
Halle (Saale),2021,2
Neuwied,2014,3
Karlsruhe,2007,3
Leipzig,2007,3
Wiesloch,2000,3
Osnabrück,2018,4
Leuna,2002,4
Bremerhaven,2023,3
Wetzlar,2007,3
Halle (Saale),2018,3
Koblenz,2023,3
Darmstadt,2002,3
Wernigerode,2002,3
Würzburg,2005,3
Braunschweig,2013,3
Fürth,2011,4
Eisenhüttenstadt,2000,3
Freiberg,2005,2
Potsdam,2013,2
Mainz,2023,2
Völklingen,2008,2
Würzburg,2024,2
Bruchsal,1999,3
Göttingen,2012,2
Stuttgart,2012,2
Wiesloch,2001,3
Waldshut-Tiengen,2008,3
Schwerin,2003,2
Staufen-Münstertal,2007,2
Frankfurt am Main,2023,3
Kehl,2012,3
München,2018,3
München,2007,3
Limburg a.d. Lahn,2006,3
Nürnberg,2006,3
Tauberbischofsheim,2004,3
Augsburg,2011,3
Wernigerode,2024,3
Eisenhüttenstadt,2001,3
Reutlingen,2003,3
Klötze,2002,3
Erlangen,2011,3
Augsburg,2016,3
Salzgitter,2013,3
Hagen,2004,3
Aalen,2006,3
Bernburg (Saale),2005,3
Walsrode,2000,2
Blankenfelde-Mahlow,2022,3
Rostock,1999,3
Bitterfeld-Wolfen,2007,3
Schweinfurt,2008,2
Suhl,2007,2
Ulm,2003,3
Premnitz,2003,2
Wörth am Rhein,2022,3
Freiburg im Breisgau,1999,2
Hamburg,2011,2
Dillingen/Saar,2005,2
Magdeburg,2012,2
Bremen,2004,2
Ludwigshafen am Rhein,2014,2
Hamburg,2016,2
Wittenberg,2006,2
Göttingen,2022,3
Stuttgart,2022,3
Koblenz,2000,3
Trostberg,2012,3
Leipzig,2004,3
Stralsund,2004,3
Berlin,2017,3
Speyer,2003,4
Braunschweig,2021,4
Völklingen,2009,3
Wetzlar,2004,4
Potsdam,2021,3
Worms,2013,3
Mühlhausen/Thüringen,2015,3
Mainz,2000,3
Hannover,2012,3
Bad Kreuznach(Verbandsfreie Geme,2002,3
Bremerhaven,2001,3
Braunschweig,2018,3
Tauberbischofsheim,2002,3
Potsdam,2018,3
Koblenz,2001,3
Heilbronn,2023,3
Nürnberg,2015,3
Pforzheim,2004,3
Salzgitter,2021,3
Staufen-Münstertal,2004,3
Raunheim,2005,2
Viernheim,2004,3
Kulmbach,2012,3
Mainz,2001,3
Isny im Allgäu,2004,2
München,2004,2
Wolfsburg,2021,2
Wiesbaden,2017,2
Aalen,2015,3
Magdeburg,2022,2
Wernigerode,2006,3
Dillingen/Saar,2023,3
Schweinfurt,2009,3
Tauberbischofsheim,2005,3
Trier,2017,3
Marburg,2020,3
Jena,2008,3
Ulm,2010,3
Salzgitter,2018,3
Mannheim,2013,3
Künzelsau,1999,3
Konstanz,2002,3
Bremen,2002,3
Passau,2011,3
Bitterfeld-Wolfen,2004,3
Limburg a.d. Lahn,2019,4
Nürnberg,2019,3
Wittenberg,2015,3
Speyer,2010,3
Leipzig,2002,2
Ehingen (Donau),2003,3
Wetzlar,2002,3
Stendal,2020,2
Naumburg (Saale),2002,3
Wörth am Rhein,2014,2
Raunheim,2023,3
Bremen,2024,3
Stralsund,2005,3
Osnabrück,2005,3
Wörth am Rhein,2008,3
Worms,2018,3
Wuppertal,2003,3
Heilbronn,2000,4
Michelstadt,2008,3
Halle (Saale),2005,3
Göttingen,2008,3
Stuttgart,2008,3
Pforzheim,2002,3
Kehl,2014,2
Osnabrück,2024,2
Staufen-Münstertal,2002,2
Viernheim,2002,2
