Wolfsburg,2025,2
Bremerhaven,2002,2
Walsrode,2005,2
Wittenberg,2005,2
Raunheim,2018,1
Raunheim,2007,1
Mannheim,2009,1
Mainz,2002,1
Fürth,2010,2
Karlsruhe,2017,1
Neuwied,2011,1
Koblenz,2005,1
Aschaffenburg,2003,1
Kempten (Allgäu),2003,2
Nürnberg,2023,1
Bremerhaven,2024,2
Heidenheim an der Brenz,2000,1
Frankfurt am Main,2002,2
Neuwied,2016,2
Bernburg (Saale),2004,2
Erfurt,2002,2
Koblenz,2024,2
Marburg,2015,2
Nordhausen,2000,3
Regensburg,2010,2
Wiesloch,1999,2
Ludwigshafen am Rhein,2010,2
Mainz,2024,2
Augsburg,2010,2
Blankenfelde-Mahlow,2020,2
Nordhausen,2006,2
Erlangen,2010,2
Freudenstadt,2000,2
Dillingen/Saar,2004,2
Heidenheim an der Brenz,2001,2
Bremen,2007,2
Passau,2012,2
Ansbach,2008,2
Wörth am Rhein,2020,2
Dallgow-Döberitz,2022,2
Würzburg,2002,2
Wittenberg,2023,2
Berlin,2013,2
Nordhausen,2001,2
Stendal,2015,2
Freiberg,2002,1
Göttingen,2020,1
Stuttgart,2020,1
Stralsund,2007,1
Osnabrück,2007,1
Schkopau,2003,1
Marburg,2019,1
Hamburg,2010,1
Freudenstadt,2001,1
Frankfurt (Oder),2014,1
Mannheim,2025,4
Halle (Saale),2007,1
Völklingen,2014,2
Passau,2003,1
Künzelsau,2002,1
Frankfurt (Oder),2008,2
Schweinfurt,2011,2
Bitterfeld-Wolfen,2017,2
Ludwigsburg,2000,2
Raunheim,2004,2
Limburg a.d. Lahn,2000,2
Nürnberg,2000,2
Schwedt/Oder,2006,3
Walsrode,1999,2
Bernburg (Saale),2002,2
Stendal,2019,2
Essen,2003,2
Regensburg,2011,2
Ulm,2012,2
Ludwigshafen am Rhein,2011,1
Duisburg,2001,1
Trier,2013,1
Aalen,2000,1
Hanau,2000,1
Ludwigshafen am Rhein,2016,1
Magdeburg,2020,1
Wernigerode,2023,1
Dillingen/Saar,2002,1
Hanau,2006,1
Friedrichshafen,2000,1
Ludwigsburg,2001,2
Rostock,2006,1
Ansbach,2009,2
Schwäbisch Hall,2003,1
Limburg a.d. Lahn,2001,1
Nürnberg,2001,2
Wolfsburg,2013,1
Heilbronn,2005,1
Koblenz,1999,2
Speyer,2012,2
Tübingen,2003,2
Kassel,2005,1
Mönchengladbach,2003,2
Freiburg im Breisgau,2006,1
Berlin,2021,2
Mainz,1999,1
Aalen,2001,1
Reutlingen,2022,1
Filderstadt,2005,1
Hanau,2001,1
Chemnitz,2005,1
Goslar,2004,1
Erfurt,2006,2
Passau,2010,1
Dillingen/Saar,2024,1
Duderstadt,2006,1
Berlin,2018,2
Frankfurt (Oder),2009,2
Osnabrück,2004,1
Waldshut-Tiengen,2009,1
Wittenberg,2001,2
Halle (Saale),2004,2
Sonnenbühl,2005,1
Raunheim,2002,1
Rastatt,2000,1
Villingen-Schwenningen,2003,2
Wiesbaden,2021,2
Potsdam,2007,2
Würzburg,2006,2
Dessau-Roßlau,2008,2
Limburg a.d. Lahn,2015,2
Trier,2021,2
Freiberg,2006,2
Kassel,2023,2
Leuna,2006,2
Darmstadt,2000,2
Wernigerode,2000,2
Marburg,2012,2
Zarrentin,2005,2
March-Umkirch,2001,2
Rastatt,2001,2
Darmstadt,2006,2
Garmisch-Partenkirchen,2022,2
Rostock,2015,2
Bautzen,2002,2
Raunheim,2024,2
Trier,2018,2
Bad Kreuznach(Verbandsfreie Geme,2023,2
Wörth am Rhein,2011,2
Leuna,2001,1
Freiburg im Breisgau,2015,1
Kaiserslautern,2020,1
Wörth am Rhein,2016,2
Saarbrücken,2020,1
Wolfsburg,2018,2
Wolfsburg,2007,2
Stuttgart,2011,2
Linden,2006,2
Goslar,2002,2
Darmstadt,2001,1
Wernigerode,2001,1
Göttingen,2016,1
Frankfurt (Oder),2025,1
Gransee und Gemeinden,2023,2
Stendal,2012,1
Hannover,2022,1
Stuttgart,2016,2
Klötze,2000,2
Kehl,2011,2
Kaiserslautern,2003,2
Erfurt,2015,1
Saarbrücken,2003,2
Stralsund,2002,2
Blankenfelde-Mahlow,2014,1
Heilbronn,1999,2
Kehl,2016,2
Osnabrück,2002,2
Rostocker Heide,2003,2
Goslar,2005,2
Halle (Saale),2002,2
Hettstedt,2005,1
Rostock,2019,2
Berlin,2004,1
Muldestausee,2005,1
Filderstadt,1999,1
Dessau-Roßlau,2009,1
Freiburg im Breisgau,2019,1
Göttingen,2014,1
Klötze,2001,1
Stuttgart,2014,1
Worms,2007,2
Rheinfelden (Baden),2002,1
Karlsruhe,2023,2
Würzburg,2015,2
Kassel,2000,2
Magdeburg,2011,2
Ulm,2014,2
Magdeburg,2016,2
Potsdam,2004,1
Halle (Saale),2024,2
Ulm,2008,2
Düsseldorf,2004,1
Darmstadt,2015,1
Wernigerode,2015,1
Biberach an der Riß,2004,1
Wildau,2024,1
Bad Kreuznach(Verbandsfreie Geme,2000,1
Marburg,2010,1
Böblingen,2005,1
Kassel,2001,1
Raunheim,2006,1
Rottweil,2003,1
Linden,2015,1
Kaiserslautern,2010,2
Speyer,2008,2
Saarbrücken,2010,2
Schönau,2005,3
Neu-Ulm,2002,2
Würzburg,2019,2
Eisenhüttenstadt,2020,2
Sonnenbühl,2000,3
Magdeburg,2014,3
Chemnitz,2001,2
Mannheim,2007,2
Wolfsburg,2004,2
Dallgow-Döberitz,2025,2
Offenbach am Main,2005,2
Bad Kreuznach(Verbandsfreie Geme,2001,2
Fulda,2021,2
Trostberg,2014,1
Kiel,2003,2
Darmstadt,2019,1
Berlin,2002,1
Bottrop,2002,1
Meiningen,2002,1
Mörfelden-Walldorf,2021,2
Hannover,2014,1
Neubrandenburg,2025,1
Fulda,2017,1
Sonnenbühl,2001,1
Waiblingen,2005,1
Cottbus,2005,2
Karlsruhe,2000,2
Linden,2019,2
Dortmund,2003,2
Braunschweig,2002,2
Bremen,2006,2
Berlin,2005,1
Potsdam,2002,2
Ulm,2009,2
Goslar,1999,2
Leipzig,2006,2
Düsseldorf,2002,2
Berlin,2024,2
Stralsund,2006,1
Naumburg (Saale),2000,1
Osnabrück,2006,1
Wittenberg,2020,2
Wetzlar,2006,2
Fürth,2013,2
Walsrode,2003,2
Rostock,2012,2
Halle (Saale),2006,1
Marburg,2008,2
Karlsruhe,2001,1
Schwedt/Oder,2003,1
Bremerhaven,2020,1
Kaiserslautern,2011,2
Saarbrücken,2011,2
Leipzig,2001,1
Kaiserslautern,2016,2
Saarbrücken,2016,2
Neuwied,2021,2
Koblenz,2020,2
Freiburg im Breisgau,2012,2
Calw,1999,2
Biberach an der Riß,2005,2
Pforzheim,2000,2
Potsdam,2024,2
Bremerhaven,2003,2
Isny im Allgäu,2000,2
Naumburg (Saale),2001,2
Wiesbaden,2005,1
Augsburg,2013,1
Koblenz,2003,1
Trier,2005,2
Erfurt,2012,2
Reutlingen,2025,1
München,2006,2
Neuwied,2017,1
Trostberg,2009,1
Mannheim,2004,1
Böblingen,1999,1
Mainz,2003,1
Limburg a.d. Lahn,2022,2
Nürnberg,2022,2
Heidelberg,2005,2
Pforzheim,2001,2
Salzgitter,2024,2
Isny im Allgäu,2001,2
Bitterfeld-Wolfen,2000,2
Raunheim,2019,2
Suhl,2000,2
Wolfsburg,2024,2
Frankfurt am Main,2003,2
Bremen,2015,2
Hamburg,2013,2
Sigmaringen,1999,3
Ansbach,2007,2
Würzburg,2012,2
Freiburg im Breisgau,2022,2
Osnabrück,2015,3
Schönau,2000,3
Bitterfeld-Wolfen,2001,2
Darmstadt,2012,3
Suhl,2001,2
Halle (Saale),2015,2
Wiesbaden,2023,3
Wittenberg,2022,2
Offenbach am Main,2000,2
Brandenburg an der Havel,2007,1
Witten,2005,1
Mühlhausen/Thüringen,2011,1
Berlin,1999,1
Bremerhaven,2010,1
Frankfurt (Oder),2007,1
Neuenburg am Rhein,2004,1
Eisenhüttenstadt,2011,2
Linden,2012,1
Bremen,2019,2
Eisenhüttenstadt,2016,1
Ludwigshafen am Rhein,2021,1
Schönau,2001,2
Waldshut-Tiengen,2007,2
Augsburg,2021,1
Braunschweig,2006,1
Pforzheim,2015,2
Potsdam,2006,2
Waiblingen,2000,2
Mainz,2010,2
Mannheim,2002,1
München,2015,2
Offenbach am Main,2001,2
Osnabrück,2019,2
Heilbronn,2020,2
Augsburg,2018,2
Halle (Saale),2019,2
Ludwigshafen am Rhein,2017,2
Biberach an der Riß,1999,2
Kassel,2020,2
Frankfurt am Main,2010,2
Mühlhausen/Thüringen,2014,2
Spremberg,2005,2
Erfurt,2010,2
Görlitz,2002,2
Bernburg (Saale),2003,2
Hamburg,2021,2
Wernigerode,2022,2
Darmstadt,2022,2
Bitterfeld-Wolfen,2015,2
Waiblingen,2001,1
Trier,1999,1
Mannheim,2024,1
Nürnberg,2014,1
Aachen,2005,1
München,2019,1
Dillingen/Saar,2003,1
Ansbach,2004,1
Hamburg,2018,1
Limburg a.d. Lahn,2008,1
Fulda,2005,1
Bremerhaven,2011,1
Würzburg,2010,1
Aalen,2014,2
Bremerhaven,2016,2
Koblenz,2011,2
Neuenburg am Rhein,2002,2
Koblenz,2016,1
Hanau,2008,2
Rostock,2008,2
Brandenburg an der Havel,2004,2
Esslingen am Neckar,2002,2
Mainz,2011,2
Braunschweig,2015,2
Mainz,2016,2
Frankfurt (Oder),2004,2
Worms,2006,2
Freiburg im Breisgau,2008,2
Wittenberg,2014,2
Plauen,2007,2
Raunheim,2003,2
Eggenstein-Leopoldshafen,2005,2
Heidelberg,2001,3
Dreisamtal,2005,2
Offenburg,2005,2
Fulda,2023,2
Gera,2000,2
Neuwied,2005,2
Bremen,2012,2
Wörth am Rhein,2017,2
Dillingen/Saar,2010,2
Braunschweig,2019,2
Bad Kreuznach(Verbandsfreie Geme,2022,2
Ansbach,2002,2
Potsdam,2019,2
Göttingen,2017,2
Stuttgart,2017,2
Würzburg,2008,3
Mannheim,2006,3
Osnabrück,2012,2
Dresden,2005,2
Aalen,2009,3
Wernigerode,2014,2
Leuna,2008,2
Rostock,2009,2
Tuttlingen,2002,2
Halle (Saale),2012,2
Gransee und Gemeinden,2022,2
Gera,2001,1
Mittleres Schussental,2002,3
Brandenburg an der Havel,2002,2
Goslar,2003,2
Bad Waldsee,2002,2
Darmstadt,2008,3
Wernigerode,2008,2
Freiburg im Breisgau,2009,2
Salzgitter,2019,2
Weiden i.d. OPf.,2000,2
Frankfurt (Oder),2002,2
Reutlingen,2018,2
Worms,2015,1
Pforzheim,2012,2
Waldshut-Tiengen,2002,1
Dreisamtal,2023,1
Raunheim,2010,1
Halle (Saale),2003,2
München,2012,1
Neuwied,2023,2
Marburg,2013,2
Heilbronn,2016,2
Magdeburg,2017,2
Dessau-Roßlau,2004,2
Fürth,2005,2
Karlsruhe,2022,2
Weiden i.d. OPf.,2001,2
Ulm,2007,2
Plauen,2004,2
Rheinfelden (Baden),2003,2
Dillingen/Saar,2011,2
Frankfurt (Oder),2024,2
Spremberg,2001,2
Fulda,2000,1
Burg,2002,2
Limburg a.d. Lahn,2025,2
Dillingen/Saar,2016,1
Regensburg,2005,1
Worms,2019,1
Stendal,2013,1
Ludwigshafen am Rhein,2005,1
Augsburg,2005,1
Eggenstein-Leopoldshafen,1999,2
Rostock,2025,1
Mannheim,2015,2
Erlangen,2005,2
Baden-Baden,2000,2
Kassel,2014,2
Fulda,2001,1
Wernigerode,2009,2
