Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB029,O3,2015,52.853,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.4623193894197157
DEBB029,O3,2017,50.454,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.4148293827416072
DEBB021,O3,2015,46.594,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.3711547424842694
DEBB021,O3,2014,45.325,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.4393328960929449
DEBB021,O3,2017,47.439,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.36281613359555603
DEBB065,O3,2020,53.953,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.6018260625937341
DEBB065,O3,2023,59.511,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.39585505735140775
DEBB063,O3,2024,57.057,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.3993614224003005
DEBB032,O3,2013,52.14,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.5815062352269948
DEBB029,O3,2016,48.407,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.43480287372024623
DEBB042,O3,2014,47.985,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.48087073300227995
DEBB064,O3,2017,52.327,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.44714142773349896
DEBB064,O3,2018,59.982,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.40809986130374476
DEBB064,O3,2023,61.143,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.42244525547445255
DEBB032,O3,2016,49.774,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.4567736543499575
DEBB032,O3,2021,53.692,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.49524870952604416
DEBB048,O3,2021,50.141,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.4535898639136556
DEBB048,O3,2022,55.559,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.462115688959226
DEBB048,O3,2023,52.786,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.2862845411887383
DEBB053,O3,2015,53.104,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.4659752971335353
DEBB053,O3,2016,49.704,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.4556485960880118
DEBB053,O3,2017,51.712,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.43653175999723987
DEBB053,O3,2021,53.037,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.4875645236977945
DEBB075,O3,2024,53.012,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.3360514618418581
DEBB067,O3,2021,50.532,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.45817691224777096
DEBB067,O3,2022,54.394,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.44139979017372893
DEBB067,O3,2025,57.523,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.5573217897313985
DEBB067,O3,2016,46.898,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.41054983204487383
DEBB067,O3,2018,54.567,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.30796116504854365
