Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB007,PM10,2018,20.131,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.6232438339057134
DEBB007,PM10,2019,16.065,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.5028060694242361
DEBB060,PM10,2020,14.066,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde,0.5027794031597425
DEBB021,PM10,2015,20.442,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.43089764641488776
DEBB021,PM10,2024,14.614,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.24142890827634997
DEBB021,PM10,2013,19.435,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.3631929867884923
DEBB045,PM10,2016,26.318,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.6310035783460819
DEBB021,PM10,2016,19.738,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.41498965890811196
DEBB053,PM10,2019,17.52,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.5632924547911037
DEBB032,PM10,2013,20.145,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.3851092727497222
DEBB032,PM10,2016,20.738,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.44781852204458156
DEBB032,PM10,2022,16.791,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.49769923634227536
DEBB054,PM10,2020,15.945,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.5944021845133606
DEBB065,PM10,2016,14.542,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.24441088605101605
DEBB065,PM10,2023,9.894,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.3109342313383336
DEBB054,PM10,2014,29.083,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.7218062473199853
DEBB029,PM10,2013,19.398,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.36205087047783674
DEBB029,PM10,2018,19.133,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.584295972525757
DEBB029,PM10,2019,16.562,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.5234670546663895
DEBB044,PM10,2015,23.261,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.5273330596606458
DEBB042,PM10,2014,26.202,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.6267770557772867
DEBB048,PM10,2017,16.411,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.41767145750940493
DEBB048,PM10,2020,13.529,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.47659449970743123
DEBB048,PM10,2018,18.051,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.5420699344364657
DEBB064,PM10,2013,21.6,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.4300222249660452
DEBB064,PM10,2015,18.635,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.3690818281335523
DEBB007,PM10,2016,18.708,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.3811759298775483
DEBB049,PM10,2016,18.659,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.37956731558386125
DEBB049,PM10,2017,21.497,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.5812031767467284
DEBB044,PM10,2015,21.217,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.4574096880131362
DEBB044,PM10,2021,16.607,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.523943661971831
DEBB044,PM10,2022,18.879,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.599911885647151
DEBB044,PM10,2021,18.543,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.6065727699530516
DEBB055,PM10,2025,9.591,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.019011593304816315
DEBB064,PM10,2013,21.643,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.4313495493270774
DEBB048,PM10,2022,16.011,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.4595163501076953
DEBB048,PM10,2023,12.47,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.4423695086484005
DEBB049,PM10,2019,18.288,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.5952192891290792
DEBB049,PM10,2020,13.873,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.4933684415837721
DEBB049,PM10,2024,18.272,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.32768215043621784
DEBB066,PM10,2016,16.144,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.29700272479564027
DEBB053,PM10,2020,13.505,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.47542422469280277
DEBB053,PM10,2016,17.698,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.34801877810971404
DEBB067,PM10,2021,15.334,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.4696116090482288
DEBB064,PM10,2014,21.271,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.464129036514167
DEBB064,PM10,2021,15.331,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.4694835680751174
DEBB064,PM10,2023,12.905,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.46456451859788767
DEBB054,PM10,2015,22.667,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.5070128626163108
DEBB054,PM10,2016,21.167,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.4619021043301271
DEBB054,PM10,2017,20.267,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.5416546091765538
DEBB054,PM10,2018,21.291,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.6685138932251015
DEBB087,PM10,2014,25.305,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.5971896955503512
DEBB055,PM10,2013,17.492,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.30321644647487345
DEBB055,PM10,2017,16.295,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.4139416739011608
DEBB055,PM10,2021,13.003,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3701237729406744
DEBB075,PM10,2020,12.365,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.41983616149795194
DEBB068,PM10,2024,18.151,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.3248290497524169
DEBB068,PM10,2025,15.136,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.03137169236393303
DEBB086,PM10,2018,21.028,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.6582500780518262
DEBB029,PM10,2020,12.95,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.44836161497952015
DEBB054,PM10,2015,27.592,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.6754926108374383
DEBB060,PM10,2021,14.861,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde,0.44942381562099876
DEBB073,PM10,2014,25.831,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.6145396971995909
DEBB073,PM10,2017,21.343,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.5762515674737148
DEBB092,PM10,2015,19.601,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.4021278051450464
DEBB032,PM10,2014,21.425,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.469208694791701
DEBB032,PM10,2015,22.221,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.491755610290093
DEBB032,PM10,2025,10.659,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.021392221942352234
DEBB029,PM10,2022,14.665,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.3936263951439201
DEBB073,PM10,2013,21.351,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.4223360908754167
DEBB073,PM10,2016,20.369,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.4357046715472243
DEBB073,PM10,2020,14.547,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.5262336649112541
DEBB073,PM10,2021,15.433,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.47383696116090485
DEBB073,PM10,2020,17.097,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.6505753852155257
DEBE056,PM10,2013,18.877,ug/m3,Background,Rural,BE,Berlin,Berlin,0.3459686381034695
DEBB066,PM10,2017,15.387,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.38474647117456034
DEBB066,PM10,2019,14.271,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.42822697983787156
DEBB044,PM10,2016,19.674,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.4128886116673779
DEBB045,PM10,2024,18.542,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.33404857344965816
DEBB045,PM10,2017,22.67,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.6189190058197487
DEBB045,PM10,2019,19.145,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.6308459779671586
DEBB045,PM10,2022,17.74,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.5441550812610143
DEBB045,PM10,2023,18.426,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.7462625644165517
DEBB045,PM10,2023,18.863,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.7685596203887953
DEBB048,PM10,2013,17.693,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.30942091616248923
DEBB048,PM10,2025,10.341,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.02068338307836682
DEBW005,PM10,2020,15.352,ug/m3,Industrial,Suburban,BW,Mannheim,Mannheim,0.5654866393602497
DEBW005,PM10,2021,14.62,ug/m3,Industrial,Suburban,BW,Mannheim,Mannheim,0.4391378574477165
DEBB099,PM10,2016,22.322,ug/m3,Traffic,Suburban,BB,Märkisch-Oderland,Rüdersdorf bei Berlin,0.49981944125274935
DEBB109,PM10,2023,14.21,ug/m3,Background,Urban,BB,Teltow-Fläming,Luckenwalde,0.5311495484463493
DEBB053,PM10,2017,17.481,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.45207549596476004
DEBB053,PM10,2023,11.873,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.4119087708556559
DEBW013,PM10,2018,16.55,ug/m3,Background,Urban,BW,Stuttgart,Stuttgart,0.4834920387137059
DEBW013,PM10,2024,12.927,ug/m3,Background,Urban,BW,Stuttgart,Stuttgart,0.20165055411459562
DEBB088,PM10,2013,13.561,ug/m3,Industrial,Suburban,BB,Havelland,Premnitz,0.1818743054698111
DEBE125,PM10,2023,18.805,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.7656002857288636
DEBB092,PM10,2013,15.742,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.24919743178170145
DEBB092,PM10,2015,18.755,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.3731869184455391
DEBB092,PM10,2019,16.859,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.5358137601330285
DEBB075,PM10,2014,19.175,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.39499290826928785
DEBB075,PM10,2021,13.976,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.411651728553137
DEBB007,PM10,2015,19.19,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.3880678708264915
DEBB007,PM10,2017,18.545,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.48628661457830946
DEBB007,PM10,2019,16.662,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.5276241945541467
DEBE051,PM10,2024,14.782,ug/m3,Background,Suburban,BE,Berlin,Berlin,0.24539023815137942
DEBB099,PM10,2016,26.827,ug/m3,Traffic,Suburban,BB,Märkisch-Oderland,Rüdersdorf bei Berlin,0.647713469682545
DEBB083,PM10,2015,19.226,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.3892993979200875
DEBB083,PM10,2016,18.425,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.37188536160992747
DEBB109,PM10,2019,16.494,ug/m3,Background,Urban,BB,Teltow-Fläming,Luckenwalde,0.5206401995427146
DEBE064,PM10,2021,24.32,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.8531370038412293
DEBB110,PM10,2021,12.455,ug/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.3467349551856594
DEBB063,PM10,2013,14.882,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.2226509445610569
DEBB092,PM10,2017,17.662,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.45789524452589947
DEBB092,PM10,2021,15.027,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.4565087494664959
DEBB064,PM10,2017,17.676,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.45834539082344616
DEBB064,PM10,2017,19.399,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.5137455387286584
DEBB064,PM10,2020,14.874,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.5421786619855665
DEBB032,PM10,2017,16.996,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.43648114208546346
DEBB032,PM10,2018,19.393,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.5944427099594131
DEBB110,PM10,2022,14.857,ug/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.40302525944781675
DEBB021,PM10,2023,13.291,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.4842594009898464
DEBB065,PM10,2022,11.841,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.25538476600744076
DEBB065,PM10,2023,9.94,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.3132812898617276
DEBB007,PM10,2020,13.94,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.4966354593329431
DEBE127,PM10,2023,20.358,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.844839022399102
DEBW022,PM10,2015,18.36,ug/m3,Industrial,Suburban,BW,Ortenaukreis,Kehl,0.35967432950191564
DEBB066,PM10,2015,19.341,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.3932334428024083
DEBB066,PM10,2016,16.204,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.2989724565838285
DEBB066,PM10,2022,12.661,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.2955257489719992
DEBB066,PM10,2024,13.098,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.2056826220231078
DEBB066,PM10,2025,8.0,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.015465169931857849
DEBB054,PM10,2019,19.173,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.6320099771357305
DEBB054,PM10,2023,16.222,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.63380784733915
DEBB054,PM10,2024,16.606,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.28839896250884234
DEBB054,PM10,2019,20.308,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.6791935148617751
DEBB048,PM10,2019,16.265,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.5111203491997506
DEBB048,PM10,2024,12.889,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.20075453902381513
DEBB067,PM10,2013,17.779,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.3120755648845536
DEBB067,PM10,2016,17.841,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.3527133055382292
DEBB067,PM10,2015,17.406,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.32703886152162004
DEBB086,PM10,2015,19.749,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.40719074986316356
DEBB086,PM10,2017,19.325,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.5113661940130543
DEBE010,PM10,2015,21.737,ug/m3,Background,Urban,BE,Berlin,Berlin,0.47519841269841256
DEBB068,PM10,2017,21.789,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.590591942381274
DEBW009,PM10,2018,15.959,ug/m3,Background,Urban,BW,Heidelberg,Heidelberg,0.46042772400874177
DEBB021,PM10,2021,13.576,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.39457959880495097
DEBB111,PM10,2022,14.382,ug/m3,Background,Urban,BB,Elbe-Elster,Elsterwerda,0.3797728607793225
DEBB111,PM10,2023,12.47,ug/m3,Background,Urban,BB,Elbe-Elster,Elsterwerda,0.4423695086484005
DEBB029,PM10,2016,18.32,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.36843833098059814
DEBB029,PM10,2017,15.606,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.39178804540046946
DEBB083,PM10,2014,20.86,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.45057228617607276
DEBB083,PM10,2018,20.393,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.633468623165782
DEBW024,PM10,2023,11.226,ug/m3,Background,Suburban,BW,Ludwigsburg,Ludwigsburg,0.3788968824940048
DEBB083,PM10,2023,14.244,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.5328843308332057
DEBW024,PM10,2020,14.078,ug/m3,Background,Suburban,BW,Ludwigsburg,Ludwigsburg,0.5033645406670567
DEBB083,PM10,2016,19.775,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.4162043268441613
DEBB042,PM10,2013,20.286,ug/m3,Background,Suburban,BB,Frankfurt (Oder),Frankfurt (Oder),0.38946166193357207
DEBB063,PM10,2020,11.026,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.3545445679734737
DEBB063,PM10,2023,11.858,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.4111434256849839
DEBB044,PM10,2020,14.072,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.5030719719133996
DEBW031,PM10,2022,7.8,ug/m3,Background,Rural,BW,Breisgau-Hochschwarzwald,Staufen-Münstertal,0.057568043861366755
DEBE032,PM10,2013,18.333,ug/m3,Background,Rural,BE,Berlin,Berlin,0.329176441535992
DEBE032,PM10,2023,11.118,ug/m3,Background,Rural,BE,Berlin,Berlin,0.3733863972651666
DEBB075,PM10,2018,17.781,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.5315329378707461
DEBB111,PM10,2024,14.469,ug/m3,Background,Urban,BB,Elbe-Elster,Elsterwerda,0.23800990332468758
DEBB045,PM10,2016,21.389,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.46919011194642324
DEBB112,PM10,2023,13.64,ug/m3,Background,Suburban,BB,Dahme-Spreewald,Wildau,0.5020664319608144
