Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB060,NO2,2013,26.602,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde,0.2784186799213964
DEBB021,NO2,2013,19.136,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.1921165183215813
DEBB065,NO2,2019,6.784,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.0825120931376568
DEBB029,NO2,2019,9.617,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.128966139214561
DEBB029,NO2,2023,6.411,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.1300303381814937
DEBB048,NO2,2014,14.902,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.14174255304283018
DEBB064,NO2,2014,14.124,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.13268276777604399
DEBB064,NO2,2022,9.568,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.1732670150475351
DEBB044,NO2,2019,25.78,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.39399852422726905
DEBB044,NO2,2020,22.025,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.38958050399879285
DEBB049,NO2,2013,24.076,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.249219743382268
DEBB049,NO2,2016,28.251,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.32814074148700384
DEBB049,NO2,2018,26.155,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.3496336436073359
DEBB055,NO2,2025,5.5,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.11794950111993484
DEBB007,NO2,2017,11.676,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.12637962561006091
DEBB007,NO2,2020,11.217,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.18571751923947488
DEBB053,NO2,2016,9.354,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.09016723755792866
DEBB053,NO2,2024,5.189,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.09484663451258049
DEBB067,NO2,2013,11.666,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.10576811929256735
DEBB067,NO2,2017,10.612,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.11238275648868017
DEBB067,NO2,2020,10.725,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.17643730194658216
DEBB075,NO2,2016,14.384,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.1535109812613339
DEBB054,NO2,2014,41.021,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.44589747769988597
DEBB054,NO2,2017,34.28,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.4237341647263112
DEBB054,NO2,2025,12.273,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.2903431073101201
DEBB086,NO2,2014,14.561,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.13777161888348044
DEBB086,NO2,2020,12.583,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.21148332578844123
DEBB029,NO2,2020,8.45,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.1335257280820884
DEBB029,NO2,2021,8.894,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.17004008995795442
DEBB029,NO2,2022,8.019,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.140758462926819
DEBB068,NO2,2013,25.125,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.2613455091896891
DEBB068,NO2,2014,26.808,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.28038754454200343
DEBB068,NO2,2017,24.148,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.2904481892208322
DEBB068,NO2,2020,20.078,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.35285574166289424
DEBB065,NO2,2018,7.357,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.0758059112295882
DEBE056,NO2,2013,12.671,ug/m3,Background,Rural,BE,Berlin,Berlin,0.11738527337880014
DEBE056,NO2,2015,12.847,ug/m3,Background,Rural,BE,Berlin,Berlin,0.12185245959697318
DEBE056,NO2,2016,13.489,ug/m3,Background,Rural,BE,Berlin,Berlin,0.1422400765665928
DEBE056,NO2,2017,12.799,ug/m3,Background,Rural,BE,Berlin,Berlin,0.14115263691016486
DEBE056,NO2,2019,10.992,ug/m3,Background,Rural,BE,Berlin,Berlin,0.1515126670492744
DEBB032,NO2,2023,7.11,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.1456232711698046
DEBB060,NO2,2016,25.777,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde,0.2969851904090268
DEBB060,NO2,2018,22.921,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde,0.30252443589855643
DEBB060,NO2,2021,22.566,ug/m3,Traffic,Urban,BB,Barnim,Eberswalde,0.43741077539845497
DEBB073,NO2,2020,26.975,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.4829485438358232
DEBB083,NO2,2017,9.484,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.0975439704276675
DEBB073,NO2,2018,32.313,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.43933633410537665
DEBB073,NO2,2021,24.793,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.48096215899090633
DEBB066,NO2,2018,7.707,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.08090431033226995
DEBB066,NO2,2019,6.557,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.07878986636058048
DEBB066,NO2,2024,4.053,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.06785620946090427
DEBB066,NO2,2025,3.727,ug/m3,Background,Rural,BB,Dahme-Spreewald,Lieberose/Oberspreewald,0.07282121767460802
DEBB044,NO2,2013,32.703,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.34894231880707444
DEBB044,NO2,2024,16.46,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.3626363182779349
DEBE069,NO2,2017,46.975,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5907362826736124
DEBB045,NO2,2015,37.081,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.4079377634017638
DEBB045,NO2,2018,34.49,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.4710483765240572
DEBB045,NO2,2020,27.755,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.4976610834465067
DEBB045,NO2,2024,27.267,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.6194017439235905
DEBB048,NO2,2020,11.279,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.18688697751622152
DEBB048,NO2,2025,6.932,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.15439828955406232
DEBB055,NO2,2020,10.843,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.1786630451184548
DEBB055,NO2,2024,7.459,ug/m3,Background,Suburban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.14877996626196868
DEBB048,NO2,2024,7.32,ug/m3,Background,Suburban,BB,Ostprignitz-Ruppin,Neuruppin,0.1454774406614555
DEBB075,NO2,2013,14.144,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.13441220668130854
DEBB075,NO2,2023,8.04,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.16636923351476757
DEBB075,NO2,2025,4.568,ug/m3,Background,Suburban,BB,Potsdam,Potsdam,0.0942272449602932
DEBE061,NO2,2014,49.063,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5395463120385682
DEBB063,NO2,2013,11.025,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.09835857126343776
DEBB063,NO2,2016,9.793,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.09569564779367318
DEBB063,NO2,2020,7.69,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.11919043307680702
DEBB109,NO2,2020,11.989,ug/m3,Background,Urban,BB,Teltow-Fläming,Luckenwalde,0.20027916100799759
