Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude_x,Latitude_x,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency,Longitude_y,Latitude_y,geometry,state,district,town_city
Germany,,,DEUB020,,SPO-DEUB020_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max,1 year hour max,1990,668.55,ug/m3,30.74,,Background,rural,11.3937,53.6375,59.0,Schwerin                                                                        ,DE031C1                                           ,95653.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.3937,53.6375,POINT (11.3937 53.6375),Mecklenburg-Vorpommern,Schwerin,Schwerin
Germany,,,DEUB020,,SPO-DEUB020_00001_100,SO2,Sulphur dioxide (air),P1Y-day-max-per99.18,1 year 99.18 percentile of daily maximum,1990,242.394,ug/m3,30.69,,Background,rural,11.3937,53.6375,59.0,Schwerin                                                                        ,DE031C1                                           ,95653.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.3937,53.6375,POINT (11.3937 53.6375),Mecklenburg-Vorpommern,Schwerin,Schwerin
Germany,,,DEUB020,,SPO-DEUB020_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max-per99.73,1 year 99.73 %ile of hourly values in a given year,1990,449.6,ug/m3,30.74,,Background,rural,11.3937,53.6375,59.0,Schwerin                                                                        ,DE031C1                                           ,95653.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.3937,53.6375,POINT (11.3937 53.6375),Mecklenburg-Vorpommern,Schwerin,Schwerin
Germany,,,DENW054,,SPO-DENW054_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max25,1 year hour max 25,1990,105.0,ug/m3,93.88,,Background,suburban,7.006,51.0384,45.0,Leverkusen                                                                      ,DE519C1                                           ,163729.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,7.006,51.0384,POINT (7.006 51.0384),Nordrhein-Westfalen,Leverkusen,Leverkusen
Germany,,,DENW054,,SPO-DENW054_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-per50,1 year 50 percentile,1990,20.0,ug/m3,93.88,,Background,suburban,7.006,51.0384,45.0,Leverkusen                                                                      ,DE519C1                                           ,163729.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,7.006,51.0384,POINT (7.006 51.0384),Nordrhein-Westfalen,Leverkusen,Leverkusen
Germany,,,DENW055,,SPO-DENW055_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max25,1 year hour max 25,1990,122.0,ug/m3,95.27,,Background,suburban,6.8789,50.9549,50.0,Köln                                                                            ,DE004C1                                           ,1087863.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,6.8789,50.9549,POINT (6.8789 50.9549),Nordrhein-Westfalen,Köln,Köln
Germany,,,DENW055,,SPO-DENW055_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-per50,1 year 50 percentile,1990,20.0,ug/m3,95.27,,Background,suburban,6.8789,50.9549,50.0,Köln                                                                            ,DE004C1                                           ,1087863.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,6.8789,50.9549,POINT (6.8789 50.9549),Nordrhein-Westfalen,Köln,Köln
Germany,,,DESH012,,SPO-DESH012_00001_100,SO2,Sulphur dioxide (air),P1Y-day-per50,1 year 50 %ile of daily values in a year,1990,14.708,ug/m3,15.34,,Background,suburban,10.1044,54.3442,25.0,Kiel                                                                            ,DE039C1                                           ,246794.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,10.1044,54.3442,POINT (10.1044 54.3442),Schleswig-Holstein,Kiel,Kiel
Germany,,,DENW048,,SPO-DENW048_00001_100,SO2,Sulphur dioxide (air),P1Y-daysAbove125,1 year day exceed 125,1990,0.0,count,94.52,,Background,suburban,6.8592,51.1888,40.0,Düsseldorf                                                                      ,DE011C1                                           ,621877.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,6.8592,51.1888,POINT (6.8592 51.1888),Nordrhein-Westfalen,Düsseldorf,Düsseldorf
Germany,,,DEUB020,,SPO-DEUB020_00001_100,SO2,Sulphur dioxide (air),P1Y-day-max4,1 year day max 4,1990,212.615,ug/m3,30.69,,Background,rural,11.3937,53.6375,59.0,Schwerin                                                                        ,DE031C1                                           ,95653.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,11.3937,53.6375,POINT (11.3937 53.6375),Mecklenburg-Vorpommern,Schwerin,Schwerin
Germany,,,DENW056,,SPO-DENW056_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max,1 year hour max,1990,156.0,ug/m3,95.66,,Background,suburban,6.9888,50.9693,40.0,Köln                                                                            ,DE004C1                                           ,1087863.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,6.9888,50.9693,POINT (6.9888 50.9693),Nordrhein-Westfalen,Köln,Köln
Germany,,,DESH012,,SPO-DESH012_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max-per99.73,1 year 99.73 %ile of hourly values in a given year,1990,214.0,ug/m3,23.36,,Background,suburban,10.1044,54.3442,25.0,Kiel                                                                            ,DE039C1                                           ,246794.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,10.1044,54.3442,POINT (10.1044 54.3442),Schleswig-Holstein,Kiel,Kiel
Germany,,,DENW023,,SPO-DENW023_00001_100,SO2,Sulphur dioxide (air),P1Y-daysAbove125,1 year day exceed 125,1990,0.0,count,92.88,,Background,suburban,7.2239,51.5276,70.0,Herne                                                                           ,DE515C1                                           ,156449.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,7.2239,51.5276,POINT (7.2239 51.5276),Nordrhein-Westfalen,Herne,Herne
Germany,,,DENW054,,SPO-DENW054_00001_100,SO2,Sulphur dioxide (air),P1Y-day-max,1 year day max,1990,65.522,ug/m3,96.71,,Background,suburban,7.006,51.0384,45.0,Leverkusen                                                                      ,DE519C1                                           ,163729.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,7.006,51.0384,POINT (7.006 51.0384),Nordrhein-Westfalen,Leverkusen,Leverkusen
Germany,,,DENW026,,SPO-DENW026_00001_100,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,1990,22.082,ug/m3,88.3,,Background,suburban,7.0928,51.4556,97.0,Essen                                                                           ,DE006C1                                           ,582760.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,7.0928,51.4556,POINT (7.0928 51.4556),Nordrhein-Westfalen,Essen,Essen
Germany,,,DESN009,,SPO-DESN009_00001_100,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,1990,128.954,ug/m3,96.46,,Background,suburban,12.9591,50.8676,,Chemnitz                                                                        ,DE505C1                                           ,246334.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,12.9591,50.8676,POINT (12.9591 50.8676),Sachsen,Chemnitz,Chemnitz
Germany,,,DENW036,,SPO-DENW036_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max25,1 year hour max 25,1990,170.0,ug/m3,95.69,,Background,suburban,6.6482,51.4595,28.0,Moers                                                                           ,DE023C1                                           ,103902.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,6.6482,51.4595,POINT (6.6482 51.4595),Nordrhein-Westfalen,Wesel,Moers
Germany,,,DEBE034,,SPO-DEBE034_00001_100,SO2,Sulphur dioxide (air),P1Y-hr-max,1 year hour max,1990,750.0,ug/m3,99.3,,Background,urban,13.4308,52.4895,35.0,Berlin                                                                          ,DE001C1                                           ,3669491.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,13.4308,52.4895,POINT (13.4308 52.4895),Berlin,Berlin,Berlin
Germany,,,DEBW083,,SPO-DEBW083_00001_100,SO2,Sulphur dioxide (air),P1Y-daysAbove125,1 year day exceed 125,1990,0.0,count,93.97,,Traffic,urban,7.8549,47.9997,260.0,Freiburg im Breisgau                                                            ,DE027C1                                           ,231195.0,Reporting within EoI/AirBase 8,31/12/2012 00:00:00,,,7.8549,47.9997,POINT (7.8549 47.9997),Baden-Württemberg,Freiburg im Breisgau,Freiburg im Breisgau
