Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEUB022,O3,1991,50.123,ug/m3,Background,rural,BB,Uckermark,Angermünde,,1.4034854771784235,
DEUB022,O3,1992,48.847,ug/m3,Background,rural,BB,Uckermark,Angermünde,-1.2759999999999962,1.7184129692832764,-0.7425456062125719
DEUB022,O3,1993,45.287,ug/m3,Background,rural,BB,Uckermark,Angermünde,-3.5600000000000023,-0.15195859872611478,23.427433721052076
DEUB022,O3,1994,49.007,ug/m3,Background,rural,BB,Uckermark,Angermünde,3.719999999999999,2.561679525222552,1.4521722812602076
DEUB022,O3,1995,52.658,ug/m3,Background,rural,BB,Uckermark,Angermünde,3.6510000000000034,-1.044154696132597,-3.49660832204538
DEUB022,O3,1996,52.403,ug/m3,Background,rural,BB,Uckermark,Angermünde,-0.25500000000000256,-0.7932167487684729,0.32147581401415026
DEUB022,O3,1997,49.501,ug/m3,Background,rural,BB,Uckermark,Angermünde,-2.902000000000001,0.9911479028697573,-2.9279182164413466
DEUB022,O3,1998,53.629,ug/m3,Background,rural,BB,Uckermark,Angermünde,4.128,1.5311703056768557,2.6959770475533174
DEUB022,O3,1999,51.257,ug/m3,Background,rural,BB,Uckermark,Angermünde,-2.372,1.408478260869565,-1.684087050470752
DEBB065,O3,2003,62.161,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,,5.031058823529412,
DEBB065,O3,2004,54.907,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-7.254000000000005,-4.106566197183098,1.7664393197839818
DEBB065,O3,2005,55.713,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.8060000000000045,0.2184495677233431,3.689638795810155
DEBB065,O3,2006,52.949,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-2.764000000000003,2.1944298507462685,-1.25955268019164
DEBB065,O3,2007,51.541,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-1.4080000000000013,-2.3025641791044777,0.6114921845729425
DEBB065,O3,2008,51.832,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.2910000000000039,-0.18010149253731333,-1.615755627009669
DEBB065,O3,2009,50.541,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-1.291000000000004,-1.1085171339563864,1.1646188953276
DEBB065,O3,2010,50.779,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.23800000000000665,1.3363395638629285,0.17809844626018936
DEBB065,O3,2011,50.215,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.5640000000000001,-0.6983973063973065,0.8075632520826905
DEBB065,O3,2012,49.859,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.35600000000000165,0.5109966555183948,-0.6966777495614869
DEBB065,O3,2013,51.917,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,2.058,0.6431845018450181,3.1997039637872
DEBB065,O3,2014,46.881,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-5.036000000000001,-2.5478819188191877,1.9765437176672334
