Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEUB022,NO2,1991,12.035,ug/m3,Background,rural,BB,Uckermark,Angermünde,,1.0911482758620692,
DEUB022,NO2,1992,9.719,ug/m3,Background,rural,BB,Uckermark,Angermünde,-2.3160000000000007,-1.1657548209366393,1.9866956227890042
DEUB022,NO2,1993,11.214,ug/m3,Background,rural,BB,Uckermark,Angermünde,1.495000000000001,-0.93305,-1.6022721183216344
DEUB022,NO2,1994,12.59,ug/m3,Background,rural,BB,Uckermark,Angermünde,1.3759999999999994,-1.1790382513661202,-1.1670528911217808
DEUB022,NO2,1995,10.605,ug/m3,Background,rural,BB,Uckermark,Angermünde,-1.9849999999999994,0.31805111111111106,-6.241135247304765
DEUB022,NO2,1996,14.033,ug/m3,Background,rural,BB,Uckermark,Angermünde,3.427999999999999,0.633414551607445,5.411937555429706
DEUB022,NO2,1997,11.98,ug/m3,Background,rural,BB,Uckermark,Angermünde,-2.052999999999999,-0.09385059422750415,21.875194471580027
DEUB022,NO2,1998,12.655,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.6749999999999989,-0.8200940325497288,-0.8230763463811308
DEUB022,NO2,1999,15.383,ug/m3,Background,rural,BB,Uckermark,Angermünde,2.7279999999999998,-0.6543920922570017,-4.1687545315395145
DEBB065,NO2,2003,13.801,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,,1.2274020202020202,
DEBB069,NO2,2004,27.449,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,13.648000000000001,-1.479365344467641,-9.225577745915984
DEBB065,NO2,2004,8.708,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-18.741,-1.479365344467641,12.668270262031905
DEBB069,NO2,2005,29.095,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,20.387,0.38800572519083976,52.54303912647861
DEBB065,NO2,2005,8.815,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-20.28,0.38800572519083976,-52.26726999975407
DEBB069,NO2,2006,28.449,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,19.634,1.0483598484848484,18.728302145848314
DEBB065,NO2,2006,13.023,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-15.426000000000002,1.0483598484848484,-14.714413206776822
DEBB069,NO2,2007,8.794,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,-4.228999999999999,-0.6833181818181818,6.188917714361736
DEBB065,NO2,2007,10.091,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,1.2969999999999988,-0.6833181818181818,-1.8980908667597933
DEBB065,NO2,2008,7.77,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-2.3209999999999997,0.2012898832684825,-11.530634139740776
DEBB065,NO2,2009,7.928,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.15800000000000036,0.2801080139372823,0.5640681170777835
DEBB065,NO2,2010,9.657,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,1.729,0.5359085457271364,3.2262967511630967
DEBB065,NO2,2011,8.86,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.7970000000000006,-0.49229670329670333,1.6189423871068562
DEBB065,NO2,2012,8.658,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.20199999999999996,-0.8250618238021638,0.24483013778181578
DEBB065,NO2,2013,8.26,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.3979999999999997,-0.3699945454545454,1.0756915335361201
DEBB065,NO2,2014,7.26,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-1.0,-0.7444154411764705,1.3433359179379796
DEBB065,NO2,2015,6.67,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.5899999999999999,0.10621245421245416,-5.554904124706858
DEBB065,NO2,2016,7.117,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.44700000000000006,-0.29958318425760283,-1.4920730651411924
DEBB065,NO2,2017,6.569,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.548,-0.82225,0.6664639708117969
DEBB065,NO2,2018,7.357,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.7880000000000003,-0.22040034364261157,-3.5753120298114207
DEBB065,NO2,2019,6.784,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.5730000000000004,-1.2780651828298888,0.4483339407863887
DEBB065,NO2,2020,5.957,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.827,-1.4497996870109546,0.570423629836079
DEBB065,NO2,2021,5.978,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.020999999999999908,-0.06764165390505354,-0.3104595879556249
DEBB065,NO2,2022,5.969,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.008999999999999453,-0.31672939346811824,0.028415423972658182
DEBB065,NO2,2023,3.936,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-2.0330000000000004,-0.8935428109854603,2.2752127542248015
DEBB065,NO2,2024,4.462,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.5259999999999998,-0.7451789264413519,-0.7058707396785164
DEBB065,NO2,2025,3.545,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,-0.9169999999999998,-1.0391064935064933,0.8824889515467834
DEBB039,NO2,1997,22.195,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,,-0.09385059422750415,
DEBB039,NO2,1998,25.987,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,3.791999999999998,-0.8200940325497288,-4.6238600081144465
DEBB050,NO2,1999,17.872,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,-8.114999999999998,-0.6543920922570017,12.40082222266978
DEBB050,NO2,2000,16.435,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,-1.4370000000000012,-0.7877622789783889,1.8241543652782886
DEBB050,NO2,2001,14.619,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,-1.815999999999999,-0.4724324786324786,3.843935550867847
DEBB050,NO2,2002,15.203,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,0.5839999999999996,0.1768657587548638,3.3019393019393
DEBB050,NO2,2003,19.857,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,4.654,1.2274020202020202,3.791748688204041
DEBB050,NO2,2004,20.352,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,0.495000000000001,-1.479365344467641,-0.3346029443309218
DEBB050,NO2,2005,18.021,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,-2.3309999999999995,0.38800572519083976,-6.007643312101909
DEBB050,NO2,2006,20.742,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,2.721,1.0483598484848484,2.595482842968996
DEBB068,NO2,2006,37.329,ug/m3,Traffic,urban,BB,Barnim,Bernau bei Berlin,16.587,1.0483598484848484,15.82185737461475
DEBB068,NO2,2007,28.641,ug/m3,Traffic,urban,BB,Barnim,Bernau bei Berlin,-8.688000000000002,-0.6833181818181818,12.714428257832772
DEBB050,NO2,2007,15.383,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,-13.258,-0.6833181818181818,19.40238142752611
DEBB068,NO2,2008,27.589,ug/m3,Traffic,urban,BB,Barnim,Bernau bei Berlin,12.206,0.2012898832684825,60.63891439451785
DEBB050,NO2,2008,16.208,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,-11.381,0.2012898832684825,-56.54034775716923
DEBB050,NO2,2009,16.4,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,0.19200000000000017,0.2801080139372823,0.6854498637907233
DEBB068,NO2,2009,27.134,ug/m3,Traffic,urban,BB,Barnim,Bernau bei Berlin,10.734000000000002,0.2801080139372823,38.320931447550095
DEBB068,NO2,2010,28.593,ug/m3,Traffic,urban,BB,Barnim,Bernau bei Berlin,1.4589999999999996,0.5359085457271364,2.722479444735082
DEBB050,NO2,2010,19.483,ug/m3,Background,suburban,BB,Barnim,Bernau bei Berlin,-9.11,0.5359085457271364,-16.999169116885952
DEBB068,NO2,2011,28.51,ug/m3,Traffic,urban,BB,Barnim,Bernau bei Berlin,9.027000000000001,-0.49229670329670333,-18.33650304694301
DEBB068,NO2,2012,24.375,ug/m3,Traffic,urban,BB,Barnim,Bernau bei Berlin,-4.135000000000002,-0.8250618238021638,5.011745642216876
DEBB068,NO2,2013,25.125,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,0.75,-0.3699945454545454,-2.0270569099298763
DEBB068,NO2,2014,26.808,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,1.6829999999999998,-0.7444154411764705,-2.260834349889619
DEBB068,NO2,2015,28.23,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,1.4220000000000006,0.10621245421245416,13.388260449717214
DEBB068,NO2,2016,26.755,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-1.4750000000000014,-0.29958318425760283,4.923507317859643
DEBB068,NO2,2017,24.148,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-2.6069999999999993,-0.82225,3.170568561872909
DEBB068,NO2,2018,23.78,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-0.36799999999999855,-0.22040034364261157,1.6696888667139558
DEBB068,NO2,2019,22.654,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-1.1260000000000012,-1.2780651828298888,0.881019227444108
DEBB068,NO2,2020,20.078,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-2.5760000000000005,-1.4497996870109546,1.7767971831411606
DEBB068,NO2,2021,19.234,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-0.8439999999999976,-0.06764165390505354,12.477518677835612
DEBB068,NO2,2022,18.451,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-0.7830000000000013,-0.31672939346811824,2.472141885621416
DEBB068,NO2,2023,16.377,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-2.0740000000000016,-0.8935428109854603,2.321097517098987
DEBB068,NO2,2024,14.855,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-1.5219999999999985,-0.7451789264413519,2.0424624824918274
DEBB068,NO2,2025,10.341,ug/m3,Traffic,Urban,BB,Barnim,Bernau bei Berlin,-4.514000000000001,-1.0391064935064933,4.344116823644692
DEBB086,NO2,2010,17.17,ug/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,,0.5359085457271364,
DEBB086,NO2,2011,17.191,ug/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.020999999999997243,-0.49229670329670333,-0.04265720216968569
DEBB086,NO2,2012,18.326,ug/m3,Background,suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,1.1350000000000016,-0.8250618238021638,-1.3756544870413927
DEBB086,NO2,2013,16.184,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-2.1419999999999995,-0.3699945454545454,5.789274534759725
DEBB086,NO2,2014,14.561,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-1.623000000000001,-0.7444154411764705,2.1802341948133424
DEBB086,NO2,2015,16.02,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,1.4589999999999996,0.10621245421245416,13.736618843978484
DEBB086,NO2,2016,15.718,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-0.3019999999999996,-0.29958318425760283,1.0080672610126162
DEBB086,NO2,2017,15.222,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-0.49600000000000044,-0.82225,0.6032228640924299
DEBB086,NO2,2018,16.286,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,1.0640000000000018,-0.22040034364261157,-4.8275786798469
DEBB086,NO2,2019,14.33,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-1.9560000000000013,-1.2780651828298888,1.5304383737839027
DEBB086,NO2,2020,12.583,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-1.7469999999999999,-1.4497996870109546,1.2049940523864933
DEBB086,NO2,2021,13.23,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.6470000000000002,-0.06764165390505354,-9.565112067013821
DEBB086,NO2,2022,12.033,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-1.197000000000001,-0.31672939346811824,3.779251388363771
DEBB086,NO2,2023,8.969,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-3.064,-0.8935428109854603,3.429046669426852
DEBB086,NO2,2024,8.753,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-0.2159999999999993,-0.7451789264413519,0.2898632695257778
DEBB086,NO2,2025,5.136,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,-3.617,-1.0391064935064933,3.4808751774751543
DEBB003,NO2,1992,25.19,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,,-1.1657548209366393,
DEBB003,NO2,1993,24.803,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,-0.38700000000000045,-0.93305,0.4147687690906173
DEBB003,NO2,1994,25.572,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.7689999999999984,-1.1790382513661202,-0.652226506738843
DEBB003,NO2,1995,28.156,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,2.5839999999999996,0.31805111111111106,8.124480342083382
DEBB003,NO2,1996,28.644,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.48799999999999955,0.633414551607445,0.770427516642268
DEBB003,NO2,1997,28.789,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.14500000000000313,-0.09385059422750415,-1.5450088642860076
DEBB003,NO2,1998,24.632,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,-4.157,-0.8200940325497288,5.068930921342765
DEBB049,NO2,1999,29.532,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,4.899999999999999,-0.6543920922570017,-7.487865544187542
DEBB003,NO2,1999,23.909,ug/m3,Traffic,urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,-5.623000000000001,-0.6543920922570017,8.592707745911545
