Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEUB022,NO2,1991,12.035,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.08443774412389501
DEUB022,NO2,1992,9.719,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.09201297562686303
DEUB022,NO2,1993,11.214,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.15934228795182603
DEUB022,NO2,1994,12.59,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.1565965299632565
DEUB022,NO2,1995,10.605,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.10669971671388104
DEUB022,NO2,1996,14.033,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.17564250532373163
DEUB022,NO2,1997,11.98,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.11900276564190948
DEUB022,NO2,1998,12.655,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.13824145654215733
DEUB022,NO2,1999,15.383,ug/m3,Background,rural,BB,Uckermark,Angermünde,0.17558350709625345
DEBB065,NO2,2003,13.801,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.1420613531740403
DEBB069,NO2,2004,27.449,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,0.29290232077375533
DEBB065,NO2,2004,8.708,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.06228927226638446
DEBB069,NO2,2005,29.095,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,0.2961194567689917
DEBB065,NO2,2005,8.815,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.06774622193193848
DEBB069,NO2,2006,28.449,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,0.21852911477616965
DEBB065,NO2,2006,13.023,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.08872433524065972
DEBB069,NO2,2007,8.794,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,0.05605435339370452
DEBB065,NO2,2007,10.091,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.06858926655777947
DEBB065,NO2,2008,7.77,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.05007699711260827
DEBB065,NO2,2009,7.928,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.05164173659248449
DEBB065,NO2,2010,9.657,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.07286734117405372
DEBB065,NO2,2011,8.86,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.07349306748209272
DEBB065,NO2,2012,8.658,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.07124147002282155
DEBB065,NO2,2013,8.26,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.06639694832967287
DEBB065,NO2,2014,7.26,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.05275170598784265
DEBB065,NO2,2015,6.67,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.04893222679998584
DEBB065,NO2,2016,7.117,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.06199627241587749
