Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB065,PM10,2004,20.874,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.2818531764448933
DEBB069,PM10,2005,27.765,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,0.515878898454872
DEBB065,PM10,2005,21.602,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.3401847311705342
DEBB069,PM10,2006,30.938,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,0.4617069285903902
DEBB065,PM10,2006,20.475,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.2302451110521193
DEBB069,PM10,2007,15.75,ug/m3,Traffic,urban,BB,Potsdam-Mittelmark,Bad Belzig,0.14518839045273552
DEBB065,PM10,2007,17.202,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.17860841945358716
DEBB065,PM10,2008,17.045,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.24571527640182295
DEBB065,PM10,2009,16.678,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.13678774533876156
DEBB065,PM10,2010,20.55,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.34980095101183234
DEBB065,PM10,2011,17.927,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.29362971803669996
DEBB065,PM10,2012,15.073,ug/m3,Background,rural,BB,Potsdam-Mittelmark,Bad Belzig,0.27538754068774374
DEBB065,PM10,2013,15.596,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.2446907025558711
DEBB065,PM10,2014,10.922,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.12276940330507635
DEBB065,PM10,2015,14.719,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.23511904761904756
DEBB065,PM10,2016,14.542,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.24441088605101605
DEBB065,PM10,2017,15.039,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.373557120349828
DEBB065,PM10,2018,14.547,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.4053231345613487
DEBB065,PM10,2018,14.982,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.4222994068061192
