Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB045","Frankfurt (Oder), Leipziger Str.","SPO.DE_DEBB045_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2017","0.389","mg/m3","99.83","1","Traffic","Urban","14.5386","52.3373","56.0","Frankfurt (Oder)                                                                ","DE029C1                                           ","57751","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB045_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2014","0.425","mg/m3","99.79","1","Traffic","Urban","13.0375","52.3939","31.0","Potsdam                                                                         ","DE041C1                                           ","180334","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB054_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2024","0.262","mg/m3","96.63","3","Traffic","Urban","13.0375","52.3939","31.0","Potsdam                                                                         ","DE041C1                                           ","180334","E2a/UTD AQ e-Reporting","02/01/2025 21:24:24","",""
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB032","Eisenhüttenstadt","SPO.DE_DEBB032_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2013","0.269","mg/m3","99.93","1","Industrial","Suburban","14.6382","52.1463","40.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB032_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB032","Eisenhüttenstadt","SPO.DE_DEBB032_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2018","0.261","mg/m3","99.83","1","Industrial","Suburban","14.6382","52.1463","40.0","","","","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB032_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB032","Eisenhüttenstadt","SPO.DE_DEBB032_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2025","0.162","mg/m3","0.50","3","Industrial","Suburban","14.6382","52.1463","40.0","","","","E2a/UTD AQ e-Reporting","02/01/2025 21:24:24","",""
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2015","0.397","mg/m3","99.92","1","Traffic","Urban","13.0375","52.3939","31.0","Potsdam                                                                         ","DE041C1                                           ","180334","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB054_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2016","0.368","mg/m3","99.83","1","Traffic","Urban","13.0375","52.3939","31.0","Potsdam                                                                         ","DE041C1                                           ","180334","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB054_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2018","0.358","mg/m3","99.28","1","Traffic","Urban","13.0375","52.3939","31.0","Potsdam                                                                         ","DE041C1                                           ","180334","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB054_CO_dataGroup1.parquet","hour"
"Germany","NET.DE_BB","Landesamt für Umwelt Brandenburg","DEBB054","Potsdam, Zeppelinstr.","SPO.DE_DEBB054_CO_dataGroup1","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2022","0.225","mg/m3","99.57","1","Traffic","Urban","13.0375","52.3939","31.0","Potsdam                                                                         ","DE041C1                                           ","180334","E1a/validated data AQ e-Reporting","02/01/2025 21:24:24","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/DE/SPO.DE_DEBB054_CO_dataGroup1.parquet","hour"
