Year,avg_air_pollution,Linke,Gruene,SPD,FDP,CDU,AfD,Others
1999,0.688,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0
2000,0.5987777777777779,19.526627218934912,10.650887573964498,24.85207100591716,0.0,44.97041420118343,0.0,0.0
2001,0.5431666666666667,23.404255319148938,9.929078014184398,31.205673758865245,10.638297872340424,24.822695035460992,0.0,0.0
2002,0.41608333333333336,23.404255319148934,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
2003,0.3823846153846154,23.404255319148938,9.929078014184398,31.205673758865252,10.638297872340424,24.82269503546099,0.0,0.0
2004,0.36092307692307696,23.404255319148938,9.929078014184398,31.205673758865252,10.638297872340424,24.82269503546099,0.0,0.0
2005,0.21030000000000001,23.404255319148938,9.929078014184398,31.20567375886525,10.638297872340424,24.822695035460992,0.0,0.0
2006,0.21000000000000002,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.83221476510068,0.0,0.0
2007,0.17930000000000001,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.83221476510068,0.0,0.0
2008,0.214,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100684,0.0,0.0
2009,0.524,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100684,0.0,0.0
2010,0.5026666666666667,15.436241610738255,15.436241610738255,35.57046979865772,8.724832214765101,24.832214765100684,0.0,0.0
2011,0.49766666666666665,12.751677852348996,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
2012,0.466,12.751677852348996,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
2013,0.428,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
2014,0.46950000000000003,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
2015,0.3875,12.751677852348994,19.463087248322147,31.543624161073826,0.0,26.174496644295303,0.0,10.06711409395973
2016,0.40049999999999997,16.875,16.875,23.75,7.5,19.375,15.625,0.0
2017,0.3815,16.875,16.875,23.75,7.5,19.375,15.625,0.0
2018,0.364,16.875,16.875,23.75,7.5,19.375,15.625,0.0
2019,0.349,16.875,16.875,23.75,7.5,19.375,15.625,0.0
2020,0.318,16.875,16.875,23.75,7.5,19.375,15.625,0.0
