Year,avg_air_pollution,Linke,Gruene,SPD,FDP,CDU,AfD,Others
1999,0.684142857142857,0.0,13.333333333333334,25.0,6.666666666666667,41.66666666666667,0.0,13.33333333333333
2000,0.5313333333333333,0.0,13.333333333333334,25.0,6.666666666666667,41.66666666666667,0.0,13.33333333333333
2001,0.4744,0.0,13.333333333333334,25.0,6.666666666666667,41.66666666666667,0.0,13.333333333333332
2002,0.48019999999999996,0.0,13.333333333333334,25.0,6.666666666666667,41.66666666666667,0.0,13.333333333333332
2003,0.5044000000000001,0.0,13.333333333333334,25.0,6.666666666666667,41.66666666666667,0.0,13.333333333333332
2004,0.48775,0.0,18.33333333333333,23.33333333333333,6.666666666666667,35.0,0.0,16.66666666666667
2005,0.474,0.0,18.33333333333333,23.33333333333333,6.666666666666667,35.0,0.0,16.66666666666667
2006,0.5105,0.0,18.33333333333333,23.33333333333333,6.666666666666667,35.0,0.0,16.66666666666667
2007,0.5165,0.0,18.33333333333333,23.33333333333333,6.666666666666667,35.0,0.0,16.66666666666667
2008,0.56925,0.0,18.33333333333333,23.33333333333333,6.666666666666667,35.0,0.0,16.66666666666667
2009,0.509,0.0,26.666666666666668,16.666666666666664,11.666666666666666,25.0,0.0,19.99999999999999
2010,0.37275,0.0,26.666666666666668,16.666666666666664,11.666666666666666,25.0,0.0,19.99999999999999
2011,0.371,0.0,26.666666666666668,16.666666666666664,11.666666666666666,25.0,0.0,19.99999999999999
2012,0.364,0.0,26.666666666666668,16.666666666666664,11.666666666666666,25.0,0.0,19.99999999999999
2013,0.356,0.0,26.666666666666668,16.666666666666664,11.666666666666666,25.0,0.0,19.99999999999999
2014,0.321,0.0,23.33333333333333,15.0,6.666666666666667,28.33333333333333,0.0,26.66666666666667
2015,0.32,0.0,23.33333333333333,15.0,6.666666666666667,28.33333333333333,0.0,26.66666666666667
2016,0.288,0.0,23.33333333333333,15.0,6.666666666666667,28.33333333333333,0.0,26.66666666666667
2017,0.271,0.0,23.33333333333333,15.0,6.666666666666667,28.33333333333333,0.0,26.66666666666667
2018,0.238,0.0,23.33333333333333,15.0,6.666666666666667,28.33333333333333,0.0,26.66666666666667
2019,0.233,5.0,26.666666666666668,11.666666666666666,8.333333333333332,18.33333333333333,6.666666666666667,23.33333333333332
2020,0.22,5.0,26.666666666666668,11.666666666666666,8.333333333333332,18.33333333333333,6.666666666666667,23.33333333333332
2021,0.231,5.0,26.666666666666668,11.666666666666666,8.333333333333332,18.33333333333333,6.666666666666667,23.33333333333332
2022,0.211,5.0,26.666666666666668,11.666666666666666,8.333333333333332,18.33333333333333,6.666666666666667,23.33333333333332
2023,0.193,5.0,26.666666666666668,11.666666666666666,8.333333333333332,18.33333333333333,6.666666666666667,23.33333333333332
