City,Min P-Value,Significant
Aachen,0.4691475467809352,No
Altenburg,0.7575210913453052,No
Ansbach,0.2439749763266357,No
Aschaffenburg,0.006317510600370289,Yes
Aschersleben,0.31564650836985886,No
Augsburg,0.030331652909631076,Yes
Baden-Baden,0.6205751689725887,No
Berlin,0.21800588137722732,No
Bernburg (Saale),0.04304609283178171,Yes
Bielefeld,0.5355764697465801,No
Bonn,0.43177417474789226,No
Brandenburg an der Havel,0.3241927674482469,No
Braunschweig,0.7677864343032879,No
Bremen,0.7073067772219359,No
Bremerhaven,0.20384353594125365,No
Cottbus,0.18854987055315484,No
Cuxhaven,0.39258827154884507,No
Datteln,0.11806266864231359,No
Dessau-Roßlau,0.25274652246993734,No
Dortmund,0.5785510040570301,No
Duisburg,0.7664295534466314,No
Eberswalde,0.06935058978332183,No
Erlangen,0.01767812777876042,Yes
Eschweiler,0.44943841226406833,No
Filderstadt,0.4345538816556862,No
Flensburg,0.34190275402872755,No
Friedrichshafen,0.26279688918841193,No
Goslar,0.5459220443902558,No
Hagen,0.5525979956347209,No
Halberstadt,0.46578054486828435,No
Halle (Saale),0.7723771209281465,No
Hannover,0.4056911637915346,No
Heidenheim an der Brenz,4.13763680463987e-07,Yes
Hof,0.5079795023052394,No
Hürth,0.14557791895991185,No
Jena,0.45951531624172426,No
Kempten (Allgäu),0.010157097882692326,Yes
Konstanz,0.06433180985623191,No
Kulmbach,0.030497612899568954,Yes
Köln,0.5162117550174571,No
Leonberg,0.22752452370568804,No
Lingen (Ems),0.39244972216593144,No
Ludwigsburg,0.6392173185327371,No
Marburg,0.02355180343397937,Yes
Meiningen,0.4659120370421947,No
Mühlacker,0.010052408445882219,Yes
München,0.0026693318905632963,Yes
Naumburg (Saale),0.6086357473942876,No
Netphen,0.07064612783930681,No
Neubrandenburg,0.02709116520700844,Yes
Neuruppin,0.8511819022298102,No
Nordhausen,0.07670430742004031,No
Nürnberg,0.01915090203365415,Yes
Osnabrück,0.6529883877332847,No
Overath,0.1648857819364392,No
Paderborn,0.2693206031041815,No
Passau,0.9108752337555909,No
Pforzheim,0.47071611634983823,No
Ratingen,0.059591067657537425,No
Recklinghausen,0.4906401618750795,No
Regensburg,0.0943848735858723,No
Remscheid,0.04053185936347281,Yes
Reutlingen,0.7756520419373347,No
Riedstadt,0.07716199864387357,No
Rinteln,0.28868561189241737,No
Rostock,0.303489063540609,No
Salzgitter,0.040933063430756304,Yes
Schramberg,0.034619667558799756,Yes
Schwandorf,0.09081578543450454,No
Schwedt/Oder,0.6239170266546079,No
Schweinfurt,0.3476481229704353,No
Schwerte,0.2775898121610917,No
Schwäbisch Gmünd,0.008209897590437054,Yes
Soest,0.21945240358893928,No
Stendal,0.41330967366703525,No
Stralsund,0.17335909906351255,No
Tübingen,0.31925952793033946,No
Villingen-Schwenningen,0.008914720234284954,Yes
Waiblingen,0.37734777504818795,No
Warstein,0.23219200120159378,No
Weil am Rhein,0.1468459177683385,No
Weimar,0.038865218377284044,Yes
Wernigerode,0.023430482873732957,Yes
Wetzlar,0.4734092659863869,No
Wilhelmshaven,0.42304858816406143,No
Witten,0.17332219621793052,No
Wuppertal,0.03530788792523141,Yes
Zeitz,0.23203127276802604,No
