City,Min P-Value,Significant
Aachen,0.18447236673428002,No
Altenburg,0.3818922420110647,No
Ansbach,0.9775753572569348,No
Aschaffenburg,0.07889069127117333,No
Baden-Baden,0.5532278076940894,No
Berlin,0.12032428939689854,No
Bielefeld,0.6465193879244966,No
Bitterfeld-Wolfen,0.0012504881844337679,Yes
Bremen,0.7173237885828547,No
Burg,0.03515398493012675,Yes
Cottbus,0.0055789002624567225,Yes
Cuxhaven,0.2352607035604614,No
Duderstadt,0.28175543119769003,No
Düsseldorf,0.20098341143134288,No
Emden,0.8831499967614227,No
Erlangen,0.057133629815637264,No
Filderstadt,0.516075976930481,No
Freiburg im Breisgau,0.46011435295743386,No
Friedrichshafen,0.01792721091276809,Yes
Fulda,0.4717036695446475,No
Garmisch-Partenkirchen,0.07551887695186121,No
Goslar,0.2169700082195833,No
Güstrow,0.8060163777942801,No
Halberstadt,0.17909577939172722,No
Halle (Saale),0.02754754959311303,Yes
Heidelberg,0.00265305713849745,Yes
Hof,0.4121644639008699,No
Hürth,0.12588638000157362,No
Jena,0.052839512192340704,No
Karlsruhe,0.039780532204460886,Yes
Kehl,0.24934119327906978,No
Kempten (Allgäu),0.5887720022794913,No
Konstanz,0.0883918436236586,No
Krefeld,0.09495428371362137,No
Köln,0.052269366983180174,No
Leverkusen,0.038290521662724744,Yes
Lingen (Ems),0.7400898965049674,No
Ludwigsburg,0.03284368277135092,Yes
Lübeck,0.9468138931428394,No
Mannheim,0.004282001371243718,Yes
Marburg,0.8777802106766356,No
Meiningen,0.07213138600711058,No
Netphen,0.4221963742570618,No
Neu-Ulm,0.6816164948710579,No
Neubrandenburg,0.644577567355956,No
Nordhausen,0.18922947166706058,No
Nürnberg,0.43788022531522564,No
Osnabrück,0.34989719938400726,No
Passau,0.5805826281962018,No
Pforzheim,0.0666290614772269,No
Regensburg,0.48569979510752814,No
Riedstadt,0.7423115358909543,No
Rostock,0.22836968013050557,No
Schwedt/Oder,0.05311804899384886,No
Schwerte,0.26435084390629654,No
Soest,0.4356789385132381,No
Stendal,0.35098744491089273,No
Stralsund,0.020537173349949034,Yes
Stuttgart,0.07918896168565726,No
Tübingen,0.040133222310780856,Yes
Villingen-Schwenningen,0.048919816903694915,Yes
Waiblingen,0.19586427700735978,No
Waldshut-Tiengen,0.14564321291657237,No
Wernigerode,0.3726531247301529,No
Wiesloch,0.011952476499920067,Yes
Wilhelmshaven,0.3502407926657801,No
Würzburg,0.807675073176614,No
Zeitz,0.25592436146449726,No
