City,Min P-Value,Significant
Aalen,0.085618524265662,No
Aschersleben,0.43955384635203576,No
Baden-Baden,0.0782761112669578,No
Bamberg,0.014090332218209645,Yes
Bayreuth,0.008334600554699551,Yes
Berlin,0.33770712330313674,No
Bernau bei Berlin,0.4553017621893693,No
Bochum,0.04821854455512432,Yes
Brandenburg an der Havel,0.582332228888058,No
Braunschweig,0.175688956232401,No
Cottbus,0.41288858950369167,No
Datteln,0.04624945472100602,Yes
Eberswalde,0.27102840671340034,No
Eisenhüttenstadt,0.09949526062427515,No
Emden,0.3200856554869401,No
Erfurt,0.267139272676884,No
Filderstadt,0.3253511309752364,No
Flensburg,0.2038002800099459,No
Freiburg im Breisgau,0.5780896195790601,No
Friedrichshafen,0.5741879031107815,No
Fulda,0.46277993619380087,No
Goslar,0.21738544606107174,No
Greiz,0.47292250132666824,No
Halberstadt,0.8527409509397169,No
Halle (Saale),0.4688721785065774,No
Hannover,0.19918013072858423,No
Heidelberg,0.0981388590631805,No
Kempten (Allgäu),0.1193698502822973,No
Landshut,0.004827530550009276,Yes
Lübeck,0.18024947207621664,No
Mannheim,0.21422474500163302,No
Marburg,0.33835290590197525,No
Meiningen,0.3693269924884067,No
Münster,0.66856172880976,No
Netphen,0.36864789600123044,No
Neubrandenburg,0.1694734179879062,No
Neuruppin,0.2283581332431338,No
Nordhausen,0.2836649696487695,No
Nürnberg,0.06480946187607295,No
Offenbach am Main,0.2743672555787793,No
Osnabrück,0.11906088985915633,No
Riedstadt,0.11674422514716205,No
Saarbrücken,0.12522122108242836,No
Saarlouis,0.8069118971920288,No
Salzgitter,0.04716891304931868,Yes
Schramberg,0.02802067287041362,Yes
Schwedt/Oder,0.12669517161825977,No
Sondershausen,0.0647927236545472,No
Stendal,0.6317077187425343,No
Stuttgart,0.3637717982097908,No
Tübingen,0.48669266734031646,No
Villingen-Schwenningen,0.21317341387650662,No
Völklingen,0.017570242459727627,Yes
Waldshut-Tiengen,0.1784509598848406,No
Weimar,0.26785735204905664,No
Weißenfels,0.6735742025844398,No
Wernigerode,0.27234866293171733,No
Wetzlar,0.40980768870696715,No
Wilhelmshaven,0.29779356415239744,No
