City,Min P-Value,Significant
Aachen,0.04047310643741012,Yes
Aschersleben,0.2729469830002842,No
Augsburg,0.0130151554078732,Yes
Baden-Baden,0.027058386994546643,Yes
Berlin,0.3041359026172461,No
Bernau bei Berlin,0.40621316975932936,No
Bielefeld,0.4461443739315587,No
Brandenburg an der Havel,0.047632698506269514,Yes
Braunschweig,0.33515525865993373,No
Cottbus,0.32089884634586785,No
Datteln,0.11924807681567991,No
Duderstadt,0.44111982948071626,No
Eisenhüttenstadt,0.22975986250682479,No
Emden,0.06243869920759185,No
Erfurt,0.31349424645698526,No
Filderstadt,0.6362289911621839,No
Flensburg,0.22449352489777777,No
Frankfurt (Oder),0.16550121426663378,No
Freiburg im Breisgau,0.11707457361237285,No
Friedrichshafen,0.6094097042404731,No
Fulda,0.3782074507875288,No
Goslar,0.1125566969558253,No
Greiz,0.04003097001651608,Yes
Grevenbroich,0.9297486934188556,No
Hagen,0.8082358362682995,No
Halberstadt,0.12758703593727597,No
Halle (Saale),0.618368250488337,No
Hannover,0.641212689068969,No
Hattingen,0.17633098821182439,No
Heidelberg,0.5235427616194022,No
Hürth,0.07339526555953496,No
Kassel,0.7725857317013497,No
Kempten (Allgäu),0.16371704815706137,No
Kiel,0.1453721351353896,No
Krefeld,0.0005208486297155278,Yes
Leverkusen,0.05719657027555646,No
Lübeck,0.09796055245639017,No
Lüneburg,0.30630652524648366,No
Mannheim,0.6080558492850503,No
Marburg,0.9069821974416321,No
Mülheim an der Ruhr,0.1861233218708192,No
Münster,0.011454356971691787,Yes
Neubrandenburg,0.02407959393480083,Yes
Neuruppin,0.22835813324313542,No
Nordhausen,0.016994623102333344,Yes
Offenbach am Main,0.35999586676610457,No
Osnabrück,0.5812119286795419,No
Passau,0.018215252740991707,Yes
Saarbrücken,0.39109433080727557,No
Saarlouis,0.6570303964314106,No
Salzgitter,0.0061822121774833955,Yes
Schwedt/Oder,0.39694817308476166,No
Schwerte,0.1349284684839816,No
Soest,0.10152826746255855,No
Solingen,0.1419573852700676,No
Spremberg,0.505034993503604,No
Stendal,0.3215042249232207,No
Stuttgart,0.2707155515231079,No
Tübingen,0.0864537868225712,No
Villingen-Schwenningen,0.5792957661518889,No
Völklingen,0.26251235069663226,No
Weimar,0.980185247968607,No
Weißenfels,0.7092242728356405,No
Wiesbaden,0.8657579823151342,No
Wilhelmshaven,0.48467786043837724,No
Wittenberg,0.0030247860463489796,Yes
Wuppertal,0.003232330941169994,Yes
