City,Min P-Value,Significant
Aachen,0.2990455417300801,No
Altenburg,0.5593943193966401,No
Ansbach,0.2567730923115897,No
Aschaffenburg,0.0524013805967553,No
Augsburg,0.27269803693452405,No
Berlin,0.7713855258930846,No
Bielefeld,0.5397591315292087,No
Bonn,0.44461955534348563,No
Borken,0.1364402007522772,No
Braunschweig,0.9880589158380172,No
Bremen,0.8636217915180143,No
Bremerhaven,0.12801434671922496,No
Cuxhaven,0.5258177417636385,No
Datteln,0.06900050469875392,No
Duderstadt,0.1806698750346269,No
Duisburg,0.8416102082698085,No
Eschweiler,0.4382164991778385,No
Essen,0.600226974788683,No
Filderstadt,0.2239285291594347,No
Frankfurt am Main,0.7599991471732926,No
Friedrichshafen,0.05318469633757044,No
Gelsenkirchen,0.0586109483400262,No
Gera,0.16777404964830434,No
Goslar,0.2261460779414885,No
Hanau,0.36327729985336116,No
Hannover,0.17399354523154825,No
Heidenheim an der Brenz,0.007661612314544175,Yes
Hof,0.662486787501091,No
Hürth,0.1805678556533347,No
Jena,0.2463307602011737,No
Kassel,0.7159259464041001,No
Kempten (Allgäu),0.04980392827228502,Yes
Krefeld,0.6756991782055677,No
Kulmbach,0.4113396293389743,No
Leonberg,0.8000091969652152,No
Lingen (Ems),0.7784521521639709,No
Lünen,0.29030973537528043,No
Marburg,0.3957370214239665,No
Meiningen,0.002648142937244361,Yes
Mülheim an der Ruhr,0.10093722061001531,No
München,0.412265070732786,No
Naumburg (Saale),0.07572293881423128,No
Netphen,0.0732690938654913,No
Nettetal,0.7845222822615749,No
Neubrandenburg,0.04559592850925859,Yes
Neuruppin,0.03289585044675636,Yes
Nordhausen,0.07359143928704108,No
Nürnberg,0.7673060555045542,No
Offenbach am Main,0.003677459348236392,Yes
Osnabrück,0.6066411278711975,No
Paderborn,0.23396007894546889,No
Passau,0.9040382377547925,No
Pforzheim,0.6090868508541596,No
Ratingen,0.002175782948624272,Yes
Recklinghausen,0.41958593714437076,No
Regensburg,0.06598069306450573,No
Remscheid,0.023584741734449632,Yes
Reutlingen,0.6470327057732064,No
Rinteln,0.18780901272531134,No
Rostock,0.4427528062757131,No
Salzgitter,0.04442662682263994,Yes
Salzwedel,0.24085685470087104,No
Schweinfurt,0.021444773856317195,Yes
Schwerin,0.580023064243552,No
Schwerte,0.10301797182282643,No
Schwäbisch Gmünd,0.01639203951294182,Yes
Schwäbisch Hall,0.04019686068784442,Yes
Soest,0.13747310883311223,No
Sondershausen,0.0006736154779222379,Yes
Spremberg,0.1544500676919613,No
Stralsund,0.09993721894745576,No
Villingen-Schwenningen,0.09420804835317112,No
Warstein,0.14730331048403866,No
Weißenfels,0.19205492005942357,No
Wernigerode,0.0926322313285671,No
Wesel,0.009749980925652255,Yes
Wetzlar,0.37642254776963974,No
Wiesbaden,0.38536507029101236,No
Wilhelmshaven,0.5877783511219941,No
Witten,0.1445026500193547,No
Wolfsburg,0.21336752373718293,No
Wuppertal,0.08571862442181033,No
Zeitz,0.27295474740601994,No
