City,Min P-Value,Significant
Aachen,0.1051368918220081,No
Altenburg,0.573384273005421,No
Ansbach,0.9775753572570727,No
Aschaffenburg,0.04916914756590661,Yes
Augsburg,0.35228962827038496,No
Berlin,0.09761860232929837,No
Bielefeld,0.6787021163473997,No
Bremen,0.055779237778215605,No
Burg,0.733028583508804,No
Cuxhaven,0.21383080782687533,No
Darmstadt,0.7746913804235716,No
Duderstadt,0.3569196702781356,No
Düsseldorf,0.14184314269149229,No
Emden,0.05326094813272613,No
Essen,0.5832756218648861,No
Filderstadt,0.3467455704818458,No
Frankfurt am Main,0.12642713376014095,No
Freiburg im Breisgau,0.002038118700286602,Yes
Friedrichshafen,0.1490044985404829,No
Fulda,0.6203603556790888,No
Garmisch-Partenkirchen,0.05478211727497304,No
Gera,0.023174255738024712,Yes
Goslar,0.3595484980976418,No
Güstrow,0.7340660550480425,No
Hof,0.5412486905077705,No
Hürth,0.14090279761238597,No
Jena,0.060710965135146344,No
Karlsruhe,0.008978741334807108,Yes
Kempten (Allgäu),0.5166202735944537,No
Kiel,0.4955408528782681,No
Krefeld,0.11182824424403275,No
Leverkusen,0.10402800791046209,No
Lingen (Ems),0.624266434166153,No
Lübeck,0.5420102532291142,No
Lüneburg,0.7650170902418039,No
Mannheim,0.002152591118452237,Yes
Marburg,0.3635366520601111,No
Meiningen,0.19747515244657263,No
Mülheim an der Ruhr,0.15576207257908203,No
Netphen,0.7509133265270849,No
Neu-Ulm,0.33541872839572223,No
Neubrandenburg,0.6014551090078339,No
Nordhausen,0.11883158356781723,No
Nürnberg,0.5963804183453633,No
Osnabrück,0.9055736647310733,No
Passau,0.8218094052833724,No
Pforzheim,0.19312867179941687,No
Regensburg,0.8570676481588606,No
Rostock,0.23560070309763695,No
Salzwedel,0.6040761401654268,No
Schwerte,0.28847060858880613,No
Schwäbisch Hall,0.03144433071786069,Yes
Soest,0.41067916959860995,No
Spremberg,0.15899855346409622,No
Stuttgart,0.32950536702613276,No
Ulm,0.0032478901414507893,Yes
Villingen-Schwenningen,0.009197808150073613,Yes
Waldshut-Tiengen,0.5388474193808949,No
Wernigerode,0.31985128529734796,No
Wesel,0.2160356016228966,No
Wiesbaden,0.33120417699206317,No
Wiesloch,0.0003644881821387008,Yes
Wilhelmshaven,0.1165220388526743,No
Würzburg,0.3058985130940006,No
Zeitz,0.5751860000445446,No
