City,Min P-Value,Significant
Aalen,0.11663651948412862,No
Augsburg,0.002723443952306979,Yes
Bayreuth,0.15173695038967688,No
Berlin,0.2665559993805793,No
Bernau bei Berlin,0.4346658450252543,No
Bochum,0.2750031726509148,No
Borken,0.1598192426952651,No
Braunschweig,0.6020991802265808,No
Datteln,0.03841679979135117,Yes
Duderstadt,0.06921905937273161,No
Emden,0.29614119432329544,No
Filderstadt,0.5998719698848183,No
Freiburg im Breisgau,0.5124029501513312,No
Friedrichshafen,0.1062336847531459,No
Fulda,0.9155904070785993,No
Fürth,0.012655590053224796,Yes
Gelsenkirchen,0.5051197217104441,No
Goslar,0.11608932348753226,No
Hannover,0.4473188842189981,No
Hürth,0.04900647516920718,Yes
Kassel,0.5302176833640524,No
Kempten (Allgäu),0.1637170481570608,No
Kiel,0.1736618285008186,No
Köln,0.5805645002147002,No
Lübeck,0.09796055245639036,No
Lüneburg,0.25074861991077285,No
Mannheim,0.1203284639861479,No
Marburg,0.737601790958021,No
München,0.007748220038454126,Yes
Münster,0.27761953275879886,No
Nettetal,0.15719432948137751,No
Neubrandenburg,0.0063193107842375515,Yes
Neuruppin,0.31570564774101045,No
Nordhausen,0.267381945575215,No
Nürnberg,0.08157164004243588,No
Offenbach am Main,0.4619761990266139,No
Osnabrück,0.5947690842612182,No
Saarbrücken,0.1663891248845761,No
Saarlouis,0.2539893006307997,No
Salzgitter,0.06201521595630112,No
Schwerte,0.20645929913437744,No
Soest,0.01881992909929045,Yes
Sondershausen,0.36829933074608073,No
Spremberg,0.42051759121623605,No
Stuttgart,0.22886517177257537,No
Villingen-Schwenningen,0.31220466731206187,No
Waldshut-Tiengen,0.2671338327653806,No
Weißenfels,0.7464690474356289,No
Wetzlar,0.9020201388259457,No
Wiesbaden,0.8005955556729198,No
Wilhelmshaven,0.36844076446955376,No
Wittenberg,0.06405412877946579,No
