City,Min P-Value,Significant
Augsburg,0.21154079130571954,No
Berlin,0.6175736994534451,No
Biberach an der Riß,0.1105582624333588,No
Bitterfeld-Wolfen,0.01452222289087289,Yes
Burg,0.04985952664826871,Yes
Cuxhaven,0.20834324670093016,No
Eisenhüttenstadt,0.17429158442485312,No
Emden,0.5802385347933406,No
Filderstadt,0.02176088637346113,Yes
Frankfurt am Main,0.5061683827647055,No
Friedrichshafen,0.0015717123837902872,Yes
Gera,0.21829508626307614,No
Goslar,0.27881587608250175,No
Greiz,0.75489341481488,No
Güstrow,0.45681751192640785,No
Halberstadt,0.3595081236922062,No
Halle (Saale),0.07599707622295668,No
Heidelberg,0.205924660131681,No
Heilbronn,0.02494607523110485,Yes
Hof,0.23923321694321098,No
Jena,0.4943040109322205,No
Karlsruhe,0.02122911221624014,Yes
Kiel,0.6758315354370686,No
Köln,0.2969644759070878,No
Lingen (Ems),0.21043701138906656,No
Ludwigsburg,0.014298141266601463,Yes
Lüneburg,0.15861297204084673,No
Mannheim,0.005786067598928864,Yes
Meiningen,0.2164780074547965,No
Neubrandenburg,0.44857067139125995,No
Nordhausen,0.21928605226131245,No
Osnabrück,0.4507703425389963,No
Pforzheim,0.19312867179941592,No
Ratingen,0.4637306436120966,No
Regensburg,0.8570676481588584,No
Rostock,0.06154878166841069,No
Salzwedel,0.021268673406933024,Yes
Schwedt/Oder,0.05311804899384886,No
Stendal,0.3189604008597674,No
Stuttgart,0.012282112489785604,Yes
Ulm,0.0142559534432685,Yes
Wernigerode,0.1492339637731492,No
Wilhelmshaven,0.06062158226942611,No
Würzburg,0.6043511745507384,No
Zeitz,0.9177780313483965,No
