City,Min P-Value,Significant
Altenburg,0.25231506118511454,No
Ansbach,0.3868244813115387,No
Aschaffenburg,0.06975416743223768,No
Augsburg,0.13462304680551906,No
Baden-Baden,0.6840142106493168,No
Berlin,0.967729699334394,No
Bernau bei Berlin,0.3293804011770986,No
Bernburg (Saale),0.149225265463206,No
Borken,0.014489386459578013,Yes
Bottrop,0.11582322259470837,No
Brandenburg an der Havel,0.7990095780006403,No
Braunschweig,0.8406248538128379,No
Bremerhaven,0.28348819249272267,No
Cottbus,0.11935805212481729,No
Cuxhaven,0.16459616044897135,No
Datteln,0.06373183258644385,No
Duderstadt,0.024619987517033086,Yes
Duisburg,0.7602612604358663,No
Eisenhüttenstadt,0.4868091400795188,No
Erlangen,0.46572452002118214,No
Eschweiler,0.4357018403661849,No
Essen,0.7797649929689352,No
Filderstadt,0.1759298832546125,No
Flensburg,0.670468661694888,No
Frankfurt (Oder),0.7463362533386657,No
Frankfurt am Main,0.340708935176047,No
Friedrichshafen,0.015522493461543937,Yes
Gelsenkirchen,0.042209430349611804,Yes
Gera,0.5281989413466768,No
Goslar,0.18806973667197793,No
Halberstadt,0.8101460251277277,No
Halle (Saale),0.5703732963246713,No
Hanau,0.4525098989781863,No
Hattingen,0.05377483459389923,No
Heidenheim an der Brenz,0.5206299229570599,No
Hof,0.470782941585543,No
Jena,0.24186895494215616,No
Kassel,0.014820442070795093,Yes
Kempten (Allgäu),0.2414944346322694,No
Konstanz,0.09336655924147007,No
Krefeld,0.4391993604520167,No
Kulmbach,0.19709252441278796,No
Leonberg,0.20875131984781312,No
Lindau (Bodensee),0.570332613974983,No
Lingen (Ems),0.23294371849230772,No
Ludwigsburg,0.6831501097198387,No
Marburg,0.5699151670143032,No
Mönchengladbach,0.6259810908341354,No
München,0.21078298416449032,No
Netphen,0.07002898433302478,No
Neubrandenburg,0.8447773723000016,No
Neuruppin,0.14562884557853978,No
Nordhausen,0.12658160312265027,No
Nürnberg,0.018768902950091128,Yes
Offenbach am Main,0.5607206178008429,No
Paderborn,0.23146904323239048,No
Passau,0.045640547622762664,Yes
Recklinghausen,0.4971129612768993,No
Regensburg,0.4639792037380585,No
Remscheid,0.02690387013876986,Yes
Riedstadt,0.0075297367307716745,Yes
Rinteln,0.1778121024218677,No
Salzgitter,0.07957101802676046,No
Salzwedel,0.38916251962107323,No
Schramberg,0.18593087970890187,No
Schwandorf,0.5489525515466062,No
Schwedt/Oder,0.5189582828092134,No
Schweinfurt,0.045096812062763454,Yes
Schwerin,0.5385193671688293,No
Schwerte,0.09697066323246505,No
Schwäbisch Gmünd,0.006301356330072276,Yes
Schwäbisch Hall,0.0974489392634036,No
Soest,0.2938805903483518,No
Sondershausen,0.2739992501117514,No
Stendal,0.1390605314601679,No
Stralsund,0.48768915217676423,No
Tübingen,0.15633391260990132,No
Unna,0.00011512040373968171,Yes
Villingen-Schwenningen,0.19095173056608006,No
Waiblingen,0.38216546537348867,No
Warstein,0.21760420496290417,No
Weimar,0.6441119139672495,No
Wernigerode,0.21369587189736106,No
Wesel,0.00353075218182899,Yes
Witten,0.133772643077756,No
Wolfsburg,0.027077406393649802,Yes
Wuppertal,0.20174217711062956,No
Zeitz,0.3533208524755506,No
