City,Min P-Value,Significant
Baden-Baden,0.07494323034994181,No
Bamberg,0.2041006831878378,No
Berlin,0.0303781948919706,Yes
Bernau bei Berlin,0.5580914564141715,No
Bochum,0.22159200261038645,No
Bonn,0.3490029801566271,No
Borken,0.27525710139915255,No
Brandenburg an der Havel,0.5829102197633013,No
Braunschweig,0.07582464693080085,No
Cottbus,0.3072299533045283,No
Duderstadt,0.0036992314614462973,Yes
Eisenhüttenstadt,0.3013063003078067,No
Emden,0.21764325542003485,No
Erfurt,0.4556872292987707,No
Filderstadt,0.2659722588345752,No
Flensburg,0.1975282096463705,No
Frankfurt (Oder),0.6151369906272001,No
Friedrichshafen,0.189038952247477,No
Gelsenkirchen,0.3349741113029184,No
Goslar,0.11444688027380134,No
Greiz,0.0061554283979869855,Yes
Halle (Saale),0.481759566905984,No
Hattingen,0.2939667248862998,No
Heidelberg,0.06097864808221501,No
Kassel,0.22530239013683329,No
Kempten (Allgäu),0.16752969385840685,No
Kiel,0.16579612447806857,No
Krefeld,0.0614435955392557,No
Landshut,0.015621264253508075,Yes
Lübeck,0.14493587060162377,No
Lüneburg,0.19336487591496967,No
Marburg,0.5431884950400611,No
Meiningen,0.23672921695025445,No
Netphen,0.375375809952423,No
Neubrandenburg,0.6375899160013976,No
Neuruppin,0.686467165671172,No
Offenbach am Main,0.27987605511425223,No
Riedstadt,0.214544303359429,No
Saarbrücken,0.30574109294053253,No
Saarlouis,0.7063276638757371,No
Salzgitter,0.003701960128359485,Yes
Schramberg,0.03609464142905318,Yes
Schwedt/Oder,0.5137593267141356,No
Schwerte,0.2518525388925483,No
Sondershausen,0.1371084773225557,No
Stuttgart,0.021038723197773345,Yes
Tübingen,0.37745648330527026,No
Villingen-Schwenningen,0.3135360644162055,No
Völklingen,0.11484207465481464,No
Weimar,0.05431610040663962,No
Weißenfels,0.7092842535198837,No
Wernigerode,0.12078376127990627,No
Wittenberg,0.22435444306972782,No
