,city,state,population
1,Berlin,Berlin,"3,755,251"
2,Hamburg,Hamburg,"1,892,122"
3,Munich (München),Bavaria,"1,512,491"
4,Cologne (Köln),North Rhine-Westphalia,"1,084,831"
5,Frankfurt,Hesse,"773,068"
6,Stuttgart,Baden-Württemberg,"632,865"
7,Düsseldorf,North Rhine-Westphalia,"629,047"
8,Leipzig,Saxony,"616,093"
9,Dortmund,North Rhine-Westphalia,"593,317"
10,Essen,North Rhine-Westphalia,"584,580"
11,Bremen,Free Hanseatic City of Bremen,"569,396"
12,Dresden,Saxony,"563,311"
13,Hanover (Hannover),Lower Saxony,"545,045"
14,Nuremberg (Nürnberg),Bavaria,"523,026"
15,Duisburg,North Rhine-Westphalia,"502,211"
16,Bochum,North Rhine-Westphalia,"365,742"
17,Wuppertal,North Rhine-Westphalia,"358,876"
18,Bielefeld,North Rhine-Westphalia,"338,332"
19,Bonn,North Rhine-Westphalia,336.465
20,Münster,North Rhine-Westphalia,"320,946"
21,Mannheim,Baden-Württemberg,"315,554"
22,Karlsruhe,Baden-Württemberg,"308,707"
23,Augsburg,Bavaria,"301,033"
24,Wiesbaden,Hesse,"283,083"
25,Mönchengladbach,North Rhine-Westphalia,"268,465"
26,Gelsenkirchen,North Rhine-Westphalia,"263,000"
27,Aachen,North Rhine-Westphalia,"252,136"
28,Braunschweig,Lower Saxony,"251,804"
29,Chemnitz,Saxony,"248,563"
30,Kiel,Schleswig-Holstein,"247,717"
31,Halle,Saxony-Anhalt,"242,083"
32,Magdeburg,Saxony-Anhalt,"239,364"
33,Freiburg,Baden-Württemberg,"236,140"
34,Krefeld,North Rhine-Westphalia,"228,426"
35,Mainz,Rhineland-Palatinate,"220,552"
36,Lübeck,Schleswig-Holstein,"218,095"
37,Erfurt,Thuringia,"214,969"
38,Oberhausen,North Rhine-Westphalia,"210,824"
39,Rostock,Mecklenburg-Vorpommern,"209,920"
40,Kassel,Hesse,"204,202"
41,Hagen,North Rhine-Westphalia,"189,783"
42,Potsdam,Brandenburg,"185,750"
43,Saarbrücken,Saarland,"181,959"
44,Hamm,North Rhine-Westphalia,"180,849"
45,Ludwigshafen,Rhineland-Palatinate,"174,265"
46,Oldenburg,Lower Saxony,"172,830"
47,Mülheim,North Rhine-Westphalia,"172,404"
48,Osnabrück,Lower Saxony,"167,366"
49,Leverkusen,North Rhine-Westphalia,"165,748"
50,Heidelberg,Baden-Württemberg,"162,273"
51,Darmstadt,Hesse,"162,243"
52,Solingen,North Rhine-Westphalia,"160,643"
53,Regensburg,Bavaria,"157,443"
54,Herne,North Rhine-Westphalia,"157,368"
55,Paderborn,North Rhine-Westphalia,"154,755"
56,Neuss,North Rhine-Westphalia,"154,139"
57,Ingolstadt,Bavaria,"141,029"
58,Offenbach,Hesse,"134,170"
59,Fürth,Bavaria,"131,433"
60,Ulm,Baden-Württemberg,"128,928"
61,Heilbronn,Baden-Württemberg,"128,334"
62,Pforzheim,Baden-Württemberg,"127,849"
63,Würzburg,Bavaria,"127,810"
64,Wolfsburg,Lower Saxony,"125,961"
65,Göttingen,Lower Saxony,"118,946"
66,Bottrop,North Rhine-Westphalia,"118,113"
67,Reutlingen,Baden-Württemberg,"117,547"
68,Erlangen,Bavaria,"116,562"
69,Bremerhaven,Free Hanseatic City of Bremen,"115,468"
70,Koblenz,Rhineland-Palatinate,"115,268"
71,Bergisch Gladbach,North Rhine-Westphalia,"112,712"
72,Remscheid,North Rhine-Westphalia,"112,613"
73,Trier,Rhineland-Palatinate,"112,195"
74,Recklinghausen,North Rhine-Westphalia,"111,734"
75,Jena,Thuringia,"111,191"
76,Moers,North Rhine-Westphalia,"105,287"
77,Salzgitter,Lower Saxony,"104,548"
78,Siegen,North Rhine-Westphalia,"102,560"
79,Gütersloh,North Rhine-Westphalia,"102,393"
80,Hildesheim,Lower Saxony,"101,858"
81,Hanau,Hesse,"101,364"
82,Kaiserslautern,Rhineland-Palatinate,"101,228"
