Air Quality Station EoI Code,Longitude,Latitude,geometry,state_x,district,town_city,Unnamed: 0,city,state_y,population
DEBB054,13.0375,52.3939,POINT (13.0375 52.3939),Brandenburg,Potsdam,Potsdam,42,Potsdam,Brandenburg,"185,750"
DEBE065,13.4699,52.5141,POINT (13.4699 52.5141),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBW019,9.979,48.3968,POINT (9.979 48.3968),Baden-Württemberg,Ulm,Ulm,60,Ulm,Baden-Württemberg,"128,928"
DEBW080,8.3872,49.008,POINT (8.3872 49.008),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe,22,Karlsruhe,Baden-Württemberg,"308,707"
DEBE061,13.3183,52.4636,POINT (13.3183 52.4636),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBW098,8.472,49.4926,POINT (8.472 49.4926),Baden-Württemberg,Mannheim,Mannheim,21,Mannheim,Baden-Württemberg,"315,554"
DEBW033,8.6655,48.889,POINT (8.6655 48.889),Baden-Württemberg,Pforzheim,Pforzheim,62,Pforzheim,Baden-Württemberg,"127,849"
DEBW147,9.2108,48.4893,POINT (9.2108 48.4893),Baden-Württemberg,Reutlingen,Reutlingen,67,Reutlingen,Baden-Württemberg,"117,547"
DEBW152,9.2259,49.146,POINT (9.2259 49.146),Baden-Württemberg,Heilbronn (Stadtkreis),Heilbronn,61,Heilbronn,Baden-Württemberg,"128,334"
DEBY021,11.4288,48.7694,POINT (11.4288 48.7694),Bayern,Ingolstadt,Ingolstadt,57,Ingolstadt,Bavaria,"141,029"
DEBY063,12.1016,49.0152,POINT (12.1016 49.0152),Bayern,Regensburg (Kreisfreie Stadt),Regensburg,53,Regensburg,Bavaria,"157,443"
DEBE034,13.4308,52.4895,POINT (13.4308 52.4895),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBW099,9.1807,48.7831,POINT (9.1807 48.7831),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
DEBY006,10.895,48.3646,POINT (10.895 48.3646),Bayern,Augsburg (Kreisfreie Stadt),Augsburg,23,Augsburg,Bavaria,"301,033"
DEHB001,8.8158,53.0772,POINT (8.8158 53.0772),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DEHB006,8.8252,53.0787,POINT (8.8252 53.0787),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DEHB012,8.7351,53.1317,POINT (8.7351 53.1317),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DEHB014,8.7756,53.0994,POINT (8.7756 53.0994),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DEHE001,8.6646,49.8723,POINT (8.6646 49.8723),Hessen,Darmstadt,Darmstadt,51,Darmstadt,Hesse,"162,243"
DEBY110,10.8962,48.3702,POINT (10.8962 48.3702),Bayern,Augsburg (Kreisfreie Stadt),Augsburg,23,Augsburg,Bavaria,"301,033"
DEBY119,9.9477,49.7905,POINT (9.9477 49.7905),Bayern,Würzburg (Kreisfreie Stadt),Würzburg,63,Würzburg,Bavaria,"127,810"
DEBY099,10.9031,48.326,POINT (10.9031 48.326),Bayern,Augsburg (Kreisfreie Stadt),Augsburg,23,Augsburg,Bavaria,"301,033"
DEBY056,10.9847,49.4722,POINT (10.9847 49.4722),Bayern,Fürth (Kreisfreie Stadt),Fürth,59,Fürth,Bavaria,"131,433"
DEHB005,8.5694,53.5625,POINT (8.5694 53.5625),Bremen,Bremerhaven,Bremerhaven,69,Bremerhaven,Free Hanseatic City of Bremen,"115,468"
DEBY198,11.4346,48.7426,POINT (11.4346 48.7426),Bayern,Ingolstadt,Ingolstadt,57,Ingolstadt,Bavaria,"141,029"
DEHH033,9.998,53.6383,POINT (9.998 53.6383),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH068,10.0539,53.5923,POINT (10.0539 53.5923),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHB013,8.6951,53.1177,POINT (8.6951 53.1177),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DEHE040,8.6538,49.8695,POINT (8.6538 49.8695),Hessen,Darmstadt,Darmstadt,51,Darmstadt,Hesse,"162,243"
DEHE037,8.2303,50.0772,POINT (8.2303 50.0772),Hessen,Wiesbaden,Wiesbaden,24,Wiesbaden,Hesse,"283,083"
DEHH059,9.9906,53.5079,POINT (9.9906 53.5079),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHE049,9.4911,51.3121,POINT (9.4911 51.3121),Hessen,Kassel (Kreisfreie Stadt),Kassel,40,Kassel,Hesse,"204,202"
DEHH064,9.9446,53.5644,POINT (9.9446 53.5644),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DENI067,8.0415,52.2703,POINT (8.0415 52.2703),Niedersachsen,Osnabrück (Kreisfreie Stadt),Osnabrück,48,Osnabrück,Lower Saxony,"167,366"
DENI070,10.4559,52.1537,POINT (10.4559 52.1537),Niedersachsen,Salzgitter,Salzgitter,77,Salzgitter,Lower Saxony,"104,548"
DEMV022,12.0996,54.0926,POINT (12.0996 54.0926),Mecklenburg-Vorpommern,Rostock (Kreisfreie Stadt),Rostock,39,Rostock,Mecklenburg-Vorpommern,"209,920"
DEHH026,9.9572,53.5606,POINT (9.9572 53.5606),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH070,9.943,53.5557,POINT (9.943 53.5557),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DENI075,10.5406,52.2667,POINT (10.5406 52.2667),Niedersachsen,Braunschweig,Braunschweig,28,Braunschweig,Lower Saxony,"251,804"
DEHH080,9.9879,53.5474,POINT (9.9879 53.5474),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DENI066,9.9502,52.1508,POINT (9.9502 52.1508),Niedersachsen,Hildesheim,Hildesheim,80,Hildesheim,Lower Saxony,"101,858"
DENI157,10.7937,52.4279,POINT (10.7937 52.4279),Niedersachsen,Wolfsburg,Wolfsburg,64,Wolfsburg,Lower Saxony,"125,961"
DENI068,9.9283,51.5302,POINT (9.9283 51.5302),Niedersachsen,Göttingen,Göttingen,65,Göttingen,Lower Saxony,"118,946"
DERP007,8.2168,50.0176,POINT (8.2168 50.0176),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP010,8.2611,50.001,POINT (8.2611 50.001),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP011,8.2658,50.0099,POINT (8.2658 50.0099),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP012,8.2689,49.9991,POINT (8.2689 49.9991),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP020,6.6467,49.7542,POINT (6.6467 49.7542),Rheinland-Pfalz,Trier,Trier,73,Trier,Rhineland-Palatinate,"112,195"
DERP009,8.274,49.995,POINT (8.274 49.995),Rheinland-Pfalz,Mainz,Mainz,35,Mainz,Rhineland-Palatinate,"220,552"
DERP019,7.7673,49.446,POINT (7.7673 49.446),Rheinland-Pfalz,Kaiserslautern (Kreisfreie Stadt,Kaiserslautern,82,Kaiserslautern,Rhineland-Palatinate,"101,228"
DERP024,7.5966,50.3544,POINT (7.5966 50.3544),Rheinland-Pfalz,Koblenz,Koblenz,70,Koblenz,Rhineland-Palatinate,"115,268"
DESL020,7.0032,49.2307,POINT (7.0032 49.2307),Saarland,Regionalverband Saarbrücken,Saarbrücken,43,Saarbrücken,Saarland,"181,959"
DESL012,6.9876,49.2335,POINT (6.9876 49.2335),Saarland,Regionalverband Saarbrücken,Saarbrücken,43,Saarbrücken,Saarland,"181,959"
DEST103,11.6327,52.1208,POINT (11.6327 52.1208),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DEST076,11.6234,52.132,POINT (11.6234 52.132),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DETH020,11.0379,50.9795,POINT (11.0379 50.9795),Thüringen,Erfurt,Erfurt,37,Erfurt,Thuringia,"214,969"
DEST077,11.6115,52.1279,POINT (11.6115 52.1279),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DENW098,7.6184,51.9748,POINT (7.6184 51.9748),Nordrhein-Westfalen,Münster,Münster,20,Münster,North Rhine-Westphalia,"320,946"
DENW100,6.4589,51.17,POINT (6.4589 51.17),Nordrhein-Westfalen,Mönchengladbach,Mönchengladbach,25,Mönchengladbach,North Rhine-Westphalia,"268,465"
DESH019,10.1156,54.3264,POINT (10.1156 54.3264),Schleswig-Holstein,Kiel,Kiel,30,Kiel,Schleswig-Holstein,"247,717"
DESH026,10.691,53.8729,POINT (10.691 53.8729),Schleswig-Holstein,Lübeck,Lübeck,36,Lübeck,Schleswig-Holstein,"218,095"
DESN061,13.7414,51.0649,POINT (13.7414 51.0649),Sachsen,Dresden,Dresden,12,Dresden,Saxony,"563,311"
DETH043,11.0194,50.9849,POINT (11.0194 50.9849),Thüringen,Erfurt,Erfurt,37,Erfurt,Thuringia,"214,969"
DENW094,6.0938,50.7547,POINT (6.0938 50.7547),Nordrhein-Westfalen,Städteregion Aachen,Aachen,27,Aachen,North Rhine-Westphalia,"252,136"
