City,Year,Average,Air Quality Station Type
Aachen,1999,18.575,Background
Aachen,2000,17.159,Background
Aachen,2001,47.066,Traffic
Aachen,2001,17.841,Background
Aachen,2002,50.031,Traffic
Aachen,2002,16.969,Background
Aachen,2003,53.246,Traffic
Aachen,2003,21.936,Background
Aachen,2004,45.494,Traffic
Aachen,2004,18.511,Background
Aachen,2005,48.7845,Traffic
Aachen,2005,15.725,Background
Aachen,2006,48.2225,Traffic
Aachen,2006,17.637,Background
Aachen,2007,51.853,Traffic
Aachen,2007,17.225,Background
Aachen,2008,54.096,Traffic
Aachen,2008,15.675,Background
Aachen,2009,55.4524,Traffic
Aachen,2009,18.479,Background
Aachen,2010,57.58042857142857,Traffic
Aachen,2010,18.435,Background
Aachen,2011,53.63100000000001,Traffic
Aachen,2011,16.125,Background
Aachen,2012,52.71785714285714,Traffic
Aachen,2012,15.184,Background
Aachen,2013,52.477666666666664,Traffic
Aachen,2013,16.09,Background
Aachen,2014,51.46333333333333,Traffic
Aachen,2014,12.873,Background
Aachen,2015,49.43,Traffic
Aachen,2015,14.246,Background
Aachen,2016,48.284,Traffic
Aachen,2016,14.039,Background
Aachen,2017,44.632000000000005,Traffic
Aachen,2017,12.665,Background
Aachen,2018,43.40575,Traffic
Aachen,2018,12.309,Background
Aachen,2019,36.4285,Traffic
Aachen,2019,9.739,Background
Aachen,2020,30.0405,Traffic
Aachen,2020,9.401,Background
Aachen,2021,30.835,Traffic
Aachen,2021,9.951,Background
Aachen,2022,30.9075,Traffic
Aachen,2022,9.974,Background
Aachen,2023,28.293,Traffic
Aachen,2023,8.273,Background
Aachen,2024,24.42,Traffic
Aachen,2024,7.795,Background
Aachen,2025,27.664,Traffic
Aachen,2025,11.964,Background
Aalen,1990,29.952,Background
Aalen,1991,30.464,Background
Aalen,1992,28.429,Background
Aalen,1993,26.342,Background
Aalen,1994,24.028,Background
Aalen,1995,24.192,Background
Aalen,1996,24.625,Background
Aalen,1997,28.162,Background
Aalen,1998,27.507,Background
Aalen,1999,26.491,Background
Aalen,2000,26.09,Background
Aalen,2001,20.403,Background
Aalen,2002,23.695,Background
Aalen,2003,25.021,Background
Aalen,2004,20.822,Background
Aalen,2005,23.753,Background
Aalen,2006,24.317,Background
Aalen,2007,22.614,Background
Aalen,2008,22.152,Background
Aalen,2009,22.603,Background
Aalen,2010,22.466,Background
Aalen,2011,21.918,Background
Aalen,2012,22.02,Background
Aalen,2013,20.548,Background
Aalen,2014,21.772,Background
Aalen,2015,23.248,Background
Aalen,2016,21.305,Background
Aalen,2017,20.397,Background
Aalen,2018,21.72,Background
Aalen,2019,21.334,Background
Aalen,2020,19.897,Background
Aalen,2021,16.879,Background
Aalen,2022,15.12,Background
Aalen,2023,13.469,Background
Aalen,2024,13.455,Background
Aalen,2025,16.687,Background
Alsfeld,2018,44.513,Traffic
Alsfeld,2019,42.291,Traffic
Alsfeld,2020,21.395000000000003,Traffic
Alsfeld,2021,23.7245,Traffic
Alsfeld,2022,29.5195,Traffic
Altenberg,1992,8.396,Background
Altenberg,1993,15.701,Background
Altenberg,1994,19.263,Background
Altenberg,1995,17.503,Background
Altenberg,1996,13.857,Background
Altenberg,1997,12.831,Background
Altenberg,1998,13.732,Background
Altenberg,1999,12.469,Background
Altenberg,2000,13.752,Background
Altenberg,2001,13.09,Background
Altenberg,2002,12.828,Background
Altenberg,2003,13.25,Background
Altenberg,2004,11.57,Background
Altenberg,2005,14.196,Background
Altenberg,2006,12.856,Background
Altenberg,2007,10.31,Background
Altenberg,2008,10.79,Background
Altenberg,2009,10.741,Background
Altenberg,2010,11.162,Background
Altenberg,2011,10.511,Background
Altenberg,2012,8.324,Background
Altenberg,2013,8.292,Background
Altenberg,2014,8.456,Background
Altenberg,2015,7.55,Background
Altenberg,2016,6.075,Background
Altenberg,2017,6.72,Background
Altenberg,2018,6.817,Background
Altenberg,2019,6.377,Background
Altenberg,2020,6.22,Background
Altenberg,2021,5.8,Background
Altenberg,2022,5.081,Background
Altenberg,2023,4.501,Background
