City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Biberach an der Riß,BW,1999,-,0.06666666666666667,0.2,0.06666666666666667,0.5,-,0.16666666666666674
Bad Krozingen (Kreis Breisgau-Hochschwarzwald),BW,1999,-,-,0.15384615384615385,-,0.5769230769230769,-,0.2692307692307693
Rottenburg am Neckar,BW,1999,-,-,0.18181818181818182,-,0.5454545454545454,-,0.2727272727272727
Calw,BW,1999,-,0.06896551724137931,0.20689655172413793,0.06896551724137931,0.27586206896551724,-,0.3793103448275862
Nagold,BW,1999,-,0.038461538461538464,0.19230769230769232,0.07692307692307693,0.38461538461538464,-,0.3076923076923077
Emmendingen,BW,1999,-,0.10810810810810811,0.2972972972972973,0.08108108108108109,0.35135135135135137,-,0.16216216216216206
Waldkirch,BW,1999,-,-,0.3,-,0.43333333333333335,-,0.2666666666666666
Mühlacker,BW,1999,-,-,0.2571428571428571,0.02857142857142857,0.42857142857142855,-,0.2857142857142858
Esslingen am Neckar,BW,1999,-,-,0.32558139534883723,0.023255813953488372,0.3488372093023256,-,0.3023255813953488
Filderstadt,BW,1999,-,0.125,0.21875,0.0625,0.3125,-,0.28125
Kirchheim unter Teck,BW,1999,-,-,0.2647058823529412,0.029411764705882353,0.35294117647058826,-,0.3529411764705882
Leinfelden-Echterdingen,BW,1999,-,0.11538461538461539,0.23076923076923078,0.038461538461538464,0.3076923076923077,-,0.3076923076923077
Laupheim,BW,1999,-,-,0.21428571428571427,-,0.42857142857142855,-,0.3571428571428572
Nürtingen,BW,1999,-,-,0.1891891891891892,-,0.32432432432432434,-,0.4864864864864864
Ostfildern,BW,1999,-,0.11538461538461539,0.23076923076923078,-,0.34615384615384615,-,0.3076923076923077
Freiburg im Breisgau,BW,1999,-,0.20833333333333334,0.22916666666666666,0.041666666666666664,0.3333333333333333,-,0.1875
Freudenstadt,BW,1999,-,-,0.1724137931034483,-,0.3793103448275862,-,0.4482758620689655
Horb am Neckar,BW,1999,-,-,0.1875,-,0.5208333333333334,-,0.29166666666666663
Eislingen/Fils,BW,1999,-,0.08333333333333333,0.25,-,0.4583333333333333,-,0.20833333333333337
Geislingen an der Steige,BW,1999,-,-,0.2692307692307692,-,0.4230769230769231,-,0.3076923076923077
Göppingen,BW,1999,-,0.025,0.275,-,0.4,-,0.29999999999999993
Heidelberg,BW,1999,-,-,0.25,0.05,0.35,-,0.3500000000000001
Giengen an der Brenz,BW,1999,-,-,0.38461538461538464,-,-,-,0.6153846153846154
Böblingen,BW,1999,-,0.07317073170731707,0.21951219512195122,0.04878048780487805,0.4146341463414634,-,0.24390243902439024
Heidenheim an der Brenz,BW,1999,-,0.08571428571428572,0.34285714285714286,-,0.37142857142857144,-,0.19999999999999996
Heilbronn,BW,1999,-,0.05,0.3,0.1,0.425,-,0.125
Bad Rappenau,BW,1999,-,-,0.37037037037037035,-,0.5185185185185185,-,0.11111111111111116
Eppingen,BW,1999,-,0.06666666666666667,0.26666666666666666,-,0.43333333333333335,-,0.2333333333333334
Neckarsulm,BW,1999,-,0.038461538461538464,0.38461538461538464,-,0.5,-,0.07692307692307687
Öhringen,BW,1999,-,0.03125,0.1875,0.15625,0.46875,-,0.15625
Karlsruhe,BW,1999,-,-,0.25,-,0.4583333333333333,-,0.29166666666666674
Bretten,BW,1999,-,0.07692307692307693,0.23076923076923078,-,0.46153846153846156,-,0.23076923076923073
Bruchsal,BW,1999,-,-,0.19444444444444445,0.027777777777777776,0.5,-,0.2777777777777778
Ettlingen,BW,1999,-,0.08823529411764706,0.2647058823529412,0.058823529411764705,0.5882352941176471,-,0.0
Herrenberg,BW,1999,-,0.1,0.225,-,0.35,-,0.32499999999999996
Rheinstetten,BW,1999,-,0.06666666666666667,0.36666666666666664,0.03333333333333333,0.4666666666666667,-,0.06666666666666665
Stutensee,BW,1999,-,0.1,0.26666666666666666,0.03333333333333333,0.36666666666666664,-,0.2333333333333334
Waghäusel,BW,1999,-,-,0.35714285714285715,-,0.42857142857142855,-,0.2142857142857143
Konstanz,BW,1999,-,-,0.2,0.075,0.3,-,0.42500000000000004
Radolfzell am Bodensee,BW,1999,-,0.11538461538461539,0.19230769230769232,0.07692307692307693,0.46153846153846156,-,0.15384615384615374
Singen (Hohentwiel),BW,1999,-,0.05405405405405406,0.2972972972972973,0.05405405405405406,0.4864864864864865,-,0.10810810810810811
Lörrach,BW,1999,-,0.1111111111111111,0.24444444444444444,0.022222222222222223,0.4,-,0.22222222222222232
Rheinfelden (Baden),BW,1999,-,0.05555555555555555,0.2777777777777778,-,0.3888888888888889,-,0.2777777777777777
Schopfheim (Kreis Lörrach),BW,1999,-,0.06451612903225806,0.25806451612903225,-,-,-,0.6774193548387097
Weil am Rhein,BW,1999,-,0.037037037037037035,0.25925925925925924,-,0.2962962962962963,-,0.40740740740740744
Leonberg,BW,1999,-,-,0.25,0.06818181818181818,0.36363636363636365,-,0.3181818181818181
Bietigheim-Bissingen,BW,1999,-,-,0.25,0.09375,0.40625,-,0.25
Ditzingen,BW,1999,-,-,0.24242424242424243,-,0.3939393939393939,-,0.36363636363636365
Korntal-Münchingen (Kreis Ludwigsburg),BW,1999,-,0.13636363636363635,0.18181818181818182,0.045454545454545456,0.4090909090909091,-,0.2272727272727273
Kornwestheim,BW,1999,-,0.07692307692307693,0.2692307692307692,-,0.4230769230769231,-,0.23076923076923084
Ludwigsburg,BW,1999,-,0.1,0.2,0.05,0.35,-,0.30000000000000004
Remseck am Neckar,BW,1999,-,0.038461538461538464,0.23076923076923078,0.15384615384615385,0.38461538461538464,-,0.1923076923076923
Vaihingen an der Enz,BW,1999,-,0.08108108108108109,0.1891891891891892,0.08108108108108109,0.2972972972972973,-,0.3513513513513513
Bad Mergentheim,BW,1999,-,0.06896551724137931,0.13793103448275862,-,0.5517241379310345,-,0.24137931034482762
Wertheim,BW,1999,-,0.041666666666666664,0.25,-,0.5416666666666666,-,0.16666666666666674
Mannheim,BW,1999,-,0.0625,0.3541666666666667,0.020833333333333332,0.4791666666666667,-,0.08333333333333326
Sindelfingen,BW,1999,-,0.09090909090909091,0.22727272727272727,0.045454545454545456,0.38636363636363635,-,0.25
Mosbach,BW,1999,-,-,0.2631578947368421,0.05263157894736842,0.4473684210526316,-,0.23684210526315796
Achern,BW,1999,-,-,0.19230769230769232,-,0.38461538461538464,-,0.423076923076923
Kehl,BW,1999,-,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.34615384615384615,-,0.1923076923076923
Lahr/Schwarzwald,BW,1999,-,0.075,0.275,0.1,0.4,-,0.1499999999999999
Oberkirch,BW,1999,-,-,-,-,0.59375,-,0.40625
Offenburg,BW,1999,-,0.08771929824561403,0.2982456140350877,0.07017543859649122,0.47368421052631576,-,0.07017543859649122
Aalen,BW,1999,-,0.09523809523809523,0.3333333333333333,-,0.5,-,0.0714285714285714
Ellwangen (Jagst),BW,1999,-,0.09375,0.1875,-,0.625,-,0.09375
Schwäbisch Gmünd,BW,1999,-,0.09259259259259259,0.25925925925925924,-,0.5370370370370371,-,0.11111111111111105
Pforzheim,BW,1999,-,-,0.225,0.05,0.5,-,0.22499999999999998
Friedrichshafen,BW,1999,-,0.075,0.225,-,0.4,-,0.30000000000000004
Bühl,BW,1999,-,-,0.1951219512195122,0.0975609756097561,0.5121951219512195,-,0.19512195121951215
Gaggenau,BW,1999,-,0.02857142857142857,0.34285714285714286,0.05714285714285714,0.4857142857142857,-,0.08571428571428563
Rastatt,BW,1999,-,-,0.3333333333333333,0.044444444444444446,0.4444444444444444,-,0.1777777777777778
Bad Waldsee,BW,1999,-,-,0.10714285714285714,-,0.5357142857142857,-,0.3571428571428572
