City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
München,BY,2008,0.0375,0.1375,0.4125,0.0625,0.2875,-,0.0625
Nürnberg,BY,2008,-,0.07142857142857142,0.45714285714285713,0.02857142857142857,0.32857142857142857,-,0.11428571428571432
Augsburg,BY,2008,0.03333333333333333,0.1,0.31666666666666665,0.016666666666666666,0.4166666666666667,-,0.1166666666666667
Regensburg,BY,2008,0.04,0.1,0.22,0.06,0.4,-,0.17999999999999994
Ingolstadt,BY,2008,0.04,0.06,0.2,0.02,0.46,-,0.21999999999999997
Fürth,BY,2008,0.04,0.08,0.56,0.02,0.26,-,0.039999999999999925
Würzburg,BY,2008,0.04,0.18,0.18,0.06,0.36,-,0.17999999999999994
Erlangen,BY,2008,-,-,0.26,0.08,0.42,-,0.24
Bamberg,BY,2008,-,-,0.22727272727272727,0.022727272727272728,0.3409090909090909,-,0.40909090909090917
Landshut,BY,2008,-,0.18181818181818182,0.13636363636363635,0.06818181818181818,0.36363636363636365,-,0.25
Bayreuth,BY,2008,-,-,0.22727272727272727,0.045454545454545456,0.29545454545454547,-,0.4318181818181819
Aschaffenburg,BY,2008,-,0.11363636363636363,0.3181818181818182,0.06818181818181818,0.38636363636363635,-,0.11363636363636365
Kempten (Allgäu),BY,2008,-,0.13636363636363635,0.13636363636363635,0.06818181818181818,0.4090909090909091,-,0.25
Rosenheim,BY,2008,-,0.11363636363636363,0.18181818181818182,0.022727272727272728,0.45454545454545453,-,0.2272727272727273
Neu-Ulm,BY,2008,-,0.13636363636363635,0.25,0.06818181818181818,0.45454545454545453,-,0.09090909090909094
Schweinfurt,BY,2008,0.09090909090909091,0.045454545454545456,0.20454545454545456,-,0.4090909090909091,-,0.25
Passau,BY,2008,-,0.06818181818181818,0.2727272727272727,-,0.36363636363636365,-,0.2954545454545454
Freising,BY,2008,0.05,0.225,0.15,0.025,0.275,-,0.2749999999999999
Straubing,BY,2008,-,0.025,0.3,0.025,0.475,-,0.17500000000000004
Dachau,BY,2008,-,0.1,0.175,0.025,0.425,-,0.2749999999999999
Hof,BY,2008,0.045454545454545456,0.022727272727272728,0.25,-,0.45454545454545453,-,0.2272727272727273
Memmingen,BY,2008,-,0.075,0.225,0.05,0.325,-,0.32499999999999996
Kaufbeuren,BY,2008,-,0.075,0.1,0.075,0.475,-,0.275
