Stimmart,AGS,Kreis,Kreis_Name,Gemeinde,Gemeindename,Wahlvorschlagsträger,Art des Wahl-vorschlags-trägers,Stimmen,Sitze,darunter Sitze weiblich,Wahlberechtigte,Wähler,Wähler B1,gültige Stimmen,Ungültige Stimmzettel
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,CDU,P,24948,14,3,63392,28468,0,82715,798
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,SPD,P,22361,12,5,63392,28468,0,82715,798
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,DIE LINKE,P,20185,11,6,63392,28468,0,82715,798
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,FDP,P,4553,3,0,63392,28468,0,82715,798
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,Gartenfreunde,WG,3043,2,0,63392,28468,0,82715,798
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,Pro Kirchmöser,WG,3039,2,1,63392,28468,0,82715,798
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,GRÜNE/B 90,P,3149,2,1,63392,28468,0,82715,798
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,UBB,WG,770,0,0,63392,28468,0,82715,798
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,EB Barsch,EB,357,0,0,63392,28468,0,82715,798
Gemeindevertretung,12051000,51,Brandenburg an der Havel,000,Brandenburg an der Havel,BVB/50Plus,LV,310,0,0,63392,28468,0,82715,798
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,DIE LINKE,P,29142,14,6,86477,36891,0,108384,687
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,CDU,P,19780,9,2,86477,36891,0,108384,687
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,SPD,P,31030,14,3,86477,36891,0,108384,687
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,AUB,WG,9114,4,1,86477,36891,0,108384,687
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,GRÜNE/B 90,P,5207,2,0,86477,36891,0,108384,687
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,FDP,P,6144,3,1,86477,36891,0,108384,687
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,FLC,WG,3342,2,2,86477,36891,0,108384,687
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,DSU,P,471,0,0,86477,36891,0,108384,687
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,NPD,P,3202,2,0,86477,36891,0,108384,687
Gemeindevertretung,12052000,52,Cottbus,000,Cottbus,SUB,WG,952,0,0,86477,36891,0,108384,687
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),DIE LINKE,P,23981,17,8,52366,22188,0,64107,720
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),CDU,P,11343,8,2,52366,22188,0,64107,720
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),SPD,P,13317,10,2,52366,22188,0,64107,720
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),BürgerBündnis,PV,2045,2,1,52366,22188,0,64107,720
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),FDP,P,4810,3,0,52366,22188,0,64107,720
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),FfF,WG,2053,2,2,52366,22188,0,64107,720
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),GRÜNE/B 90,P,1970,1,0,52366,22188,0,64107,720
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),BVB/50Plus,LV,1555,1,0,52366,22188,0,64107,720
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),BI Stadtentw.,WG,1949,1,1,52366,22188,0,64107,720
Gemeindevertretung,12053000,53,Frankfurt (Oder),000,Frankfurt (Oder),BI Stadtumbau,WG,1084,1,0,52366,22188,0,64107,720
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,DIE LINKE,P,58533,17,8,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,SPD,P,51055,15,7,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,CDU,P,22208,7,1,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,GRÜNE/B 90,P,15636,5,2,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,BürgerBündnis,PV,6304,2,1,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,FAMILIE,P,8287,2,0,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,Andere,WG,9363,3,1,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,FDP,P,8600,3,1,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,DVU,P,3734,1,0,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,KWG,WG,367,0,0,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,Aktionsbündnis N/W,WG,2617,1,0,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,BVB/50Plus,LV,1083,0,0,125520,64910,0,188731,1584
Gemeindevertretung,12054000,54,Potsdam,000,Potsdam,DKP,P,944,0,0,125520,64910,0,188731,1584
Gemeindevertretung,12060005,60,Barnim,005,Ahrensfelde,DIE LINKE,P,2727,4,2,11296,5615,0,16256,141
Gemeindevertretung,12060005,60,Barnim,005,Ahrensfelde,CDU,P,3881,5,0,11296,5615,0,16256,141
Gemeindevertretung,12060005,60,Barnim,005,Ahrensfelde,SPD,P,2452,3,1,11296,5615,0,16256,141
Gemeindevertretung,12060005,60,Barnim,005,Ahrensfelde,FDP,P,785,1,0,11296,5615,0,16256,141
Gemeindevertretung,12060005,60,Barnim,005,Ahrensfelde,Freie Wählergemeinschaft,WG,4339,6,2,11296,5615,0,16256,141
Gemeindevertretung,12060005,60,Barnim,005,Ahrensfelde,Bürgerverein Eiche e.V.,WG,1626,2,1,11296,5615,0,16256,141
Gemeindevertretung,12060005,60,Barnim,005,Ahrensfelde,Die Unabhängigen,P,270,1,1,11296,5615,0,16256,141
Gemeindevertretung,12060005,60,Barnim,005,Ahrensfelde,Einzelwahlvorschlag Siebert,EB,176,0,0,11296,5615,0,16256,141
Gemeindevertretung,12060012,60,Barnim,012,Althüttendorf,DIE LINKE,P,92,1,0,565,331,13,948,13
Gemeindevertretung,12060012,60,Barnim,012,Althüttendorf,Freiwillige Feuerwehr Neugrimnitz,WG,248,3,0,565,331,13,948,13
Gemeindevertretung,12060012,60,Barnim,012,Althüttendorf,Gaedeke,EB,96,1,1,565,331,13,948,13
Gemeindevertretung,12060012,60,Barnim,012,Althüttendorf,Hennig,EB,39,0,0,565,331,13,948,13
Gemeindevertretung,12060012,60,Barnim,012,Althüttendorf,Riedel,EB,120,1,0,565,331,13,948,13
Gemeindevertretung,12060012,60,Barnim,012,Althüttendorf,Tradition und Zukunft Althüttendorf,WG,353,4,0,565,331,13,948,13
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,CDU,P,5581,5,1,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,SPD,P,6981,7,3,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,DIE LINKE,P,14780,14,5,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,FDP,P,1175,1,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,GRÜNE/B 90,P,1435,1,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,DVU,P,920,1,1,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Wir für Schönow e.V,WG,1090,1,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Die Unabhängigen,WG,3139,3,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Alternative Jugendliste Bernau,WG,1030,1,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Bürger für Ladeburg,WG,738,1,1,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Unabhängige Wählergemeinschaft Schönow,WG,693,1,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Bürgerinitiative Lobetal,WG,361,0,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Bürgerliste Waldfrieden/Waldsiedlung,WG,256,0,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Diana Sandler,EB,70,0,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Gerhard Scherf,EB,137,0,0,30821,13168,2008,38689,222
Gemeindevertretung,12060020,60,Barnim,020,Bernau bei Berlin,Horst Werner,EB,303,0,0,30821,13168,2008,38689,222
Gemeindevertretung,12060024,60,Barnim,024,Biesenthal,DIE LINKE,P,3150,7,3,4747,2591,,7538,60
Gemeindevertretung,12060024,60,Barnim,024,Biesenthal,CDU,P,1252,3,0,4747,2591,,7538,60
Gemeindevertretung,12060024,60,Barnim,024,Biesenthal,SPD,P,1116,3,0,4747,2591,,7538,60
Gemeindevertretung,12060024,60,Barnim,024,Biesenthal,WG Büger für Biesenth,WG,515,1,0,4747,2591,,7538,60
Gemeindevertretung,12060024,60,Barnim,024,Biesenthal,NPD,P,514,1,0,4747,2591,,7538,60
Gemeindevertretung,12060024,60,Barnim,024,Biesenthal,GRÜNE/B 90,P,475,1,1,4747,2591,,7538,60
Gemeindevertretung,12060024,60,Barnim,024,Biesenthal,FDP,P,261,1,0,4747,2591,,7538,60
Gemeindevertretung,12060024,60,Barnim,024,Biesenthal,WG Pro Danewitz,WG,255,1,0,4747,2591,,7538,60
Gemeindevertretung,12060034,60,Barnim,034,Breydin,SPD,P,339,3,0,706,457,,1309,18
Gemeindevertretung,12060034,60,Barnim,034,Breydin,FDP,P,115,1,1,706,457,,1309,18
Gemeindevertretung,12060034,60,Barnim,034,Breydin,BVB,WG,366,3,2,706,457,,1309,18
Gemeindevertretung,12060034,60,Barnim,034,Breydin,WG Pro Breydin,WG,414,3,1,706,457,,1309,18
Gemeindevertretung,12060034,60,Barnim,034,Breydin,EB Bredereck,EB,65,0,0,706,457,,1309,18
Gemeindevertretung,12060034,60,Barnim,034,Breydin,EB Zänkert,EB,10,0,0,706,457,,1309,18
Gemeindevertretung,12060036,60,Barnim,036,Britz,FDP,P,116,1,1,1975,1033,87,3038,34
Gemeindevertretung,12060036,60,Barnim,036,Britz,Unabhängige Wählergemeinschft Britz,WG,2141,8,1,1975,1033,87,3038,34
Gemeindevertretung,12060036,60,Barnim,036,Britz,Lange,EB,429,1,0,1975,1033,87,3038,34
Gemeindevertretung,12060036,60,Barnim,036,Britz,Marten,EB,248,1,0,1975,1033,87,3038,34
Gemeindevertretung,12060036,60,Barnim,036,Britz,Petack,EB,104,0,0,1975,1033,87,3038,34
Gemeindevertretung,12060045,60,Barnim,045,Chorin,DIE LINKE,P,374,1,0,2156,1292,111,3635,69
