Stimmart,AGS,"Landkreis-nummer","Gemeinde-nummer",Gemeindename,Art des Wahl-vorschlags,Kurzname,"MerkmalLangname",Anzahl,in Prozent,Sitze,darunter Sitze weiblich
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",,Wahlberechtigt,Wahlberechtigt,60651,100,0,0
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",,Wähler,Wähler,29159,48.1,0,0
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",,Wahlschein,Wahlschein,4593,15.8,0,0
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",,Gueltig,Gueltig,84675,96.8,0,0
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",,Ungueltig,Ungueltig,619,2.1,0,0
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",,Sitze,Sitze,46,100,0,0
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,22647,26.7,12,2
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,14329,16.9,8,3
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",P,DIE LINKE,DIE LINKE,11006,13,6,3
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,11729,13.9,6,3
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",P,AfD,Alternative für Deutschland,11988,14.2,7,1
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",P,FDP,Freie Demokratische Partei,3847,4.5,2,0
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",LV,BVB / FREIE WÄHLER / Gartenfreunde,BVB / FREIE WÄHLER / Gartenfreunde,9129,10.8,5,0
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",,Wahlberechtigt,Wahlberechtigt,81387,100,0,0
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",,Wähler,Wähler,45829,56.3,0,0
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",,Wahlschein,Wahlschein,11322,24.7,0,0
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",,Gueltig,Gueltig,133418,97,0,0
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",,Ungueltig,Ungueltig,880,1.9,0,0
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",,Sitze,Sitze,50,100,0,0
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,22948,17.2,9,1
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",P,DIE LINKE,DIE LINKE,18344,13.7,7,3
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,20819,15.6,8,4
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",P,AfD,Alternative für Deutschland,29739,22.3,11,4
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,12182,9.1,4,2
Gemeindevertretung,12052000,52,000,"Cottbus, Stadt",LV,AUB - BVB/FREIE WÄHLER,Aktive Unabhängige Bürger e. V. - BVB / FREIE WÄHLER,7882,5.9,3,0
