Stimmart,ARS,"Landkreisnummer","Gemeindenummer",Gemeindename,Art des Wahl-vorschlags,"Kurzname","Langname",Anzahl,in Prozent,Sitze,darunter Sitze weiblich,nachrichtlich: Sitze Anspruch,Hinweis
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,71,x,,,,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,71,100,,,,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",,Wahlberechtigt,Wahlberechtigt,60140,100,,,,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",,Wähler,Wähler,34857,58,,,,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",,Wahlschein,Wahlschein,7820,22.4,,,,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",,Ungültig,Ungültig,684,2.0,,,,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",,Gültig,Gültig,101800,97.4,46,15,46,
Gemeindevertretung,12051000,51,000,"Brandenburg an der Havel, Stadt",,Sitze,Sitze,46,x,46,14,46
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,23990,23.6,11,2,11,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,18990,18.7,9,2,9,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",P,AfD,Alternative für Deutschland,24228,23.8,11,4,11,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,9087,8.9,4,3,4,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",P,DIE LINKE,DIE LINKE,7318,7.2,3,2,3,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",LV,BVB / FREIE WÄHLER,BVB / FREIE WÄHLER / GARTENFREUNDE,9642,9.5,5,1,5,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",P,FDP,Freie Demokratische Partei,2863,2.8,1,0,1,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",WG,"Bürger für Frieden, Vernunft und Gerechtigkeit","Bürger für Frieden, Vernunft und Gerechtigkeit",5066,5.0,2,1,2,
Gemeindevertretung,120510000000,51,000,"Brandenburg an der Havel, Stadt",EB,EB Wenzel,Einzelwahlvorschlag Wenzel,616,0.6,0,0,0,
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",,Anzahl Wahlbezirke,Anzahl Wahlbezirke,120,x,,,,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
Gemeindevertretung,120520000000,52,000,"Cottbus, Stadt",,Ausgezählte Wahlbezirke,Ausgezählte Wahlbezirke,120,100,,,,HINWEIS:  Aufgrund einer Wahlprüfung wurde die Wahl der Stadtverordnetenversammlung in Cottbus im Wahlbezirk 3101 (Wahlkreis 2) für ungültig erklärt. Die Wiederholungswahl fand am 22.09.2024 statt.
