"Ergebnisse der Wahl der Stadtverordnetenversammlungen (SVV) in den kreisfreien Städten
sowie der Wahl der Vertretungen der kreisangehörigen Städte und Gemeinden
am 26. September 2003 im Land Brandenburg",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LV,Listenvereingung
"Kreisfreie Stadt
bzw.
Landkreis",AGS,Gemeindename,"Wahlberechtigte
insgesamt",Wähler,,Ungültige Stimmzettel,Gültige Stimmen,Sitze,,,Verteilung der gültigen Stimmen und Sitze,,,,,,WG,Wählergemeinschaft
,,,,insgesamt,mit Wahlschein,,,insgesamt,weiblich,"Unions-
bürger",Wahlvorschlagsträger,Art,Stimmen,Sitze,Sitze weiblich,"Sitze
Unions-
bürger",EB,Einzelbewerber
,,,,,,,,,,,,,,,,,PV,Politische Vereinigung
,,,A,B,B1,C,D,E,E1,E2,,,,,,,,
,,,,,,,,,,,,,,,,,,
Brandenburg an der Havel     ,12051000,Brandenburg an der Havel     ,64007,30532,2384,1176,86680,46,13,x,CDU                      ,PA,32373,17,4,x,,
Brandenburg an der Havel     ,12051000,Brandenburg an der Havel     ,64007,30532,2384,1176,86680,46,13,x,SPD                      ,PA,19616,10,3,x,,
Brandenburg an der Havel     ,12051000,Brandenburg an der Havel     ,64007,30532,2384,1176,86680,46,13,x,PDS                      ,PA,12946,7,4,x,,
Brandenburg an der Havel     ,12051000,Brandenburg an der Havel     ,64007,30532,2384,1176,86680,46,13,x,FDP                      ,PA,7412,4,0,x,,
Brandenburg an der Havel     ,12051000,Brandenburg an der Havel     ,64007,30532,2384,1176,86680,46,13,x,GRÜNE/B 90               ,PA,2972,2,1,x,,
Brandenburg an der Havel     ,12051000,Brandenburg an der Havel     ,64007,30532,2384,1176,86680,46,13,x,Pro Kirchmöser           ,WG,4284,2,0,x,,
Brandenburg an der Havel     ,12051000,Brandenburg an der Havel     ,64007,30532,2384,1176,86680,46,13,x,Gartenfreunde            ,WG,4648,3,1,x,,
Brandenburg an der Havel     ,12051000,Brandenburg an der Havel     ,64007,30532,2384,1176,86680,46,13,x,EV Barsch                ,EB,205,0,0,x,,
Brandenburg an der Havel     ,12051000,Brandenburg an der Havel     ,64007,30532,2384,1176,86680,46,13,x,WirtSo                   ,WG,2224,1,0,x,,
Cottbus                      ,12052000,Cottbus                      ,88353,25097,2914,368,73979,50,11,x,CDU                      ,PA,17861,12,1,x,,
Cottbus                      ,12052000,Cottbus                      ,88353,25097,2914,368,73979,50,11,x,SPD                      ,PA,14783,10,4,x,,
Cottbus                      ,12052000,Cottbus                      ,88353,25097,2914,368,73979,50,11,x,PDS                      ,PA,19800,13,2,x,,
Cottbus                      ,12052000,Cottbus                      ,88353,25097,2914,368,73979,50,11,x,FDP                      ,PA,3521,2,0,x,,
Cottbus                      ,12052000,Cottbus                      ,88353,25097,2914,368,73979,50,11,x,DSU                      ,PA,814,1,0,x,,
Cottbus                      ,12052000,Cottbus                      ,88353,25097,2914,368,73979,50,11,x,GRÜNE/B 90               ,PA,4513,3,1,x,,
Cottbus                      ,12052000,Cottbus                      ,88353,25097,2914,368,73979,50,11,x,FLC                      ,WG,2359,2,2,x,,
Cottbus                      ,12052000,Cottbus                      ,88353,25097,2914,368,73979,50,11,x,AUB                      ,WG,10328,7,1,x,,
