City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Bernau bei Berlin,BB,2024,13.88888888888889,5.555555555555555,8.333333333333332,2.7777777777777777,16.666666666666664,19.444444444444446,33.33333333333334
Brandenburg an der Havel,BB,2024,6.521739130434782,8.695652173913043,19.565217391304348,2.1739130434782608,23.91304347826087,23.91304347826087,15.217391304347828
Cottbus,BB,2024,6.521739130434782,4.3478260869565215,19.565217391304348,2.1739130434782608,15.217391304347828,30.434782608695656,21.739130434782595
Eberswalde,BB,2024,11.11111111111111,8.333333333333332,11.11111111111111,5.555555555555555,11.11111111111111,25.0,27.777777777777786
Eisenhüttenstadt,BB,2024,12.0,4.0,20.0,4.0,16.0,24.0,20.0
Falkensee,BB,2024,5.555555555555555,16.666666666666664,16.666666666666664,2.7777777777777777,25.0,19.444444444444446,13.8888888888889
Frankfurt (Oder),BB,2024,15.217391304347828,6.521739130434782,13.043478260869565,4.3478260869565215,23.91304347826087,28.26086956521739,8.695652173913047
Fürstenwalde/Spree,BB,2024,6.25,6.25,12.5,3.125,15.625,28.125,28.125
Hennigsdorf,BB,2024,6.25,6.25,25.0,3.125,18.75,21.875,18.75
Hohen Neuendorf,BB,2024,6.666666666666667,13.333333333333334,16.666666666666664,3.333333333333333,26.666666666666668,16.666666666666664,16.666666666666657
Königs Wusterhausen,BB,2024,5.555555555555555,5.555555555555555,22.22222222222222,2.7777777777777777,19.444444444444446,22.22222222222222,22.22222222222223
Luckenwalde,BB,2024,14.285714285714285,3.571428571428571,21.428571428571427,3.571428571428571,17.857142857142858,0.0,39.28571428571429
Ludwigsfelde,BB,2024,6.666666666666667,6.666666666666667,26.666666666666668,3.333333333333333,16.666666666666664,16.666666666666664,23.333333333333343
Neuruppin,BB,2024,9.375,9.375,15.625,0.0,18.75,21.875,25.0
Oranienburg,BB,2024,7.5,7.5,20.0,5.0,20.0,27.500000000000004,12.5
Potsdam,BB,2024,8.928571428571429,14.285714285714285,19.642857142857142,3.571428571428571,14.285714285714285,14.285714285714285,25.0
Rathenow,BB,2024,14.285714285714285,3.571428571428571,17.857142857142858,3.571428571428571,25.0,32.142857142857146,3.5714285714285836
Schwedt/Oder,BB,2024,3.125,3.125,25.0,3.125,15.625,28.125,21.875
Senftenberg,BB,2024,7.142857142857142,0.0,17.857142857142858,3.571428571428571,14.285714285714285,28.57142857142857,28.571428571428584
Spremberg,BB,2024,7.142857142857142,0.0,10.714285714285714,3.571428571428571,21.428571428571427,39.285714285714285,17.85714285714286
Strausberg,BB,2024,15.625,6.25,12.5,6.25,9.375,25.0,25.0
Teltow,BB,2024,6.25,12.5,28.125,9.375,15.625,15.625,12.5
Werder (Havel),BB,2024,6.25,9.375,15.625,3.125,31.25,18.75,15.625
Zossen,BB,2024,7.142857142857142,7.142857142857142,10.714285714285714,0.0,14.285714285714285,21.428571428571427,39.28571428571429
Bernau bei Berlin,BB,2019,19.444444444444446,8.333333333333332,11.11111111111111,2.7777777777777777,13.88888888888889,11.11111111111111,33.33333333333333
