City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Bremen,HB,5/25/2003,0.018,0.135,0.433,0.039,0.294,0.000,0.080
Bremerhaven,HB,9/28/2003,0.000,0.113,0.358,0.074,0.310,0.000,0.137
Bremen,HB,5/13/2007,0.087,0.174,0.371,0.054,0.258,0.000,0.056
Bremerhaven,HB,5/13/2007,0.061,0.126,0.336,0.096,0.237,0.000,0.144
Bremen,HB,5/22/2011,0.058,0.226,0.393,0.023,0.204,0.000,0.096
Bremerhaven,HB,5/22/2011,0.046,0.226,0.331,0.033,0.200,0.000,0.164
Bremen,HB,5/10/2015,0.099,0.158,0.326,0.067,0.222,0.056,0.071
Bremerhaven,HB,5/10/2015,0.069,0.111,0.331,0.052,0.244,0.047,0.147
Bremen,HB,5/26/2019,0.118,0.176,0.249,0.060,0.272,0.057,0.069
Bremerhaven,HB,5/26/2019,0.076,0.160,0.248,0.061,0.214,0.087,0.155
Bremen,HB,5/14/2023,0.116,0.117,0.299,0.051,0.269,0.000,0.148
Bremerhaven,HB,5/14/2023,0.053,0.137,0.270,0.053,0.203,0.059,0.224
