Gemeindewahl 2021 - Endgültiges Ergebnis - Stand: 23.06.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lfd.-Nr;GKZ;Gemeinde;Wahllokal;Wahlberechtigte ohne Sp.;Wahlberechtigte mit Sp.;Wahlberechtigte sonst.;Wahlberechtigte insgesamt;Wählerinnen und Wähler;darunter mit Wahlschein;ungültige Stimmzettel;gültige Stimmen;CDU;CDU-Sitze;GRÜNE;GRÜNE-Sitze;SPD;SPD-Sitze;AfD;AfD-Sitze;FDP;FDP-Sitze;DIE LINKE;DIE LINKE-Sitze;PIRATEN;PIRATEN-Sitze;FREIE WÄHLER;FREIE WÄHLER-Sitze;NPD;NPD-Sitze;Die PARTEI;Die PARTEI-Sitze;REP;REP-Sitze;DKP;DKP-Sitze;BIG;BIG-Sitze;APPD;APPD-Sitze;Bündnis C;Bündnis C-Sitze;Die Humanisten;Die Humanisten-Sitze;LKR;LKR-Sitze;Tierschutzpartei;Tierschutzpartei-Sitze;Volt;Volt-Sitze;WG1;WG1-Sitze;WG2;WG2-Sitze;WG3;WG3-Sitze;WG4;WG4-Sitze;WG5;WG5-Sitze;WG6;WG6-Sitze;WG7;WG7-Sitze;WG8;WG8-Sitze;WG9;WG9-Sitze;WG10;WG10-Sitze;WG11;WG11-Sitze;WG12;WG12-Sitze;WG13;WG13-Sitze;WG14;WG14-Sitze;WG15;WG15-Sitze;WG16;WG16-Sitze;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98
1;411000;Darmstadt, Wissenschaftsstadt;;74216;40903;0;115119;62960;36261;2024;4206676;655198;11;1152072;20;704054;12;192121;3;234412;4;310302;5;;;79349;1;;;90363;2;;;;;;;;;;;;;;;;;289217;5;269505;5;130997;2;85390;1;13696;0;;;;;;;;;;;;;;;;;;;;;;;;;UFFBASSE;UWIGA;WGD;TEILHABE IN DARMSTADT;;;;;;;;;;;;
2;412000;Frankfurt am Main, Stadt;;357913;154121;0;512034;230690;134318;9203;19908702;4361942;20;4894339;23;3385017;16;902412;4;1515646;7;1572333;7;123772;1;162122;1;;;361932;2;;;;;128846;1;;;;;11680;0;;;;;745418;4;395905;2;359304;2;265914;1;73026;0;61526;0;61772;0;126991;1;30691;0;40621;0;9627;0;15884;0;16587;0;18563;0;11488;0;166573;1;88771;0;BFF;ÖkoLinX-ARL;ELF;dFfm;KLIMALISTE;ISF;Gartenpartei Ffm;VD;FPF;WF;RF;FFWG;SL;BGF;IBF;DIALOGINITIATIVE
3;413000;Offenbach am Main, Stadt;;74279;20548;0;94827;33698;18601;1305;2149125;388842;13;389921;13;609634;20;157005;5;134243;4;183044;6;46472;2;91382;3;;;34986;1;;;;;27710;1;;;;;;;;;;;;;57422;2;28464;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FNO;JO;;;;;;;;;;;;;;
4;414000;Wiesbaden, Landeshauptstadt;;153880;55458;0;209338;87466;48003;3554;6500768;1526427;19;1390846;17;1320540;17;423597;5;675048;8;402776;5;;;163963;2;;;51398;1;;;;;44375;1;;;;;;;25988;0;;;246507;3;73288;1;50947;1;105068;1;;;;;;;;;;;;;;;;;;;;;;;;;;;BLW;ULW;Pro Auto;;;;;;;;;;;;;
5;431001;Abtsteinach;;1221;806;0;2027;1234;761;14;17553;6841;6;;;2734;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7978;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FWV;;;;;;;;;;;;;;;
6;431002;Bensheim, Stadt;;21700;10403;0;32103;15730;9617;460;645113;213261;15;155308;11;104307;7;27556;2;62121;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42312;3;40248;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bürger;FWG;;;;;;;;;;;;;;
7;431003;Biblis;;4551;2831;0;7382;3976;2632;135;75636;34326;11;;;22682;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14560;4;4068;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FLB;LS;;;;;;;;;;;;;;
8;431004;Birkenau;;4398;3421;69;7888;5059;3241;231;138309;43801;10;34668;8;37940;8;;;21900;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;431005;Bürstadt, Stadt;;8323;4825;0;13148;6685;4460;195;189643;69756;11;28040;5;35231;6;;;14785;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41831;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FREIE WÄHLER;;;;;;;;;;;;;;;
10;431006;Einhausen;;2693;2513;0;5206;3029;2377;104;85248;46595;17;19273;7;19380;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;431007;Fürth;;5166;3241;0;8407;4602;3035;124;129782;58804;14;23298;6;17311;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30369;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FW-Fürth;;;;;;;;;;;;;;;
12;431008;Gorxheimertal;;2144;1079;0;3223;1510;988;36;23911;4764;3;;;7345;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11802;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pro-Tal;;;;;;;;;;;;;;;
13;431009;Grasellenbach;;2032;1198;0;3230;1718;1139;84;30213;9323;6;4029;2;7521;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9340;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FPW;;;;;;;;;;;;;;;
