Wahlkreis,Gemeindenummer,Gemeindename,A1,A2,A3,A,B,B1,D,Stimmen gesamt,CDU,SPD,PDS,FDP,C5,C6,C7,C8,GRÜNE,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49
1,13001000,"Greifswald, Hansestadt",42560,2762,0,45322,20122,2647,1555,58811,27611,10245,13960,1361,x,1141,x,x,3771,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,722,x,x,x,x,x,x,x
2,13002000,"Neubrandenburg, Stadt",57928,4034,0,61962,27292,3822,2026,79850,27846,17374,27238,B734G 199901,x,x,x,x,1159,x,x,x,365,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,693,x,x,x,x,x,x,x,1153,292,842,257,870,x,x,x
3,13003000,"Rostock, Hansestadt",160699,8975,0,169674,65357,8241,5787,190284,53269,52489,60759,4751,x,2304,634,x,x,x,x,x,x,x,x,x,x,x,x,x,x,11187,x,x,x,x,x,x,x,x,x,x,x,x,535,859,1537,x,x,x,x,545,403,311,362,263,76,x,x
4,13004000,"Schwerin, Landeshauptstadt",79555,5590,0,85145,35995,4784,2474,105511,32426,23439,31668,2052,x,x,x,x,6484,x,x,x,x,x,x,x,x,x,x,x,1110,x,x,x,x,x,x,x,x,x,x,x,3272,x,706,x,x,170,x,x,x,166,155,362,70,716,1821,225,669
5,13005000,"Stralsund, Hansestadt",47801,3537,0,51338,22654,3238,2034,65928,28149,13207,16856,1118,1073,992,x,x,2686,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,941,x,x,x,x,x,x,x,x,906,x,x,x,x,x,x,x
6,13006000,"Wismar, Hansestadt",37019,1713,0,38732,16441,1608,2012,47311,12361,20319,9223,3830,x,x,x,x,1083,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,495,x,x,x,x,x,x,x,x,x,x
51,13051001,Admannshagen-Bargeshagen,2087,100,0,2187,1216,91,125,3523,2028,519,666,94,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,66,x,x,x,x,x,x,x,x,x,107,x,43,x,x,x,x,x,x,x
51,13051002,Alt Bukow,448,19,0,467,345,17,123,912,464,308,92,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,22,x,x,x,x,x,x,x,x,x,11,x,12,x,x,x,x,x,x,x
51,13051003,Altenhagen,239,9,0,248,178,9,43,491,205,122,104,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,14,x,x,x,x,x,x,x,x,x,9,x,23,x,x,x,x,x,x,x
51,13051004,"Bad Doberan, Stadt",8938,676,0,9614,4498,512,530,12964,4867,4025,2969,361,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,416,x,x,x,x,x,x,x,x,x,203,x,123,x,x,x,x,x,x,x
