,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Wahlen zu den Kreistagen und Stadtverordnetenversammlungen  der Stadtkreise nach Gemeinden in Mecklenburg - Vorpommern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          am 06. Mai 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                                         hier: nach dem Landkreisneuordnungsgesetz  - Gebietsstand: 01.Juli 1993 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,                   S t i m m z e t t e l,,,,Stimmen,                  Von den insgesamt abgegebenen Stimmen entfielen auf,,,,,,,,,               Von den insgesamt abgegebenen Stimmen entfielen auf,,,,,,,,,,              Von den insgesamt abgegebenen Stimmen entfielen auf,,,,,,,,
Gemeinde-,Stadtkreise,Wahl-,Wähler,Wahl-,        g ü   l   t   i  g ,,      u n g ü l t i g ,,ins-,          Bauern,,               B.F.D.,,               CDU,,                DBD,,              DFD,,              DSU,,        Grünen,,          NF      u.a.,,             PDS,,              SPD,,            B V,,            VS,,            EV,,       Sonstige,
Nummer,Landkreis,berechtigte,,beteiligung,,,,,gesamt,,,                  u.a.,,                 u.a.,,,,                 u.a.,,,,           u.a.,,      einschl. Bü. 90     ,,,,              u.a.,,,,,,,,,
,Gemeinde,                 A n z a h l,,%,Anzahl,%,Anzahl,%,Anzahl,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%,Anzahl,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stadtkreise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001000,GREIFSWALD,47119,29389,62.37,28516,97.03,873,2.97,84912,0,0.00,2831,3.33,30795,36.27,1275,1.50,1337,1.57,2169,2.55,2056,2.42,6743,7.94,17981,21.18,15844,18.66,564,0.66,1632,1.92,132,0.16,1553,1.83
13002000,NEUBRANDENBURG,63602,44139,69.40,42705,96.75,1434,3.25,127262,436,0.34,5259,4.13,30029,23.60,1999,1.57,1973,1.55,3236,2.54,5153,4.05,4065,3.19,38808,30.49,27334,21.48,882,0.69,1376,1.08,0,0.00,6712,5.27
