Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;DIE GRAUEN;REP;Adomeit;AWK;"BfL";RP;Agrarb�ndnis;AfR;APD;AUFBRUCH 09;AUF;Bauernverband;Bv;BBLR;BFR;BsG;BfB;BfS;BB UER;BfP;BG;FORUM;Freie  W�hler;Freie W�hler;FWG;FWG Niepars;F�R Rostock - pro OB;Haus und Grund Rostock;IfA;MUG;Rostocker Bund;SAV;UB;UBL 94;UWG;WG Bv-L�ndlicher Raum;Bauern;WG;WGW;WIK;WGK;KL;WGLR;WPL;WG Prohn;WG SVS 93;WIP;Einzelbewerber;
A;1;Greifswald;0;kreisfreie Stadt;13001000;Greifswald, Hansestadt;52;52;46005;18324;39,8;989;53540;16550;11920;7140;4591;5756;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5420;x;1574;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;589;
P;1;Greifswald;0;kreisfreie Stadt;13001000;Greifswald, Hansestadt;52;52;46005;18324;39,8;1,8;98,2;30,9;22,3;13,3;8,6;1Wahl der Kreistage der Landkreise sowie Stadtvertretungen/B�rgerschaften der kreisfreien St�dte in Mecklenburg-Vorpommern am 7. Juni 2009;
Endg�ltiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;
0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;10,1;x;2,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,1;
A;2;Neubrandenburg;0;kreisfreie Stadt;13002000;Neubrandenburg, Stadt;58;58;56902;22263;39,1;1199;64477;19705;18802;13807;4513;2860;1748;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3042;
P;2;Neubrandenburg;0;kreisfreie Stadt;13002000;Neubrandenburg, Stadt;58;58;56902;22263;39,1;1,8;98,2;30,6;29,2;21,4;7,0;4,4;2,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4,7;
A;3;Rostock;0;kreisfreie Stadt;13003000;Rostock, Hansestadt;188;188;171343;74042;43,2;4414;214380;37327;50787;39372;17941;21449;6493;2679;x;x;x;x;x;x;1681;393;4115;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;16874;615;x;x;10259;3409;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;986;
P;3;Rostock;0;kreisfreie Stadt;13003000;Rostock, Hansestadt;188;188;171343;74042;43,2;2,0;98,0;17,4;23,7;18,4;8,4;10,0;3,0;1,2;x;x;x;x;x;x;0,8;0,2;1,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7,9;0,3;x;x;4,8;1,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;
A;4;Schwerin;0;kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;93;93;79615;32513;40,8;1573;94279;20787;24183;20751;6004;8807;2653;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;10408;x;x;x;x;x;x;x;x;x;x;x;x;x;x;686;
P;4;Schwerin;0;kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;93;93;79615;32513;40,8;1,6;98,4;22,0;25,7;22,0;6,4;9,3;2,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;11,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7;
A;5;Stralsund;0;kreisfreie Stadt;13005000;Stralsund, Hansestadt;57;57;49801;19740;39,6;1007;57103;18291;10451;6621;2805;x;1762;x;426;3287;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7280;x;x;x;4955;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1225;
