Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;DIE LINKE;GRÜNE;NPD;FDP;PIRATEN;AUF;RENTNER;[ASK];AB gegen WK- Ausbau;AWD;Allianz Bauern u. LR;AfD;AfL;AL;AUFBRUCH 09;Bauernverband;BFR;B�rger f�r Stralsund;BBG;BG;Freie W�hler LUP;Freie W�hler MSP;Freie W�hler LRO;Freie W�hler NWM;GRAUE;KfV;LUL;UB;UFR;UBL 94;Rostocker Bund;WG BV-LR;WGB;WG B;WGW;WGLR;WG Upahl-Hanshagen;WG "W�bbelin";Adomeit;WIR;Einzelbewerber
03.06.2014 08:19:06;A;3;Rostock;1;Rostock, Hansestadt;13003000;Rostock, Hansestadt;162;162;173518;70237;40,5;3265;202351;41506;34306;53427;23112;3520;5052;x;x;x;x;x;x;x;8964;x;x;3039;x;x;x;x;x;x;x;x;x;1550;x;x;x;16372;x;9335;x;x;x;x;x;x;x;x;x;2168
03.06.2014 08:19:06;P;3;Rostock;1;Rostock, Hansestadt;13003000;Rostock, Hansestadt;162;162;173518;70237;40,5;1,6;98,4;20,5;17,0;26,4;11,4;1,7;2,5;x;x;x;x;x;x;x;4,4;x;x;1,5;x;x;x;x;x;x;x;x;x;0,8;x;x;x;8,1;x;4,6;x;x;x;x;x;x;x;x;x;1,1
03.06.2014 08:19:06;A;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;72;72;79317;35501;44,8;1691;102848;25534;20094;25316;7977;x;3121;x;x;x;1783;x;x;x;6034;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;11534;x;x;x;x;x;x;x;x;x;x;x;x;1455
03.06.2014 08:19:06;P;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;72;72;79317;35501;44,8;1,6;98,4;24,8;19,5;24,6;7,8;x;3,0;x;x;x;1,7;x;x;x;5,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;11,2;x;x;x;x;x;x;x;x;x;x;x;x;1,4
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;61;61;55029;21941;39,9;1241;62956;17389;14461;18081;4067;1747;1371;1115;x;x;x;448;x;x;3252;x;x;x;x;x;x;x;x;x;406;x;x;x;x;x;x;x;x;x;x;x;x;x;175;x;x;x;x;444
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;61;61;55029;21941;39,9;1,9;98,1;27,6;23,0;28,7;6,5;2,8;2,2;1,8;x;x;x;0,7;x;x;5,2;x;x;x;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;0,7
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;8;8;3877;1714;44,2;269;4873;1727;567;1835;132;114;131;41;x;x;x;26;x;x;149;x;x;x;x;x;x;x;x;x;50;x;x;x;x;x;x;x;x;x;x;x;x;x;84;x;x;x;x;17
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;8;8;3877;1714;44,2;5,2;94,8;35,4;11,6;37,7;2,7;2,3;2,7;0,8;x;x;x;0,5;x;x;3,1;x;x;x;x;x;x;x;x;x;1,0;x;x;x;x;x;x;x;x;x;x;x;x;x;1,7;x;x;x;x;0,3
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;11;11;10023;3373;33,7;230;9711;3550;1535;1878;152;405;105;64;x;x;x;38;x;x;335;x;x;x;x;x;x;x;x;x;1585;x;x;x;x;x;x;x;x;x;x;x;x;x;47;x;x;x;x;17
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;11;11;10023;3373;33,7;2,3;97,7;36,6;15,8;19,3;1,6;4,2;1,1;0,7;x;x;x;0,4;x;x;3,4;x;x;x;x;x;x;x;x;x;16,3;x;x;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;0,2
