Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;W�hler;Wahlbeteiligung;Ung�ltige Stimmen;G�ltige Stimmen;CDU;DIE LINKE;SPD;GRÜNE;AfD;FDP;NPD;PIRATEN;ASK Schwerin;AWD;AWGV;ABLR;AfL;AUFBRUCH 09;B�ndnis C;B�rger f�r Stralsund;BVR;B�rgerb�ndnis "Landleben Tollensetal";BG;DKP;DF;FREIE W�HLER;Freier Horizont LUP;Freier Horizont MSE;Freier Horizont VG;Freier Horizont LRO;FPA;FR;Graue;KfV;Die PARTEI;Tierschutzpartei;Pro Aktiv;UB;UFR;Rostocker Bund;WGW;WGK;LUL;W�hlergruppe Adomeit;WLD;Einzelbewerber
05.06.2019 13:48:38;A;3;Rostock;1;Rostock, Hansestadt;13003000;Hanse- und Universit�tsstadt Rostock;162;162;173650;102304;58,9;4179;293275;42422;58405;42269;55616;28294;9645;1633;1714;x;x;x;x;x;2897;x;x;x;x;x;x;x;3790;x;x;x;x;x;x;1869;x;7373;x;x;x;21483;12086;x;x;x;x;x;3779
05.06.2019 13:48:38;P;3;Rostock;1;Rostock, Hansestadt;13003000;Hanse- und Universit�tsstadt Rostock;162;162;173650;102304;58,9;1,4;98,6;14,5;19,9;14,4;19,0;9,6;3,3;0,6;0,6;x;x;x;x;x;1,0;x;x;x;x;x;x;x;1,3;x;x;x;x;x;x;0,6;x;2,5;x;x;x;7,3;4,1;x;x;x;x;x;1,3
05.06.2019 13:48:38;A;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Landeshauptstadt Schwerin;71;71;78449;45526;58,0;1204;132816;22819;20601;22860;16064;20071;5274;x;x;1946;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4028;x;x;18689;x;x;x;x;x;x;x;464
05.06.2019 13:48:38;P;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Landeshauptstadt Schwerin;71;71;78449;45526;58,0;0,9;99,1;17,2;15,5;17,2;12,1;15,1;4,0;x;x;1,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,0;x;x;14,1;x;x;x;x;x;x;x;0,3
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;52;52;53653;27049;50,4;1161;77541;16733;17768;13680;8668;12872;2433;696;634;x;x;x;x;x;x;x;x;x;x;x;x;x;2237;x;1026;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;794
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;52;52;53653;27049;50,4;1,5;98,5;21,6;22,9;17,6;11,2;16,6;3,1;0,9;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;2,9;x;1,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,0
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;8;8;3752;1967;52,4;132;5678;1811;1308;518;249;820;102;50;23;x;x;x;x;x;x;x;x;x;x;x;x;x;197;x;47;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;553
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;8;8;3752;1967;52,4;2,3;97,7;31,9;23,0;9,1;4,4;14,4;1,8;0,9;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;3,5;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;9,7
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Hansestadt Demmin;11;11;9350;4024;43,0;469;11446;3166;1609;1391;336;2353;200;100;31;x;x;x;x;x;x;x;x;x;x;x;x;x;2089;x;123;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;48
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Hansestadt Demmin;11;11;9350;4024;43,0;3,9;96,1;27,7;14,1;12,2;2,9;20,6;1,7;0,9;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;18,3;x;1,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4
