Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;W�hler;Wahlbeteiligung;Ung�ltige Stimmen;Gültige Stimmen;CDU;DIE LINKE;SPD;AfD;GRÜNE;FDP;FREIE W�HLER;HEIMAT;Die PARTEI;Tierschutzpartei;PIRATEN;B�ndnis C;DKP;A: SAHRA;ASK;Aktive Vorpommern;AWD;ABLR;AfL;dieBasis;BFW;B�NDNIS DEUTSCHLAND;B�ndnis Ducherow;BBM;BSW;BfB;BkW;B�rger f�r Stralsund;BVR;BB;BB NWM;BL;Cannabis und B�rgerrechte;Die Unabh�ngigen;Freier Horizont VG;Freier Horizont LUP;FREIER HORIZONT MSE;Freier Horizont HRO;Freier Horizlucaslorentzont LRO;F�r R�gen;Graue Rostock;IBG;IZ;kus;K-I;LfK;Rostocker Bund;UB;UFR;Volt;VAH;WGLR;LUL;WG Sozial;WGU;W�hlergemeinschaft Wittenhagen;W�hlergruppe Adomeit;WGP;Heimat und Identit�t;WLD;Einzelbewerber
18.06.2024 15:52:00;A;3;Rostock, Hanse- und Universit�tsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;185;185;171500;105708;61,6;3477;308567;50198;44429;43454;54079;34394;10957;4374;x;6788;x;x;x;x;x;x;x;x;x;x;1390;x;x;x;x;28970;x;x;x;x;x;x;x;x;x;x;x;x;1911;x;x;1680;x;x;x;x;x;9422;x;7972;5164;x;x;x;x;x;x;x;x;x;x;3385
18.06.2024 15:52:00;P;3;Rostock, Hanse- und Universit�tsstadt;1;Rostock, Hanse- und Universitätsstadt;13003000;Rostock, Hanse- und Universitätsstadt;185;185;171500;105708;61,6;1,1;98,9;16,3;14,4;14,1;17,5;11,1;3,6;1,4;x;2,2;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;9,4;x;x;x;x;x;x;x;x;x;x;x;x;0,6;x;x;0,5;x;x;x;x;x;3,1;x;2,6;1,7;x;x;x;x;x;x;x;x;x;x;1,1
18.06.2024 15:52:00;A;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;87;87;78517;50842;64,8;2109;147473;29051;15113;24749;38352;10088;5388;x;x;4876;x;x;x;x;x;3181;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;402;x;x;10617;x;1338;x;x;x;x;x;x;x;x;x;x;4318
18.06.2024 15:52:00;P;4;Schwerin, Landeshauptstadt;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;87;87;78517;50842;64,8;1,4;98,6;19,7;10,2;16,8;26,0;6,8;3,7;x;x;3,3;x;x;x;x;x;2,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;7,2;x;0,9;x;x;x;x;x;x;x;x;x;x;2,9
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;54;54;51962;30481;58,7;1096;88306;18682;7329;10519;24361;4469;1479;1147;500;x;x;x;x;x;x;x;x;x;x;x;864;x;x;x;x;15951;x;x;x;x;x;x;x;804;x;x;x;1003;x;x;x;x;x;x;x;x;x;x;x;x;x;x;391;x;x;x;x;x;x;x;x;807
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Vier-Tore-Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;54;54;51962;30481;58,7;1,2;98,8;21,2;8,3;11,9;27,6;5,1;1,7;1,3;0,6;x;x;x;x;x;x;x;x;x;x;x;1,0;x;x;x;x;18,1;x;x;x;x;x;x;x;0,9;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;0,9
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;11;11;3701;2506;67,7;185;7183;1640;1280;788;2084;157;80;160;39;x;x;x;x;x;x;x;x;x;x;x;13;x;x;x;x;714;x;x;x;x;x;x;x;41;x;x;x;56;x;x;x;x;x;x;x;x;x;x;x;x;x;x;111;x;x;x;x;x;x;x;x;20
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;11;11;3701;2506;67,7;2,5;97,5;22,8;17,8;11,0;29,0;2,2;1,1;2,2;0,5;x;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;9,9;x;x;x;x;x;x;x;0,6;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,5;x;x;x;x;x;x;x;x;0,3
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;8;8;8993;4654;51,8;292;13094;3422;757;935;4784;99;63;1505;37;x;x;x;x;x;x;x;x;x;x;x;72;x;x;x;x;1084;x;x;x;x;x;x;x;41;x;x;x;69;x;x;x;x;x;x;x;x;x;x;x;x;x;x;205;x;x;x;x;x;x;x;x;21
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;8;8;8993;4654;51,8;2,2;97,8;26,1;5,8;7,1;36,5;0,8;0,5;11,5;0,3;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;8,3;x;x;x;x;x;x;x;0,3;x;x;x;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,6;x;x;x;x;x;x;x;x;0,2
