Gifhorn,49.8,33.9,5.1,3.9,7.3,0,0
Bad Harzburg,41.5,42.5,6.4,9.6,0,0,0
Goslar,38.3,41.9,3.1,9.1,7.5,0,1.4
Helmstedt,40.0,44.4,3.6,6.5,5.4,0,1.2
Northeim,30.9,46.1,5.5,11.7,5.9,0,0
Einbeck,38.9,45.8,2.8,7.6,4.9,0,0
Peine,33.9,50.5,4.5,2.4,8.7,0,0
Ilsede,35.1,51.1,4.5,2.2,7.1,0,0
Wolfenbüttel,43.5,40.9,6.4,6.4,2.7,0,0
Duderstadt,66.0,16.5,4.9,2.9,9.6,0,0
Göttingen,30.6,36.1,16.9,8.9,7.4,0,3.8
Hann. Münden,36.0,44.1,6.3,3.3,10.4,0,0.9
Osterode am Harz,35.6,48.5,5.3,4.3,6.4,0,0
Hannover,33.2,42.9,11.5,5.9,6.5,0,2.1
Barsinghausen,39.0,44.9,8.3,4.0,4.0,0,0
Burgdorf,37.5,41.3,6.2,6.4,8.6,0,0
Burgwedel,46.3,34.3,5.3,12.7,1.3,0,0
Garbsen,38.1,45.0,6.1,5.0,5.8,0,0
Isernhagen,49.4,33.7,8.5,8.4,0,0,0
Laatzen,36.6,48.3,4.5,5.3,5.3,0,0
Langenhagen,43.7,43.6,7.6,5.2,0,0,0
Lehrte,34.2,49.5,6.3,5.4,4.5,0,0
Ronnenberg,36.8,46.5,10.2,6.5,0,0,0
Seelze,40.1,50.9,5.2,3.9,0,0,0
Sehnde,46.5,46.2,4.4,2.9,0,0,0
Springe,42.9,44.5,7.3,5.2,0.2,0,0
Uetze,41.0,47.9,4.8,2.9,3.4,0,0
Wunstorf,37.2,45.7,5.4,6.5,5.2,0,0
Stuhr,37.8,38.5,7.4,12.1,4.3,0,0
Syke,35.5,31.0,7.0,10.4,16.2,0,0
Weyhe,30.6,50.8,10.9,7.6,0,0,0
Hameln,37.5,38.8,8.0,8.9,6.8,0,0
Hildesheim,43.2,37.4,8.1,4.3,7.1,0,0
Holzminden,40.4,39.9,5.0,5.3,9.4,0,0.8
Rinteln,39.2,45.7,4.5,2.8,7.8,0,0
Stadthagen,36.9,44.3,6.7,4.0,8.1,0,0
Lüneburg.Celle,46.0,29.3,4.5,7.1,13.1,0,0
Celle,44.4,29.8,7.0,8.8,10.0,0,0
Cuxhaven,42.6,37.1,6.8,6.5,7.0,0,0
Geestland,50.9,33.1,2.4,1.5,12.0,0,0
Neu Wulmstorf,36.1,28.2,6.8,9.4,19.5,0,0
Seevetal,44.4,31.5,7.2,6.6,10.2,0,0
Winsen (Luhe),44.3,38.2,8.3,6.0,3.2,0,0
Lüneburg,34.4,43.9,13.4,8.1,0.3,0,0
Lilienthal,42.4,26.1,6.9,10.5,14.1,0,0
Osterholz-Scharmbeck,28.0,51.3,5.7,3.5,11.5,0,0
Schwanewede,29.1,47.9,5.1,4.1,13.9,0,0
Rotenburg (Wümme),45.7,40.5,9.6,3.1,1.1,0,0
Soltau,43.1,32.9,4.9,5.5,13.5,0,0
Walsrode,49.1,38.8,5.5,6.3,0.3,0,0
Buxtehude,35.1,36.2,8.2,10.8,9.7,0,0
Stade,43.1,37.6,8.5,3.7,7.1,0,0
Uelzen,45.1,43.6,6.9,3.3,1.1,0,1.1
Achim,30.3,40.1,11.3,6.9,11.4,0,0
Verden (Aller),40.5,42.1,6.1,11.2,0,0,0
Bad Zwischenahn,40.9,37.5,4.9,9.5,7.3,0,0
Edewecht,47.8,38.4,6.4,7.5,0,0,0
Rastede,46.0,31.6,8.5,6.0,7.9,0,0
Westerstede,31.5,32.9,5.9,18.5,11.3,0,0
Aurich,33.2,42.3,0,3.3,21.2,0,1.7
Norden,18.7,45.6,5.7,3.0,27.0,0,1.1
Cloppenburg,64.8,20.1,7.1,1.8,6.3,0,0
Friesoythe,63.1,31.2,0,0.8,4.9,0,0
Haren (Ems),67.0,18.0,3.0,0,11.9,0,0
Lingen (Ems),65.2,23.5,3.7,4.3,3.3,0,0
Meppen,50.3,25.6,5.2,3.7,15.1,0,0
Papenburg,59.1,21.8,4.1,15.0,0,0,0
Schortens,35.6,34.0,6.9,7.1,16.4,0,0
Varel,25.7,48.5,4.8,9.0,11.9,0,0
Nordhorn,39.9,43.1,5.9,5.1,6.0,0,0
Moormerland,36.4,51.4,5.4,2.8,4.1,0,0
Westoverledingen,37.8,50.7,4.0,3.7,3.8,0,0
Ganderkesee,37.1,39.5,6.3,12.2,4.9,0,0
Wildeshausen,37.6,32.7,6.0,8.0,15.6,0,0
Bramsche,37.7,49.1,6.2,3.5,3.6,0,0
Georgsmarienhütte,54.2,34.9,4.8,3.2,2.8,0,0
Melle,46.2,35.8,8.9,9.0,0,0,0
Wallenhorst,49.3,38.2,4.8,1.1,6.5,0,0
Lohne (Oldenburg),69.6,15.5,4.0,4.8,6.0,0,0
Vechta,62.1,26.3,3.7,3.9,4.0,0,0
Nordenham.Norden,31.7,52.1,5.0,11.2,0,0,0
Wittmund,44.7,40.1,1.6,3.0,10.7,0,0
Braunschweig,41.1,36.9,9.9,7.6,4.5,0,2.6
Salzgitter,37.7,47.9,2.7,6.3,5.4,0,1.4
Wolfsburg,41.6,37.7,4.2,3.9,12.6,0,1.0
Delmenhorst,36.5,39.8,6.6,6.7,10.4,0,0.8
Emden,26.3,39.5,7.7,24.3,2.2,0,2.2
Oldenburg,30.5,40.1,13.6,8.2,7.5,0,3.9
Osnabrück,43.0,31.7,10.3,10.9,4.2,0,1.1
Wilhelmshaven,36.3,45.3,5.5,5.4,7.5,0,0
