City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Paderborn,NRW,1999,0.0,8.620689655172415,25.862068965517242,3.4482758620689653,55.172413793103445,0.0,6.896551724137923
Neuss,NRW,1999,1.7241379310344827,5.172413793103448,25.862068965517242,5.172413793103448,56.896551724137936,0.0,5.1724137931034475
Recklinghausen,NRW,1999,0.0,5.172413793103448,37.93103448275862,3.4482758620689653,46.55172413793103,0.0,6.896551724137934
Bergisch Gladbach,NRW,1999,0.0,9.615384615384617,26.923076923076923,5.769230769230769,53.84615384615385,0.0,3.8461538461538547
Siegen,NRW,1999,0.0,6.896551724137931,29.310344827586203,5.172413793103448,50.0,0.0,8.62068965517242
Moers,NRW,1999,1.8518518518518516,7.4074074074074066,40.74074074074074,5.555555555555555,44.44444444444444,0.0,0.0
Gütersloh,NRW,1999,0.0,6.0,36.0,4.0,44.0,0.0,10.000000000000009
Düren,NRW,1999,2.0,4.0,40.0,2.0,50.0,0.0,2.0000000000000018
Iserlohn,NRW,1999,0.0,4.0,34.0,4.0,54.0,0.0,4.0000000000000036
Witten,NRW,1999,3.4482758620689653,6.896551724137931,41.37931034482759,5.172413793103448,36.206896551724135,0.0,6.896551724137923
Ratingen,NRW,1999,0.0,8.0,26.0,6.0,52.0,0.0,7.9999999999999964
Marl,NRW,1999,0.0,6.0,38.0,2.0,44.0,0.0,9.999999999999998
Lünen,NRW,1999,0.0,6.0,44.0,2.0,46.0,0.0,2.0000000000000018
Minden,NRW,1999,0.0,8.0,40.0,4.0,42.0,0.0,6.000000000000005
Velbert,NRW,1999,1.7857142857142856,5.357142857142857,30.357142857142854,3.571428571428571,42.857142857142854,0.0,16.07142857142858
Rheine,NRW,1999,0.0,6.0,36.0,2.0,56.00000000000001,0.0,0.0
Viersen,NRW,1999,0.0,8.0,30.0,6.0,56.00000000000001,0.0,0.0
Gladbeck,NRW,1999,0.0,4.0,40.0,2.0,46.0,0.0,7.9999999999999964
Troisdorf,NRW,1999,0.0,4.0,38.0,2.0,52.0,0.0,4.0000000000000036
Arnsberg,NRW,1999,0.0,4.3478260869565215,39.130434782608695,4.3478260869565215,52.17391304347826,0.0,0.0
Detmold,NRW,1999,0.0,8.0,40.0,4.0,42.0,0.0,6.000000000000005
Dorsten,NRW,1999,0.0,6.0,36.0,4.0,54.0,0.0,0.0
Castrop-Rauxel,NRW,1999,0.0,4.0,40.0,2.0,42.0,0.0,12.0
Bocholt,NRW,1999,0.0,6.0,30.0,2.0,56.00000000000001,0.0,5.999999999999995
Lüdenscheid,NRW,1999,0.0,6.0,34.0,4.0,48.0,0.0,8.000000000000007
Lippstadt,NRW,1999,0.0,6.0,34.0,6.0,50.0,0.0,4.0000000000000036
Herford,NRW,1999,0.0,6.0,36.0,4.0,54.0,0.0,0.0
Dinslaken,NRW,1999,0.0,10.0,40.0,2.0,44.0,0.0,4.0000000000000036
Kerpen,NRW,1999,0.0,8.0,36.0,4.0,50.0,0.0,2.0000000000000018
Grevenbroich,NRW,1999,0.0,2.0,38.0,4.0,50.0,0.0,6.000000000000005
