City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Düsseldorf,NRW,1999,2.4390243902439024,7.317073170731707,35.36585365853659,4.878048780487805,48.78048780487805,0.0,1.2195121951219523
Duisburg,NRW,1999,4.054054054054054,5.405405405405405,45.94594594594595,2.7027027027027026,41.891891891891895,0.0,0.0
Essen,NRW,1999,2.4390243902439024,8.536585365853659,35.36585365853659,2.4390243902439024,48.78048780487805,0.0,2.4390243902439046
Krefeld,NRW,1999,0,6.896551724137931,29.310344827586203,3.4482758620689653,56.896551724137936,0.0,3.4482758620689724
Mönchengladbach,NRW,1999,0,7.352941176470589,29.411764705882355,5.88235294117647,48.529411764705884,0.0,8.823529411764696
Mülheim an der Ruhr,NRW,1999,0,5.769230769230769,42.30769230769231,7.6923076923076925,38.46153846153847,0.0,5.769230769230771
Oberhausen,NRW,1999,3.4482758620689653,5.172413793103448,50.0,3.4482758620689653,37.93103448275862,0.0,0.0
Remscheid,NRW,1999,0,5.555555555555555,35.18518518518518,3.7037037037037033,50.0,0.0,5.555555555555558
Solingen,NRW,1999,0,6.896551724137931,29.310344827586203,6.896551724137931,50.0,0.0,6.896551724137934
Wuppertal,NRW,1999,3.0303030303030303,6.0606060606060606,37.878787878787875,4.545454545454546,46.96969696969697,0.0,1.5151515151515138
Aachen,NRW,1999,1.7241379310344827,10.344827586206897,32.758620689655174,5.172413793103448,50.0,0.0,0.0
Bonn,NRW,1999,1.5151515151515151,10.606060606060606,27.27272727272727,6.0606060606060606,51.515151515151516,0.0,3.0303030303030276
Köln,NRW,1999,2.127659574468085,15.957446808510639,30.851063829787233,4.25531914893617,45.744680851063826,0.0,1.0638297872340496
Leverkusen,NRW,1999,0,6.896551724137931,29.310344827586203,3.4482758620689653,46.55172413793103,0.0,13.793103448275868
Bottrop,NRW,1999,0,5.172413793103448,39.6551724137931,1.7241379310344827,41.37931034482759,0.0,12.06896551724138
Gelsenkirchen,NRW,1999,3.0303030303030303,6.0606060606060606,40.909090909090914,1.5151515151515151,42.42424242424242,0.0,6.060606060606055
Münster,NRW,1999,1.5151515151515151,12.121212121212121,25.757575757575758,4.545454545454546,54.54545454545454,0.0,1.5151515151515138
Bielefeld,NRW,1999,2.857142857142857,11.428571428571429,31.428571428571427,2.857142857142857,45.714285714285715,0.0,5.714285714285716
Bochum,NRW,1999,0,10.606060606060606,40.909090909090914,3.0303030303030303,40.909090909090914,0.0,4.545454545454541
Dortmund,NRW,1999,0,9.75609756097561,41.46341463414634,1.2195121951219512,41.46341463414634,0.0,6.0975609756097615
Hagen,NRW,1999,0,5.172413793103448,39.6551724137931,5.172413793103448,46.55172413793103,0.0,3.4482758620689724
Hamm,NRW,1999,0,5.172413793103448,39.6551724137931,5.172413793103448,46.55172413793103,0.0,3.4482758620689724
Herne,NRW,1999,3.4482758620689653,6.896551724137931,44.827586206896555,1.7241379310344827,39.6551724137931,0.0,3.4482758620689613
