City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Mainz,RP,2014,5.0,20.0,28.33333333333333,5.0,30.0,3.333333333333333,8.333333333333343
Mainz,RP,2009,3.333333333333333,21.666666666666668,23.33333333333333,10.0,30.0,0.0,11.666666666666671
Ludwigshafen am Rhein,RP,2014,3.333333333333333,8.333333333333332,35.0,3.333333333333333,33.33333333333333,8.333333333333332,8.333333333333343
Ludwigshafen am Rhein,RP,2009,3.333333333333333,6.666666666666667,36.66666666666666,6.666666666666667,35.0,0.0,11.666666666666671
Koblenz,RP,2014,3.571428571428571,14.285714285714285,25.0,3.571428571428571,37.5,3.571428571428571,12.500000000000014
Koblenz,RP,2009,1.7857142857142856,10.714285714285714,25.0,8.928571428571429,33.92857142857143,0.0,19.64285714285714
Trier,RP,2014,5.357142857142857,16.071428571428573,26.785714285714285,3.571428571428571,35.714285714285715,3.571428571428571,8.92857142857143
Trier,RP,2009,3.571428571428571,17.857142857142858,26.785714285714285,7.142857142857142,33.92857142857143,0.0,10.714285714285708
Kaiserslautern,RP,2014,7.6923076923076925,11.538461538461538,36.53846153846153,5.769230769230769,28.846153846153843,0.0,9.615384615384627
Kaiserslautern,RP,2009,5.769230769230769,7.6923076923076925,38.46153846153847,9.615384615384617,30.76923076923077,0.0,7.692307692307679
Worms,RP,2014,3.8461538461538463,11.538461538461538,34.61538461538461,5.769230769230769,32.69230769230769,0.0,11.538461538461547
Worms,RP,2009,3.8461538461538463,7.6923076923076925,38.46153846153847,11.538461538461538,32.69230769230769,0.0,5.769230769230759
Neuwied,RP,2014,4.0,8.0,30.0,4.0,42.0,6.0,6.0
Neuwied,RP,2009,4.0,6.0,34.0,8.0,40.0,0.0,8.0
Neustadt an der Weinstraße,RP,2014,4.545454545454546,13.636363636363637,22.727272727272727,4.545454545454546,36.36363636363637,0.0,18.181818181818187
Neustadt an der Weinstraße,RP,2009,2.272727272727273,11.363636363636363,20.454545454545457,9.090909090909092,40.909090909090914,0.0,15.909090909090908
Bad Kreuznach,RP,2014,4.0,8.0,34.0,4.0,38.0,6.0,6.0
Bad Kreuznach,RP,2009,3.389830508474576,6.779661016949152,27.11864406779661,8.47457627118644,32.20338983050847,0.0,22.033898305084747
Speyer,RP,2014,4.545454545454546,13.636363636363637,22.727272727272727,2.272727272727273,34.090909090909086,0.0,22.727272727272734
Speyer,RP,2009,2.272727272727273,13.636363636363637,22.727272727272727,4.545454545454546,34.090909090909086,0.0,22.727272727272734
Frankenthal (Pfalz),RP,2014,4.545454545454546,6.8181818181818175,27.27272727272727,2.272727272727273,47.72727272727273,0.0,11.363636363636374
Frankenthal (Pfalz),RP,2009,0.0,6.8181818181818175,27.27272727272727,6.8181818181818175,47.72727272727273,0.0,11.363636363636374
Landau in der Pfalz,RP,2014,0.0,13.636363636363637,31.818181818181817,2.272727272727273,31.818181818181817,4.545454545454546,15.909090909090908
Landau in der Pfalz,RP,2009,0.0,11.363636363636363,34.090909090909086,9.090909090909092,31.818181818181817,0.0,13.63636363636364
Pirmasens,RP,2014,4.545454545454546,4.545454545454546,27.27272727272727,4.545454545454546,40.909090909090914,0.0,18.181818181818187
Pirmasens,RP,2009,4.545454545454546,4.545454545454546,27.27272727272727,4.545454545454546,36.36363636363637,0.0,22.72727272727272
Ingelheim am Rhein,RP,2014,0.0,2.7777777777777777,33.33333333333333,2.7777777777777777,33.33333333333333,0.0,27.777777777777786
Ingelheim am Rhein,RP,2009,0.0,8.333333333333332,25.0,8.333333333333332,30.55555555555556,0.0,27.777777777777786
Zweibrücken,RP,2014,7.5,10.0,35.0,5.0,30.0,5.0,7.5
Zweibrücken,RP,2009,5.0,0.0,37.5,12.5,27.500000000000004,0.0,17.5
Andernach,RP,2014,2.7777777777777777,8.333333333333332,33.33333333333333,2.7777777777777777,38.88888888888889,0.0,13.888888888888886
Andernach,RP,2009,2.7777777777777777,5.555555555555555,36.11111111111111,2.7777777777777777,38.88888888888889,0.0,13.888888888888886
Idar-Oberstein,RP,2014,5.0,5.0,35.0,10.0,32.5,0.0,12.5
Idar-Oberstein,RP,2009,5.0,5.0,30.0,17.5,27.500000000000004,0.0,15.0
Bad Neuenahr-Ahrweiler,RP,2014,2.7777777777777777,11.11111111111111,19.444444444444446,2.7777777777777777,47.22222222222222,0.0,16.666666666666657
Bad Neuenahr-Ahrweiler,RP,2009,0.0,11.11111111111111,16.666666666666664,8.333333333333332,47.22222222222222,0.0,16.66666666666667
Bingen am Rhein,RP,2014,0.0,11.11111111111111,33.33333333333333,5.555555555555555,44.44444444444444,0.0,5.555555555555557
Bingen am Rhein,RP,2009,0.0,11.11111111111111,27.77777777777778,11.11111111111111,44.44444444444444,0.0,5.555555555555557
Germersheim,RP,2014,2.1739130434782608,8.695652173913043,26.08695652173913,4.3478260869565215,39.130434782608695,6.521739130434782,13.043478260869565
Germersheim,RP,2009,0.0,6.521739130434782,28.26086956521739,8.695652173913043,39.130434782608695,0.0,17.391304347826093
Schifferstadt,RP,2014,0.0,18.75,18.75,3.125,34.375,9.375,15.625
Schifferstadt,RP,2009,0.0,9.375,18.75,9.375,31.25,0.0,31.25
Haßloch,RP,2014,2.7777777777777777,11.11111111111111,27.77777777777778,2.7777777777777777,36.11111111111111,0.0,19.444444444444443
Haßloch,RP,2009,2.7777777777777777,8.333333333333332,30.55555555555556,0.0,36.11111111111111,0.0,22.22222222222223
Mainz,RP,2024,6.666666666666667,25.0,20.0,5.0,23.333333333333332,6.666666666666667,13.333333333333329
Mainz,RP,2019,6.666666666666667,28.333333333333332,20.0,6.666666666666667,23.333333333333332,5.0,10.0
Ludwigshafen am Rhein,RP,2024,1.6666666666666667,8.333333333333332,21.666666666666668,3.3333333333333335,28.333333333333332,20.0,16.66666666666667
Ludwigshafen am Rhein,RP,2019,5.0,16.666666666666664,26.666666666666668,5.0,25.0,13.333333333333334,8.333333333333343
Koblenz,RP,2024,3.571428571428571,19.642857142857142,17.857142857142858,3.571428571428571,26.785714285714285,0.0,28.571428571428584
Koblenz,RP,2019,3.571428571428571,25.0,19.642857142857142,3.571428571428571,25.0,0.0,23.214285714285722
Trier,RP,2024,5.357142857142857,19.642857142857142,23.214285714285715,5.357142857142857,26.785714285714285,8.928571428571429,10.714285714285708
Trier,RP,2019,7.142857142857142,26.785714285714285,21.428571428571427,5.357142857142857,23.214285714285715,7.142857142857142,8.92857142857143
Kaiserslautern,RP,2024,5.357142857142857,16.071428571428573,21.428571428571427,3.571428571428571,21.428571428571427,19.642857142857142,12.5
Kaiserslautern,RP,2019,5.357142857142857,19.642857142857142,26.785714285714285,5.357142857142857,23.214285714285715,10.714285714285714,8.92857142857143
Worms,RP,2024,1.9230769230769231,7.6923076923076925,23.076923076923077,3.8461538461538463,25.0,19.230769230769234,19.230769230769226
Worms,RP,2019,1.9230769230769231,15.384615384615385,26.923076923076923,3.8461538461538463,28.846153846153843,11.538461538461538,11.538461538461547
Neuwied,RP,2024,2.0,34.0,20.0,4.0,34.0,14.000000000000002,-8.0
Neuwied,RP,2019,4.0,34.0,24.0,6.0,34.0,8.0,-10.0
Neustadt an der Weinstraße,RP,2024,0.0,13.636363636363635,15.909090909090908,4.545454545454546,25.0,15.909090909090908,25.0
Neustadt an der Weinstraße,RP,2019,2.272727272727273,18.181818181818183,15.909090909090908,6.8181818181818175,25.0,0.0,31.818181818181813
Bad Kreuznach,RP,2024,2.0,10.0,22.0,6.0,32.0,14.000000000000002,14.0
Bad Kreuznach,RP,2019,4.0,14.000000000000002,24.0,6.0,32.0,10.0,10.0
Speyer,RP,2024,4.545454545454546,13.636363636363635,22.727272727272727,4.545454545454546,25.0,15.909090909090908,13.63636363636364
Speyer,RP,2019,4.545454545454546,20.454545454545457,22.727272727272727,4.545454545454546,25.0,9.090909090909092,13.636363636363626
Frankenthal (Pfalz),RP,2024,0.0,6.8181818181818175,13.636363636363635,2.272727272727273,18.181818181818183,15.909090909090908,43.18181818181819
Frankenthal (Pfalz),RP,2019,4.545454545454546,15.909090909090908,20.454545454545457,4.545454545454546,36.36363636363637,9.090909090909092,9.090909090909093
Landau in der Pfalz,RP,2024,4.545454545454546,22.727272727272727,22.727272727272727,2.272727272727273,22.727272727272727,11.363636363636363,13.63636363636364
Landau in der Pfalz,RP,2019,4.545454545454546,25.0,20.454545454545457,4.545454545454546,25.0,6.8181818181818175,13.63636363636364
Pirmasens,RP,2024,0.0,4.545454545454546,18.181818181818183,2.272727272727273,40.909090909090914,25.0,9.09090909090908
Pirmasens,RP,2019,4.545454545454546,6.8181818181818175,25.0,4.545454545454546,36.36363636363637,13.636363636363635,9.09090909090908
Zweibrücken,RP,2024,0.0,10.0,22.5,5.0,30.0,20.0,12.5
Zweibrücken,RP,2019,2.5,12.5,27.500000000000004,5.0,27.500000000000004,10.0,15.0
Germersheim,RP,2024,0.0,8.695652173913043,17.391304347826086,4.3478260869565215,36.95652173913043,19.565217391304348,13.043478260869577
Germersheim,RP,2019,2.1739130434782608,13.043478260869565,19.565217391304348,6.521739130434782,32.608695652173914,13.043478260869565,13.043478260869563
