City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
SaarbrÃ¼cken,SL,2024,7.9,14.2,30.1,7.9,28.6,0.0,11.299999999999997
SaarbrÃ¼cken,SL,2019,9.5,20.6,27.0,4.8,28.6,8.3,1.2000000000000028
SaarbrÃ¼cken,SL,2014,11.9,10.8,30.4,4.1,29.4,4.7,8.700000000000003
SaarbrÃ¼cken,SL,2009,17.1,11.9,28.4,10.1,27.2,0.0,5.299999999999997
SaarbrÃ¼cken,SL,2004,3.3,9.4,33.5,5.8,37.9,0.0,10.099999999999994
SaarbrÃ¼cken,SL,1999,1.9,8.6,39.9,4.8,42.5,0.0,2.3000000000000114
Neunkirchen,SL,2024,3.9,3.9,35.3,2.0,25.5,23.5,5.900000000000006
Neunkirchen,SL,2019,7.8,8.0,31.7,4.8,22.2,7.9,17.599999999999994
Neunkirchen,SL,2014,10.2,4.4,47.8,3.7,30.2,0.0,3.700000000000003
Neunkirchen,SL,2009,13.1,5.2,49.3,5.2,27.2,0.0,0.0
Neunkirchen,SL,2004,0.0,5.8,53.4,6.1,34.7,0.0,0.0
Neunkirchen,SL,1999,0.0,4.3,56.5,3.9,35.3,0.0,0.0
Homburg,SL,2024,3.9,11.8,25.5,2.0,31.4,17.6,7.800000000000011
Homburg,SL,2019,7.8,19.6,21.6,3.9,27.5,11.8,7.799999999999997
Homburg,SL,2014,7.3,7.4,36.3,1.6,31.1,4.5,11.799999999999997
Homburg,SL,2009,10.7,5.9,32.7,7.5,34.6,0.0,8.599999999999994
Homburg,SL,2004,0.0,6.2,33.0,5.6,43.7,0.0,11.5
Homburg,SL,1999,0.0,5.1,37.3,3.3,42.9,0.0,11.400000000000006
VÃ¶lklingen,SL,2024,2.0,2.0,27.5,2.0,25.5,15.7,25.299999999999997
VÃ¶lklingen,SL,2019,6.7,6.7,28.9,2.2,22.2,8.9,24.39999999999999
VÃ¶lklingen,SL,2014,11.0,5.1,35.7,2.9,30.7,5.4,9.199999999999989
VÃ¶lklingen,SL,2009,17.9,4.6,35.7,5.6,31.4,0.0,4.799999999999997
VÃ¶lklingen,SL,2004,0.0,4.1,36.4,4.3,45.6,0.0,9.599999999999994
VÃ¶lklingen,SL,1999,2.0,4.0,43.3,3.5,40.4,0.0,6.800000000000011
St.Ingbert,SL,2024,2.2,6.7,22.2,1.1,31.1,13.3,23.39999999999999
St.Ingbert,SL,2019,4.4,11.1,22.2,2.2,37.8,6.7,15.599999999999994
St.Ingbert,SL,2014,5.6,6.6,26.8,3.2,36.6,0.0,21.19999999999999
St.Ingbert,SL,2009,9.3,7.5,22.2,7.4,35.3,0.0,18.30000000000001
St.Ingbert,SL,2004,0.0,7.6,27.1,4.9,45.1,0.0,15.299999999999997
St.Ingbert,SL,1999,0.0,4.2,36.7,1.8,44.7,0.0,12.599999999999994
Saarlouis,SL,2024,2.2,6.7,35.6,2.2,37.8,13.3,2.200000000000003
Saarlouis,SL,2019,4.4,17.8,31.1,4.4,33.3,6.7,2.299999999999997
Saarlouis,SL,2014,5.4,10.1,35.3,2.2,33.4,3.7,9.899999999999991
Saarlouis,SL,2009,12.5,14.4,27.6,6.9,31.8,0.0,6.799999999999997
Saarlouis,SL,2004,0.0,9.2,38.8,3.1,41.9,0.0,7.0
Saarlouis,SL,1999,0.0,7.2,40.6,0.0,49.9,0.0,2.299999999999997
Merzig,SL,2024,0.0,6.7,26.7,2.2,44.4,13.3,6.700000000000003
Merzig,SL,2019,5.1,10.3,28.2,2.7,43.6,5.1,5.0
Merzig,SL,2014,6.0,4.7,33.7,2.1,43.0,0.0,10.5
Merzig,SL,2009,8.3,6.3,33.3,5.9,41.1,0.0,5.099999999999994
Merzig,SL,2004,0.0,4.2,44.3,3.0,48.5,0.0,0.0
Merzig,SL,1999,0.0,2.4,42.4,2.0,46.3,0.0,6.900000000000006
St. Wendel,SL,2024,0.0,5.1,28.2,2.6,48.7,10.2,5.200000000000003
St. Wendel,SL,2019,5.1,7.7,23.0,2.6,56.4,5.1,0.10000000000000853
St. Wendel,SL,2014,5.2,4.1,26.1,1.8,62.8,0.0,0.0
St. Wendel,SL,2009,8.2,3.5,22.2,3.6,62.6,0.0,-0.09999999999999432
St. Wendel,SL,2004,0.0,4.3,27.2,3.0,65.5,0.0,0.0
St. Wendel,SL,1999,0.0,1.6,27.2,1.4,64.4,0.0,5.3999999999999915
Blieskastel,SL,2024,2.7,10.2,28.2,0.0,35.9,15.4,7.599999999999994
Blieskastel,SL,2019,2.6,17.9,33.3,2.6,30.8,7.7,5.099999999999994
Blieskastel,SL,2014,5.6,9.5,34.9,1.4,41.6,5.1,1.9000000000000057
Blieskastel,SL,2009,8.9,8.3,30.6,4.6,42.6,0.0,5.0
Blieskastel,SL,2004,0.0,8.4,33.2,2.6,48.9,0.0,6.900000000000006
Blieskastel,SL,1999,0.0,5.6,41.0,1.2,47.0,0.0,5.199999999999989
