ERGART;WDATUM;SART;LEER;LEER;LEER;AGS;Name;A;B;C;D;Gültige Stimmen;F01 - CDU;F02 - SPD;F03 - FDP;F04 - DIE LINKE;F05 - GRÜNE;F06;F07;F08;F09;F10;F11;F12;F13;F14;F15;AGS GEM 2019;NAME 2019
E;12061994;GEM;;;;15101000;Dessau, Stadt;74159;46297;988;45309;131615;35170;39289;10705;27479;12918;420;5634;0;0;0;0;0;0;0;0;15001000;Dessau-Ro�lau, Stadt
E;12061994;GEM;;;;15202000;Halle (Saale), Stadt;226724;137172;4453;132719;390130;90961;96351;35222;101330;24646;0;0;5306;5234;15667;0;0;3026;10759;1628;15002000;Halle (Saale), Stadt
E;12061994;GEM;;;;15303000;Magdeburg, Landeshauptstadt;211791;131353;3548;127805;375803;80466;121671;14583;101820;39620;0;0;0;0;614;0;0;1393;13954;1682;15003000;Magdeburg, Landeshauptstadt
E;12061994;GEM;;;;15355009;Beyendorf;733;487;26;461;1351;465;333;85;346;122;0;0;0;0;0;0;0;0;0;0;15003000;Magdeburg, Landeshauptstadt
E;12061994;GEM;;;;15151001;Bias;143;120;9;111;319;144;71;51;31;22;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151002;Bornum;463;379;9;370;1084;618;200;42;87;108;0;0;0;0;29;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151003;Br�sen;92;78;1;77;226;103;38;20;33;3;0;0;0;0;29;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151004;Brambach;288;204;20;184;537;229;168;14;52;48;0;0;0;0;26;0;0;0;0;0;15001000;Dessau-Ro�lau, Stadt
E;12061994;GEM;;;;15151005;Brandhorst;95;77;7;70;200;62;80;36;11;11;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151006;Buhlendorf;186;132;7;125;354;105;122;14;83;28;0;0;0;0;2;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151007;Buko;170;148;9;139;410;225;44;78;27;17;0;0;0;0;19;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151008;Cobbelsdorf;547;408;21;387;1129;427;326;59;138;84;0;0;0;0;0;0;0;0;0;95;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151009;Coswig (Anhalt), Stadt;7609;5566;203;5363;15512;4921;5470;892;2245;1866;0;0;0;0;0;0;0;0;0;118;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151010;Deetz;583;449;27;422;1225;694;272;59;88;93;0;0;0;0;19;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151011;Dobritz;269;224;14;210;610;292;149;39;73;54;0;0;0;0;3;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151012;Dornburg;245;200;18;182;516;235;180;19;33;49;0;0;0;0;0;0;0;0;0;0;15086055;Gommern, Stadt
E;12061994;GEM;;;;15151013;D�ben;262;186;9;177;519;204;116;50;67;45;0;0;0;0;37;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151014;Gehrden;204;155;5;150;434;197;140;32;29;36;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151015;G�dnitz;226;185;14;171;492;220;73;98;53;48;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151016;Gohrau;309;239;17;222;620;195;284;54;32;55;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151017;Griebo;553;403;18;385;1116;386;370;72;122;157;0;0;0;0;0;0;0;0;0;9;15091375;Wittenberg, Lutherstadt
E;12061994;GEM;;;;15151018;Griesen;241;197;17;180;513;274;156;48;21;14;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151019;Grimme;266;166;9;157;463;183;141;22;84;30;0;0;0;0;3;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151020;G�tergl�ck;664;476;42;434;1250;317;338;268;199;128;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151021;Hobeck;368;226;10;216;627;144;213;10;182;78;0;0;0;0;0;0;0;0;0;0;15086140;M�ckern, Stadt
E;12061994;GEM;;;;15151022;Hohenlepte;184;138;7;131;385;137;113;66;37;32;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151023;Horstdorf;405;299;30;269;780;339;203;138;67;33;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151024;Hundeluft;265;208;10;198;588;256;108;31;19;12;0;0;0;0;162;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151025;Jeber-Bergfrieden;579;439;25;414;1209;512;351;46;118;54;0;0;0;0;128;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151026;J�trichau;426;284;27;257;748;265;225;54;120;84;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151027;Kakau;410;269;25;244;731;327;196;120;61;27;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151028;Klieken;836;660;29;631;1879;825;536;76;250;182;0;0;0;0;0;0;0;0;0;10;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151029;K�selitz;137;122;4;118;350;116;96;9;15;17;0;0;0;0;0;0;0;0;0;97;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151030;Ladeburg;248;203;5;198;561;178;210;39;78;56;0;0;0;0;0;0;0;0;0;0;15086055;Gommern, Stadt
E;12061994;GEM;;;;15151031;Leitzkau;988;690;28;662;1901;432;716;118;276;359;0;0;0;0;0;0;0;0;0;0;15086055;Gommern, Stadt
E;12061994;GEM;;;;15151032;Leps;240;172;6;166;485;130;108;62;67;118;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151033;Lindau, Stadt;986;629;68;561;1578;454;575;41;203;282;0;0;0;0;23;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151034;Loburg, Stadt;2064;1442;41;1401;4060;708;1333;99;513;1407;0;0;0;0;0;0;0;0;0;0;15086140;M�ckern, Stadt
E;12061994;GEM;;;;15151035;L�bs;373;270;12;258;727;356;176;57;71;67;0;0;0;0;0;0;0;0;0;0;15086055;Gommern, Stadt
E;12061994;GEM;;;;15151036;Luko;123;83;4;79;231;117;49;24;32;2;0;0;0;0;7;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151037;Luso;237;163;10;153;448;197;122;52;36;41;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151038;M�llensdorf;137;106;7;99;289;94;49;20;69;40;0;0;0;0;0;0;0;0;0;17;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151039;Moritz;314;246;10;236;673;296;183;41;95;58;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151040;M�hlstedt;160;132;4;128;371;163;102;18;37;23;0;0;0;0;28;0;0;0;0;0;15001000;Dessau-Ro�lau, Stadt
E;12061994;GEM;;;;15151041;Nedlitz;535;405;28;377;1078;335;247;238;156;91;0;0;0;0;11;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151042;Nutha;222;177;9;168;478;194;137;73;53;21;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151043;Oranienbaum, Stadt;2987;2177;123;2054;5948;2489;1864;622;717;256;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151044;Polenzko;282;231;19;212;610;241;247;16;49;47;0;0;0;0;10;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151045;Pr�del;240;226;6;220;646;378;176;32;36;24;0;0;0;0;0;0;0;0;0;0;15086055;Gommern, Stadt
E;12061994;GEM;;;;15151046;Pulspforde;156;119;3;116;339;135;111;33;29;31;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151047;Rag�sen;174;152;8;144;421;249;82;11;41;14;0;0;0;0;24;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151048;Rehsen;240;195;17;178;512;213;156;66;34;43;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151049;Reuden;224;181;8;173;495;214;122;109;15;25;0;0;0;0;10;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151050;Riesigk;202;137;23;114;329;139;148;30;5;7;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151051;Rodleben;976;740;70;670;1914;852;502;84;249;133;0;0;0;0;94;0;0;0;0;0;15001000;Dessau-Ro�lau, Stadt
E;12061994;GEM;;;;15151052;Rosian;546;354;13;341;963;242;437;55;113;116;0;0;0;0;0;0;0;0;0;0;15086140;M�ckern, Stadt
E;12061994;GEM;;;;15151053;Ro�lau (Elbe), Stadt;11342;7363;272;7091;20533;5848;5288;1889;4110;0;0;0;0;0;3398;0;0;0;0;0;15001000;Dessau-Ro�lau, Stadt
E;12061994;GEM;;;;15151054;Schweinitz;295;240;17;223;633;159;285;49;94;46;0;0;0;0;0;0;0;0;0;0;15086140;M�ckern, Stadt
E;12061994;GEM;;;;15151055;Senst;215;184;3;181;538;302;133;14;57;21;0;0;0;0;0;0;0;0;0;11;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151056;Serno;309;200;15;185;538;274;155;10;43;13;0;0;0;0;43;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151057;Stackelitz;160;113;5;108;318;170;78;17;20;7;0;0;0;0;26;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151058;Steutz;816;642;44;598;1738;465;576;287;248;162;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151059;Straguth;225;171;16;155;432;168;130;37;31;61;0;0;0;0;5;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151060;Streetz;191;156;11;145;419;193;113;25;43;16;0;0;0;0;29;0;0;0;0;0;15001000;Dessau-Ro�lau, Stadt
E;12061994;GEM;;;;15151061;Thie�en;452;330;25;305;898;430;256;32;102;39;0;0;0;0;39;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151062;Vockerode;1653;1063;58;1005;2874;675;611;1162;333;93;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151063;Walternienburg;488;376;16;360;1035;466;158;306;72;33;0;0;0;0;0;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151064;W�rlitz, Stadt;1466;1010;34;976;2837;720;1709;162;173;73;0;0;0;0;0;0;0;0;0;0;15091241;Oranienbaum-W�rlitz, Stadt
E;12061994;GEM;;;;15151065;W�rpen;213;186;16;170;499;184;140;32;60;66;0;0;0;0;0;0;0;0;0;17;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15151066;Zeppernick;568;382;20;362;1038;218;375;147;115;183;0;0;0;0;0;0;0;0;0;0;15086140;M�ckern, Stadt
E;12061994;GEM;;;;15151067;Zerbst, Stadt;13678;8984;356;8628;25202;7468;6312;2380;3591;3680;0;0;0;711;0;0;0;0;757;303;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151068;Zernitz;204;151;14;137;392;175;97;14;63;41;0;0;0;0;2;0;0;0;0;0;15082430;Zerbst/Anhalt, Stadt
E;12061994;GEM;;;;15151069;Zieko;167;139;7;132;386;212;47;12;64;21;0;0;0;0;30;0;0;0;0;0;15091060;Coswig (Anhalt), Stadt
E;12061994;GEM;;;;15352001;Amesdorf;686;538;25;513;1467;429;329;68;425;36;0;180;0;0;0;0;0;0;0;0;15089165;G�sten, Stadt
E;12061994;GEM;;;;15352002;Aschersleben, Stadt;24045;15708;549;15159;43987;11264;9836;4001;7368;3870;0;2132;0;0;0;0;0;219;5297;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352003;Borne;1037;780;27;753;2202;703;967;166;257;99;0;10;0;0;0;0;0;0;0;0;15089045;Borne
E;12061994;GEM;;;;15352004;Cochstedt, Stadt;1244;870;46;824;2197;972;463;91;327;108;0;236;0;0;0;0;0;0;0;0;15089175;Hecklingen, Stadt
E;12061994;GEM;;;;15352005;Drohndorf;434;360;22;338;917;450;284;34;101;36;0;12;0;0;0;0;0;0;0;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352006;Egeln, Stadt;3674;2691;139;2552;7415;1431;3580;1035;973;237;0;159;0;0;0;0;0;0;0;0;15089075;Egeln, Stadt
E;12061994;GEM;;;;15352007;Endorf;301;220;22;198;566;195;155;157;42;17;0;0;0;0;0;0;0;0;0;0;15085110;Falkenstein/Harz, Stadt
E;12061994;GEM;;;;15352008;Ermsleben, Stadt;2330;1643;55;1588;4536;1933;1705;410;358;119;0;11;0;0;0;0;0;0;0;0;15085110;Falkenstein/Harz, Stadt
E;12061994;GEM;;;;15352009;Etgersleben;665;497;43;454;1292;224;413;302;296;51;0;6;0;0;0;0;0;0;0;0;15089043;B�rde-Hakel
E;12061994;GEM;;;;15352010;Freckleben;690;546;39;507;1432;935;248;50;130;57;0;12;0;0;0;0;0;0;0;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352011;Friedrichsaue;183;151;8;143;411;104;147;45;38;51;0;24;0;0;0;0;0;2;0;0;15089307;Seeland, Stadt
E;12061994;GEM;;;;15352012;Frose;1377;927;37;890;2587;689;1127;283;262;170;0;42;0;0;0;0;0;14;0;0;15089307;Seeland, Stadt
E;12061994;GEM;;;;15352013;Gatersleben;2313;1396;80;1316;3819;866;1333;125;398;663;0;418;0;0;0;0;0;16;0;0;15089307;Seeland, Stadt
E;12061994;GEM;;;;15352014;Giersleben;1035;807;37;770;2235;372;693;452;343;52;0;323;0;0;0;0;0;0;0;0;15089130;Giersleben
E;12061994;GEM;;;;15352015;Gro� B�rnecke;1464;1015;129;886;2464;787;876;204;428;142;0;27;0;0;0;0;0;0;0;0;15089175;Hecklingen, Stadt
E;12061994;GEM;;;;15352016;Gro� Schierstedt;568;462;34;428;1254;321;310;249;125;84;0;27;0;0;0;0;0;16;122;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352017;Hakeborn;727;533;28;505;1436;593;540;134;109;48;0;12;0;0;0;0;0;0;0;0;15089043;B�rde-Hakel
E;12061994;GEM;;;;15352018;Hecklingen, Stadt;2742;1879;141;1738;5015;1557;1042;1426;758;191;0;41;0;0;0;0;0;0;0;0;15089175;Hecklingen, Stadt
E;12061994;GEM;;;;15352019;Hohenerxleben;694;502;47;455;1274;365;503;114;236;44;0;12;0;0;0;0;0;0;0;0;15089310;Sta�furt, Stadt
E;12061994;GEM;;;;15352020;Hoym, Stadt;2432;1594;132;1462;4157;1013;1287;863;517;201;0;206;0;0;0;0;0;70;0;0;15089307;Seeland, Stadt
E;12061994;GEM;;;;15352021;Klein Schierstedt;336;278;13;265;774;195;174;75;99;24;0;207;0;0;0;0;0;0;0;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352022;L�derburg;2683;1747;104;1643;4751;1169;1402;272;1574;187;0;0;0;0;0;0;0;0;147;0;15089310;Sta�furt, Stadt
E;12061994;GEM;;;;15352023;Mehringen;866;679;34;645;1903;971;454;101;253;83;0;41;0;0;0;0;0;0;0;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352024;Meisdorf;858;733;54;679;1945;628;779;109;282;125;0;22;0;0;0;0;0;0;0;0;15085110;Falkenstein/Harz, Stadt
E;12061994;GEM;;;;15352025;Nachterstedt;2178;1543;68;1475;4305;1187;1318;480;671;335;0;137;0;0;0;0;0;177;0;0;15089307;Seeland, Stadt
E;12061994;GEM;;;;15352026;Neu K�nigsaue;311;225;18;207;593;120;248;58;108;43;0;10;0;0;0;0;0;6;0;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352027;Neundorf (Anhalt);1922;1051;46;1005;2961;883;732;552;656;138;0;0;0;0;0;0;0;0;0;0;15089310;Sta�furt, Stadt
E;12061994;GEM;;;;15352028;Neuplatendorf;154;128;12;116;331;87;122;82;30;9;0;1;0;0;0;0;0;0;0;0;15085110;Falkenstein/Harz, Stadt
E;12061994;GEM;;;;15352029;Pansfelde;465;362;32;330;964;347;359;50;129;69;0;10;0;0;0;0;0;0;0;0;15085110;Falkenstein/Harz, Stadt
E;12061994;GEM;;;;15352030;Rathmannsdorf;599;431;38;393;1124;267;391;75;293;73;0;25;0;0;0;0;0;0;0;0;15089310;Sta�furt, Stadt
E;12061994;GEM;;;;15352031;Reinstedt;807;579;22;557;1560;901;433;39;114;52;0;21;0;0;0;0;0;0;0;0;15085110;Falkenstein/Harz, Stadt
E;12061994;GEM;;;;15352032;Schackenthal;268;226;11;215;613;235;150;81;77;20;0;50;0;0;0;0;0;0;0;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352033;Schadeleben;579;427;26;401;1162;226;573;150;98;68;0;39;0;0;0;0;0;8;0;0;15089307;Seeland, Stadt
E;12061994;GEM;;;;15352034;Schneidlingen;992;735;35;700;2029;618;652;186;406;159;0;8;0;0;0;0;0;0;0;0;15089175;Hecklingen, Stadt
E;12061994;GEM;;;;15352035;Sta�furt, Stadt;18615;11059;626;10433;30269;8208;8846;2430;8389;1796;0;109;0;0;0;0;0;0;491;0;15089310;Sta�furt, Stadt
E;12061994;GEM;;;;15352036;Tarthun;676;516;33;483;1400;693;465;62;122;45;0;13;0;0;0;0;0;0;0;0;15089041;B�rdeaue
E;12061994;GEM;;;;15352037;Unseburg;1172;869;117;752;2204;922;725;153;285;101;0;18;0;0;0;0;0;0;0;0;15089041;B�rdeaue
E;12061994;GEM;;;;15352038;Westdorf;474;415;37;378;1093;477;307;58;114;92;0;7;0;0;0;0;0;0;38;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352039;Westeregeln;1776;1291;77;1214;3339;1162;683;993;436;40;0;25;0;0;0;0;0;0;0;0;15089043;B�rde-Hakel
E;12061994;GEM;;;;15352040;Wieserode;131;111;8;103;305;131;100;32;27;9;0;6;0;0;0;0;0;0;0;0;15085110;Falkenstein/Harz, Stadt
E;12061994;GEM;;;;15352041;Wilsleben;423;313;26;287;821;367;152;23;124;56;0;79;0;0;0;0;0;0;20;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352042;Winningen;656;507;33;474;1361;563;361;128;150;81;0;78;0;0;0;0;0;0;0;0;15089015;Aschersleben, Stadt
E;12061994;GEM;;;;15352043;Wolmirsleben;1199;848;23;825;2389;846;1165;102;214;56;0;6;0;0;0;0;0;0;0;0;15089365;Wolmirsleben
E;12061994;GEM;;;;15153001;Aderstedt;433;314;16;298;869;204;311;39;160;0;0;0;0;0;0;0;0;0;155;0;15089030;Bernburg (Saale), Stadt
E;12061994;GEM;;;;15153002;Alsleben (Saale), Stadt;2400;1198;73;1125;3330;1306;812;353;630;74;0;0;0;0;0;0;0;0;155;0;15089005;Alsleben (Saale), Stadt
E;12061994;GEM;;;;15153003;Baalberge;1032;732;67;665;1918;714;534;189;310;0;0;0;0;0;0;0;0;0;171;0;15089030;Bernburg (Saale), Stadt
E;12061994;GEM;;;;15153004;Beesenlaublingen;1484;992;55;937;2758;1025;664;167;495;69;0;0;0;0;0;0;0;0;338;0;15089195;K�nnern, Stadt
E;12061994;GEM;;;;15153005;Belleben;878;596;19;577;1703;568;408;82;495;77;0;0;0;0;0;0;0;0;73;0;15089195;K�nnern, Stadt
E;12061994;GEM;;;;15153006;Bernburg (Saale), Stadt;29780;17891;704;17187;50310;14032;13349;4730;12198;2798;0;0;0;0;0;0;0;0;3203;0;15089030;Bernburg (Saale), Stadt
E;12061994;GEM;;;;15153007;Biendorf;641;468;29;439;1271;463;495;69;174;0;0;0;0;0;0;0;0;0;70;0;15089030;Bernburg (Saale), Stadt
E;12061994;GEM;;;;15153008;C�rmigk;458;311;21;290;858;265;203;226;125;0;0;0;0;0;0;0;0;0;39;0;15089195;K�nnern, Stadt
E;12061994;GEM;;;;15153009;Edlau;394;280;23;257;744;264;194;84;144;0;0;0;0;0;0;0;0;0;58;0;15089195;K�nnern, Stadt
E;12061994;GEM;;;;15153010;Gerbitz;541;401;20;381;1103;349;286;233;213;0;0;0;0;0;0;0;0;0;22;0;15089235;Nienburg (Saale), Stadt
E;12061994;GEM;;;;15153011;Gerlebogk;333;225;15;210;608;174;251;54;87;0;0;0;0;0;0;0;0;0;42;0;15089195;K�nnern, Stadt
E;12061994;GEM;;;;15153012;Golbitz;164;106;8;98;282;107;52;45;57;7;0;0;0;0;0;0;0;0;14;0;15089195;K�nnern, Stadt
E;12061994;GEM;;;;15153013;Gr�na;422;333;20;313;898;193;191;67;111;0;0;0;0;0;0;0;0;0;336;0;15089030;Bernburg (Saale), Stadt
E;12061994;GEM;;;;15153014;G�sten, Stadt;3709;2287;165;2122;5993;1850;2220;589;693;205;0;0;0;0;0;0;0;0;436;0;15089165;G�sten, Stadt
E;12061994;GEM;;;;15153015;Ilberstedt;1225;757;49;708;2026;619;708;220;227;57;0;0;0;0;0;0;0;0;195;0;15089185;Ilberstedt
E;12061994;GEM;;;;15153016;K�nnern, Stadt;2865;2089;143;1946;5701;2081;859;1321;756;487;0;0;0;0;0;0;0;0;197;0;15089195;K�nnern, Stadt
E;12061994;GEM;;;;15153017;Latdorf;646;505;18;487;1427;461;358;309;198;0;0;0;0;0;0;0;0;0;101;0;15089235;Nienburg (Saale), Stadt
E;12061994;GEM;;;;15153018;Lebendorf;886;636;37;599;1736;359;660;223;321;60;0;0;0;0;0;0;0;0;113;0;15089195;K�nnern, Stadt
E;12061994;GEM;;;;15153019;Neugattersleben;812;655;35;620;1636;441;555;348;201;0;0;0;0;0;0;0;0;0;91;0;15089235;Nienburg (Saale), Stadt
E;12061994;GEM;;;;15153020;Nienburg (Saale), Stadt;4246;2954;157;2797;8063;2131;2847;1572;910;0;0;0;0;0;0;0;0;0;603;0;15089235;Nienburg (Saale), Stadt
E;12061994;GEM;;;;15153021;Pei�en;826;659;28;631;1863;623;377;158;189;0;0;0;0;0;0;0;0;0;516;0;15089030;Bernburg (Saale), Stadt
