ERGART;WDATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C;D;Gültige Stimmen;F01 - SPD;F02 - CDU;F03 - DIE LINKE;F04 - FDP;F05 - GRÜNE;F06;F07;F08;F09;F10;F11;F12;F13;F14;F15;F16;F17;AGS 2014;NAME 2014
E;13061999;     ;    ;    ;GEM;15101000;Dessau, Stadt;72467;32002;612;31390;92422;26818;28285;18652;712;6666;3508;2175; ; ; ; ; ; ; ; ;5606; ;15001000;Dessau-Ro�lau, Stadt
E;13061999;     ;    ;    ;GEM;15202000;Halle (Saale), Stadt;213248;95386;2087;93299;277257;62714;80464;67608; ;12186;8263;1244; ;4870; ; ; ;7883; ; ;30755;1270;15002000;Halle (Saale), Stadt
E;13061999;     ;    ;    ;GEM;15303000;Magdeburg, Landeshauptstadt;199030;81200;1942;79258;233460;70620;72153;55710;4444;6406;10160; ; ; ;314;3713; ; ; ; ;8291;1649;15003000;Magdeburg, Landeshauptstadt
E;13061999;     ;    ;    ;GEM;15151001;Bias;152;118;5;113;330;63;182;22; ;34;27;2; ; ; ; ; ; ; ; ; ; ;15082430;Zerbst/Anhalt, Stadt
E;13061999;     ;    ;    ;GEM;15151002;Bornum;496;323;22;301;880;210;477;73; ;23;75;0; ; ; ; ; ;17; ; ; ;5;15082430;Zerbst/Anhalt, Stadt
E;13061999;     ;    ;    ;GEM;15151003;Br�sen;126;99;4;95;273;66;110;59; ;13;8;4; ; ; ; ; ;7; ; ; ;6;15091060;Coswig (Anhalt), Stadt
E;13061999;     ;    ;    ;GEM;15151004;Brambach;330;181;7;174;513;89;301;57; ;20;15;9; ; ; ; ; ;12; ; ; ;10;15001000;Dessau-Ro�lau, Stadt
E;13061999;     ;    ;    ;GEM;15151005;Brandhorst;98;69;3;66;198;80;94;16; ;5;3;0; ; ; ; ; ; ; ; ; ; ;15091241;Oranienbaum-W�rlitz, Stadt
E;13061999;     ;    ;    ;GEM;15151006;Buhlendorf;197;134;7;127;362;83;164;67; ;9;28;6; ; ; ; ; ;0; ; ; ;5;15082430;Zerbst/Anhalt, Stadt
E;13061999;     ;    ;    ;GEM;15151007;Buko;182;145;7;138;395;88;253;25; ;6;11;6; ; ; ; ; ;4; ; ; ;2;15091060;Coswig (Anhalt), Stadt
E;13061999;     ;    ;    ;GEM;15151008;Cobbelsdorf;615;353;13;340;1006;427;343;152; ;45;24;15; ; ; ; ; ; ; ; ; ; ;15091060;Coswig (Anhalt), Stadt
E;13061999;     ;    ;    ;GEM;15151009;Coswig (Anhalt), Stadt;7808;3753;147;3606;10636;3266;3513;1919; ;1421;263;254; ; ; ; ; ; ; ; ; ; ;15091060;Coswig (Anhalt), Stadt
E;13061999;     ;    ;    ;GEM;15151010;Deetz;613;351;15;336;877;111;603;56; ;19;38;9; ; ; ; ; ;0; ; ; ;41;15082430;Zerbst/Anhalt, Stadt
E;13061999;     ;    ;    ;GEM;15151011;Dobritz;296;178;11;167;482;107;268;61; ;2;19;7; ; ; ; ; ;4; ; ; ;14;15082430;Zerbst/Anhalt, Stadt
E;13061999;     ;    ;    ;GEM;15151012;Dornburg;260;137;6;131;381;190;134;42; ;6;5;4; ; ; ; ; ; ; ; ; ; ;15086055;Gommern, Stadt
E;13061999;     ;    ;    ;GEM;15151013;D�ben;269;168;10;158;473;120;239;63; ;13;4;16; ; ; ; ; ;17; ; ; ;1;15091060;Coswig (Anhalt), Stadt
E;13061999;     ;    ;    ;GEM;15151014;Gehrden;216;142;4;138;400;96;200;49; ;8;44;3; ; ; ; ; ; ; ; ; ; ;15082430;Zerbst/Anhalt, Stadt
E;13061999;     ;    ;    ;GEM;15151015;G�dnitz;208;150;8;142;408;103;194;44; ;40;21;6; ; ; ; ; ; ; ; ; ; ;15082430;Zerbst/Anhalt, Stadt
E;13061999;     ;    ;    ;GEM;15151016;Gohrau;374;249;16;233;653;208;297;93; ;32;14;9; ; ; ; ; ; ; ; ; ; ;15091241;Oranienbaum-W�rlitz, Stadt
E;13061999;     ;    ;    ;GEM;15151017;Griebo;548;302;14;288;825;219;404;129; ;46;19;8; ; ; ; ; ; ; ; ; ; ;15091375;Wittenberg, Lutherstadt
E;13061999;     ;    ;    ;GEM;15151018;Griesen;315;214;11;203;592;202;292;59; ;26;8;5; ; ; ; ; ; ; ; ; ; ;15091241;Oranienbaum-W�rlitz, Stadt
E;13061999;     ;    ;    ;GEM;15151019;Grimme;259;110;9;101;294;73;135;43; ;6;22;2; ; ; ; ; ;2; ; ; ;11;15082430;Zerbst/Anhalt, Stadt
E;13061999;     ;    ;    ;GEM;15151020;G�tergl�ck;678;362;15;347;1025;367;419;123; ;54;59;3; ; ; ; ; ; ; ; ; ; ;15082430;Zerbst/Anhalt, Stadt
E;13061999;     ;    ;    ;GEM;15151021;Hobeck;394;146;8;138;398;143;126;119; ;3;4;3; ; ; ; ; ; ; ; ; ; ;15086140;M�ckern, Stadt
