ERGART;WDATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;D06;D07;D08;D09;D10;D11;D12;D13;D14;D15;D16;D17;D18;D19;D20;AGS 2014;NAME 2014
E;13062004;;;;GEM;15101000;Dessau, Stadt;68300;27531;1133;26398;77176;23255;18061;12686;4868;2962; ;1014; ; ; ; ; ; ; ; ; ; ; ;14330; ;15001000;Dessau-Ro�lau, Stadt
E;13062004;;;;GEM;15151001;Bias;163;94;8;86;253;108;26;34;12;26; ;5; ; ; ; ; ; ; ; ; ; ; ;42; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151002;Bornum;498;302;8;294;857;390;54;34;32;24;3;7; ; ; ; ; ; ; ; ;18; ; ;295; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151003;Br�sen;144;93;2;91;268;114;53;29;3;16;8;21; ; ; ; ; ; ; ; ;12; ; ;12; ;15091060;Coswig (Anhalt), Stadt
E;13062004;;;;GEM;15151004;Brambach;346;172;8;164;488;234;71;68;35;29;11;1; ; ; ; ; ; ; ; ;18; ; ;21; ;15001000;Dessau-Ro�lau, Stadt
E;13062004;;;;GEM;15151005;Brandhorst;97;66;5;61;183;98;12;23;34;0;7;9; ; ; ; ; ; ; ; ; ; ; ; ; ;15091241;Oranienbaum-W�rlitz, Stadt
E;13062004;;;;GEM;15151006;Buhlendorf;201;116;7;109;324;160;44;28;14;16;7;5; ; ; ; ; ; ; ; ;8; ; ;42; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151007;Buko;176;129;4;125;366;209;55;33;5;7;16;6; ; ; ; ; ; ; ; ;16; ; ;19; ;15091060;Coswig (Anhalt), Stadt
E;13062004;;;;GEM;15151008;Cobbelsdorf;574;372;17;355;1046;449;118;373;63;18; ;25; ; ; ; ; ; ; ; ; ; ; ; ; ;15091060;Coswig (Anhalt), Stadt
E;13062004;;;;GEM;15151009;Coswig (Anhalt), Stadt;7591;3308;213;3095;9103;2947;2175;1918;1275;315; ;473; ; ; ; ; ; ; ; ; ; ; ; ; ;15091060;Coswig (Anhalt), Stadt
E;13062004;;;;GEM;15151010;Deetz;627;270;9;261;772;445;65;35;37;15;9;7; ; ; ; ; ; ; ; ;1; ; ;158; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151011;Dobritz;286;126;7;119;350;147;21;26;4;12;2;0; ; ; ; ; ; ; ; ;2; ; ;136; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151012;Dornburg;265;152;13;139;415;145;35;193;14;17; ;3; ; ; ; ; ; ; ; ; ; ; ;8; ;15086055;Gommern, Stadt
E;13062004;;;;GEM;15151013;D�ben;253;122;6;116;342;178;59;42;6;9;6;5; ; ; ; ; ; ; ; ;15; ; ;22; ;15091060;Coswig (Anhalt), Stadt
E;13062004;;;;GEM;15151014;Gehrden;219;127;9;118;346;120;50;73;15;48; ;5; ; ; ; ; ; ; ; ; ; ; ;35; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151015;G�dnitz;210;126;8;118;351;146;43;67;15;26; ;3; ; ; ; ; ; ; ; ; ; ; ;51; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151016;Gohrau;386;218;20;198;582;226;109;112;50;24;37;24; ; ; ; ; ; ; ; ; ; ; ; ; ;15091241;Oranienbaum-W�rlitz, Stadt
E;13062004;;;;GEM;15151017;Griebo;578;267;11;256;760;269;138;157;71;33; ;92; ; ; ; ; ; ; ; ; ; ; ; ; ;15091375;Wittenberg, Lutherstadt
E;13062004;;;;GEM;15151018;Griesen;317;189;6;183;543;372;34;76;28;11;9;13; ; ; ; ; ; ; ; ; ; ; ; ; ;15091241;Oranienbaum-W�rlitz, Stadt
E;13062004;;;;GEM;15151019;Grimme;158;104;7;97;277;139;23;41;5;13;5;6; ; ; ; ; ; ; ; ;2; ; ;43; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151020;G�tergl�ck;669;285;21;264;765;281;108;193;42;40; ;8; ; ; ; ; ; ; ; ; ; ; ;93; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151021;Hobeck;391;125;2;123;359;115;124;59;11;7; ;7; ; ; ; ; ; ; ; ; ; ; ;36; ;15086140;M�ckern, Stadt
E;13062004;;;;GEM;15151022;Hohenlepte;193;100;6;94;272;72;75;44;27;19; ;10; ; ; ; ; ; ; ; ; ; ; ;25; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151023;Horstdorf;541;301;9;292;861;301;81;71;312;22;69;5; ; ; ; ; ; ; ; ; ; ; ; ; ;15091241;Oranienbaum-W�rlitz, Stadt
E;13062004;;;;GEM;15151024;Hundeluft;253;178;7;171;508;257;30;36;7;9;8;49; ; ; ; ; ; ; ; ;103; ; ;9; ;15091060;Coswig (Anhalt), Stadt
E;13062004;;;;GEM;15151025;Jeber-Bergfrieden;596;335;17;318;948;420;110;215;23;22;13;34; ; ; ; ; ; ; ; ;83; ; ;28; ;15091060;Coswig (Anhalt), Stadt
E;13062004;;;;GEM;15151026;J�trichau;437;242;15;227;663;216;127;97;58;38; ;33; ; ; ; ; ; ; ; ; ; ; ;94; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151027;Kakau;555;307;16;291;829;413;111;93;129;14;46;23; ; ; ; ; ; ; ; ; ; ; ; ; ;15091241;Oranienbaum-W�rlitz, Stadt
E;13062004;;;;GEM;15151028;Klieken;999;522;21;501;1456;572;271;274;202;59; ;78; ; ; ; ; ; ; ; ; ; ; ; ; ;15091060;Coswig (Anhalt), Stadt
E;13062004;;;;GEM;15151029;K�selitz;167;113;5;108;318;151;47;61;31;10; ;18; ; ; ; ; ; ; ; ; ; ; ; ; ;15091060;Coswig (Anhalt), Stadt
E;13062004;;;;GEM;15151030;Ladeburg;262;183;15;168;492;242;44;112;8;24; ;15; ; ; ; ; ; ; ; ; ; ; ;47; ;15086055;Gommern, Stadt
E;13062004;;;;GEM;15151031;Leitzkau;980;447;36;411;1201;481;201;326;33;42; ;14; ; ; ; ; ; ; ; ; ; ; ;104; ;15086055;Gommern, Stadt
E;13062004;;;;GEM;15151032;Leps;251;115;1;114;336;112;40;33;24;30; ;14; ; ; ; ; ; ; ; ; ; ; ;83; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151033;Lindau, Stadt;1012;433;17;416;1235;493;111;172;134;50;18;8; ; ; ; ; ; ; ; ;19; ; ;230; ;15082430;Zerbst/Anhalt, Stadt
E;13062004;;;;GEM;15151034;Loburg, Stadt;2114;841;48;793;2349;994;450;294;58;78; ;185; ; ; ; ; ; ; ; ; ; ; ;290; ;15086140;M�ckern, Stadt
E;13062004;;;;GEM;15151035;L�bs;367;206;12;194;575;295;44;102;8;82; ;4; ; ; ; ; ; ; ; ; ; ; ;40; ;15086055;Gommern, Stadt
E;13062004;;;;GEM;15151037;Luso;268;138;7;131;389;154;44;34;52;23; ;11; ; ; ; ; ; ; ; ; ; ; ;71; ;15082430;Zerbst/Anhalt, Stadt
