ERGART;WDATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;D01 - CDU;D02 - AfD;D03 - DIE LINKE;D04 - SPD;D05 - GRÜNE;D06 - FDP;D07;D08;D09;D11;D12;D13;D14;D16;WG (Summe);EB (Summe);D17;D18;D19;D20;D21;D22;D23;D24;D25
E;26.05.2019;  ;  ;  ;GEM;15001000;Stadt Dessau-Ro�lau;68645;36938;664;36274;106747;24353;17885;15562;9743;10802;4982;;;;;;;;;23420;;9196;5262;8962;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15002000;Stadt Halle (Saale);191030;108148;1796;106352;314772;54831;44028;55951;35489;51239;16904;6568;738;;;10760;;;;38264;;14051;21637;2576;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15003000;Landeshauptstadt Magdeburg;193826;103541;1547;101994;300393;55969;43200;45922;50794;46127;16157;;;9871;4061;2548;12709;;;13035;;8651;4384;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081135;Hansestadt Gardelegen;19292;10252;215;10037;29637;7501;4951;4283;7465;1630;930;;;;;;;;;2877;;2877;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081455;Hansestadt Salzwedel;19972;10691;169;10522;31148;6364;4591;6195;3672;2901;1774;;;;;;;;;5651;;5651;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081030;Stadt Arendsee (Altmark);5780;3346;47;3299;9718;2304;1064;2719;552;606;1217;;;;;;;;;1256;;1256;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081240;Stadt Kalbe (Milde);6428;3481;60;3421;10062;2818;1387;2111;718;1248;467;;;;;;;;;1313;;1313;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081280;Stadt Kl�tze;8798;5085;92;4993;14557;4583;2136;2244;2740;795;1545;;;;;;;;;514;;514;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081026;Gemeinde Flecken Apenburg-Winterfeld;1445;845;8;837;2456;897;356;264;335;112;44;;;;;;;;;448;;448;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081045;Gemeinde Beetzendorf;2724;1244;20;1224;3613;1309;497;445;558;408;73;;;;;;;;;323;;323;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081095;Gemeinde D�hre;1249;581;6;575;1720;731;248;338;137;169;52;;;;;;;;;45;;45;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081105;Gemeinde Flecken Diesdorf;1941;920;16;904;2638;815;373;666;471;186;57;;;;;;;;;70;;70;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081225;Gemeinde J�bar;1358;881;12;869;2560;1421;361;268;265;100;77;;;;;;;;;68;;68;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081290;Gemeinde Kuhfelde;918;524;8;516;1524;517;231;218;155;143;62;;;;;;;;;198;;198;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081440;Gemeinde Rohrberg;912;524;8;516;1531;514;226;269;265;116;38;;;;;;;;;103;;103;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15081545;Gemeinde Wallstawe;758;429;6;423;1256;303;174;130;88;128;112;;;;;;;;;321;;321;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15082015;Stadt Bitterfeld-Wolfen;33824;16021;408;15613;46026;10364;9905;6175;2806;2529;1926;;124;;;;;;;12197;;;6014;;241;;5942;;;
E;26.05.2019;  ;  ;  ;GEM;15082430;Stadt Zerbst/Anhalt;19113;9878;209;9669;28678;5157;4415;2533;7099;1743;2111;;0;;;;;;;5620;;5620;;;;;;;;
E;26.05.2019;  ;  ;  ;GEM;15082005;Stadt Aken (Elbe);6628;2253;50;2203;6577;1669;1276;884;1163;716;610;;33;;;;;;;226;;;;151;;;;75;;
E;26.05.2019;  ;  ;  ;GEM;15082256;Gemeinde Osternienburger Land;7357;2913;73;2840;8426;3028;1770;1613;999;335;180;;71;;;;;;;430;;;;251;;;;179;;
E;26.05.2019;  ;  ;  ;GEM;15082377;Stadt S�dliches Anhalt;11565;4269;81;4188;12524;2999;2226;2956;513;308;130;;51;;;;;;;3341;;;;2951;;;;390;;
E;26.05.2019;  ;  ;  ;GEM;15082180;Stadt K�then (Anhalt);21802;10381;292;10089;29681;5754;4769;6725;5224;1224;2247;;;;;;;;;3738;;;;;;2025;;1713;;
E;26.05.2019;  ;  ;  ;GEM;15082301;Stadt Raguhn-Je�nitz;8003;4689;156;4533;13436;4087;3026;1261;1664;547;1190;;376;;;;;;;1285;;;523;;;;762;;;
E;26.05.2019;  ;  ;  ;GEM;15082340;Stadt Sandersdorf-Brehna;12759;7434;217;7217;21407;9874;3520;2749;1172;1082;869;;161;;;;;;;1980;;;164;;;;1816;;;
E;26.05.2019;  ;  ;  ;GEM;15082440;Stadt Z�rbig;8019;4462;92;4370;12759;4604;1885;824;751;328;686;;83;;;;;;;3598;;;61;;;;3537;;;
E;26.05.2019;  ;  ;  ;GEM;15082241;Gemeinde Muldestausee;10203;5986;145;5841;17319;3509;3949;1547;1266;788;1756;;;;;;;;;4504;;;68;;3755;;681;;;
E;26.05.2019;  ;  ;  ;GEM;15083020;Gemeinde Altenhausen;947;535;8;527;1555;360;207;186;256;81;43;;;;;;;;;422;;24;50;26;;322;;;;
E;26.05.2019;  ;  ;  ;GEM;15083060;Gemeinde Beendorf;712;301;7;294;870;375;91;91;123;59;31;;;;;;;;;100;;15;17;14;;54;;;;
E;26.05.2019;  ;  ;  ;GEM;15083115;Gemeinde B�lstringen;762;419;13;406;1191;270;153;86;49;49;20;;;;;;;;;564;;16;23;9;;516;;;;
E;26.05.2019;  ;  ;  ;GEM;15083125;Gemeinde Calv�rde;3002;1375;36;1339;3962;1257;539;432;247;337;313;;;;;;;;;837;;72;35;44;;686;;;;
E;26.05.2019;  ;  ;  ;GEM;15083205;Gemeinde Erxleben;2428;1084;53;1031;3019;830;512;384;482;150;81;;;;;;;;;580;;51;58;44;;427;;;;
E;26.05.2019;  ;  ;  ;GEM;15083230;Gemeinde Flechtingen;2389;1033;22;1011;2955;893;399;290;649;194;37;;;;;;;;;493;;79;69;33;;312;;;;
E;26.05.2019;  ;  ;  ;GEM;15083270;Stadt Haldensleben;16544;6394;160;6234;18284;4780;3234;2404;1725;1313;489;;;;;;;;;4339;;1421;1485;967;;466;;;;
E;26.05.2019;  ;  ;  ;GEM;15083323;Gemeinde Ingersleben;1166;594;14;580;1717;597;242;86;139;57;15;;;;;;;;;581;;17;17;10;;537;;;;
E;26.05.2019;  ;  ;  ;GEM;15083411;Stadt Oebisfelde-Weferlingen;11619;5714;140;5574;16370;5166;1979;1877;3289;1098;340;;;;;;;;;2621;;204;209;112;;2096;;;;
