ERGART;DATUM;LEER;LEER;LEER;SART;AGS;Name;A;B;C1;C2;Gültige Stimmen;D01 - CDU;D02 - DIE LINKE;D03 - SPD;D04 - FDP;D05 - GRÜNE;D08;D09;D11;D12;D13;D14;D15;AGS 2014;NAME 2014
E;07.06.2009;;;;GEM;15002000;Halle (Saale), Stadt;196250;73602;1711;71891;213266;52609;51794;41018;18747;18505;;;;4348;4411;21834;;15002000;Halle (Saale), Stadt
E;07.06.2009;;;;GEM;15003000;Magdeburg, Landeshauptstadt;198106;69622;1765;67857;199822;46080;46736;47854;16975;20350;;7627;4923;4019;;4416;842;15003000;Magdeburg, Landeshauptstadt
E;07.06.2009;;;;GEM;15081010;Algenstedt;163;75;2;73;219;37;25;139;8;;;;;;;10;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081015;Altensalzwedel;314;196;3;193;563;324;67;87;52;10;;;;;;23;;15081026;Apenburg-Winterfeld, Flecken
E;07.06.2009;;;;GEM;15081025;Apenburg, Flecken;727;423;14;409;1198;659;87;226;183;29;;;;;;14;;15081026;Apenburg-Winterfeld, Flecken
E;07.06.2009;;;;GEM;15081030;Arendsee (Altmark), Stadt;2449;1040;29;1011;2979;849;1087;666;302;22;;;;;;53;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081035;Badel;366;199;12;187;556;231;141;67;78;24;;;;;;15;;15081240;Kalbe (Milde), Stadt
E;07.06.2009;;;;GEM;15081045;Beetzendorf;2924;1395;29;1366;4066;2271;458;703;271;321;;;;;;42;;15081045;Beetzendorf
E;07.06.2009;;;;GEM;15081055;Berge;583;268;9;259;761;257;79;301;78;6;;;;;;40;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081065;Binde;306;173;3;170;502;122;268;23;44;35;;;;;;10;;15081030;Arendsee (Altmark), Stadt
E;07.06.2009;;;;GEM;15081075;Bornsen;291;139;2;137;398;198;74;81;32;11;;;;;;2;;15081225;J�bar
E;07.06.2009;;;;GEM;15081080;Breitenfeld;124;88;2;86;254;110;34;94;16;;;;;;;0;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081085;Brunau;539;195;3;192;569;247;71;46;47;0;;;;;;158;;15081240;Kalbe (Milde), Stadt
E;07.06.2009;;;;GEM;15081090;Ch�den;404;192;7;185;553;141;96;46;221;32;;;;;;17;;15081455;Salzwedel, Hansestadt
E;07.06.2009;;;;GEM;15081095;D�hre;1385;484;13;471;1395;716;133;213;230;86;;;;;;17;;15081095;D�hre
E;07.06.2009;;;;GEM;15081100;Dannefeld;339;173;3;170;508;347;57;75;19;;;;;;;10;;15081135;Gardelegen, Hansestadt
E;07.06.2009;;;;GEM;15081105;Diesdorf, Flecken;1766;749;25;724;2131;695;462;735;202;26;;;;;;11;;15081105;Diesdorf, Flecken
E;07.06.2009;;;;GEM;15081110;D�nitz;125;83;1;82;242;124;25;13;71;7;;;;;;2;;15081280;Kl�tze, Stadt
E;07.06.2009;;;;GEM;15081115;Ellenberg;335;179;6;173;509;251;70;82;51;43;;;;;;12;;15081545;Wallstawe
E;07.06.2009;;;;GEM;15081120;Engersen;441;174;4;170;492;182;92;167;36;5;;;;;;10;;15081240;Kalbe (Milde), Stadt
E;07.06.2009;;;;GEM;15081125;Estedt;345;198;5;193;569;216;62;254;36;;;;;;;1;;15081135;Gardelegen, Hansestadt
