Ergebnisart;Datum;LEER;LEER;LEER;Satzart;Schlüsselnummer;Name;Wahllokal;A - Wahlberechtigte;B - Wähler;C1 - Ungültige Stimmzettel;C2 - Gültige Stimmzettel;D - Gültige Stimmen;D01 - CDU;D02 - AfD;D03 - DIE LINKE;D04 - SPD;D05 - FDP;D06 - GRÜNE;D07 - FREIE WÄHLER;D08 - dieBasis;D09 - Tierschutzpartei;D10 - Gartenpartei;D11 - Die PARTEI;D12 - Tierschutzallianz;D13 - HEIMAT;D14 - FBM;D15 - Volt;D16 - WG1;D17 - WG2;D18 - WG3;D19 - WG4;D20 - WG5;D21 - WG6;D22 - WG7;D23 - WG8;D24 - WG9;D25 - WG10;D26 - WG11;D27 - WG12;D28 - WG13;D29 - WG14;D30 - WG15;D31 - WG16;D32 - WG17;D33 - WG18;D34 - WG19;D35 - WG20;D36 - WG21;D37 - WG22;D38 - WG23;D39 - WG24;D40 - WG25;D41 - WG26;D42 - WG27;D43 - WG28;D44 - WG29;D45 - WG30;D46 - WG31;D47 - WG32;D48 - WG33;D49 - WG34;D50 - WG35;D51 - WG36;D52 - WG37;D53 - WG38;D54 - WG39;D55 - WG40;D56 - WG41;D57 - WG42;D58 - WG43;D59 - WG44;D60 - WG45;D61 - WG46;D62 - EB1;D63 - EB2;D64 - EB3;D65 - EB4;D66 - EB5;D67 - EB6;D68 - EB7;D69 - EB8;D70 - EB9;D71 - EB10;D72 - EB11;D73 - EB12;D74 - EB13;WG (Summe);EB (Summe);
E;09.06.2024;;;;GEM;15001000;Stadt Dessau-Roßlau; ;64726;39401;705;38696;113971;25112;29028;9096;10649;3276;6243; ; ; ; ; ; ; ; ; ; ; ; ; ;14308; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8092; ; ; ; ; ;5634; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1885;648; ; ; ; ; ; ; ; ; ; ;28034;2533;
E;09.06.2024;;;;GEM;15002000;Stadt Halle (Saale); ;186061;113268;1799;111469;329535;67804;69813;40831;39081;11852;37541;6011;3569; ; ;10783; ; ; ;8999; ; ; ; ; ; ; ; ; ;18032; ; ;13627; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1592; ; ; ; ; ; ; ; ; ;31659;1592;
E;09.06.2024;;;;GEM;15003000;Landeshauptstadt Magdeburg; ;187588;109729;1620;108109;319022;75972;72626;32549;47852;13141;30119;1093; ;14328;14711; ;5495; ; ;3343;6984; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;809; ; ; ; ; ; ; ; ; ; ; ; ;6984;809;
E;09.06.2024;;;;GEM;15081026;Gemeinde Flecken Apenburg-Winterfeld; ;1409;919;18;901;2687;1057;709;215;458;27;34; ; ; ; ; ; ; ; ; ; ; ; ; ; ;187; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;187; ;
E;09.06.2024;;;;GEM;15081030;Stadt Arendsee (Altmark); ;5622;3702;69;3633;10788;3330;2293;1528;1253;367;275; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1742; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1742; ;
E;09.06.2024;;;;GEM;15081045;Gemeinde Beetzendorf; ;2578;1615;24;1591;4735;1437;1258;312;274;39;379; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1036; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1036; ;
E;09.06.2024;;;;GEM;15081095;Gemeinde Dähre; ;1209;753;7;746;2220;682;673;265;149;142;155; ; ; ; ; ; ; ; ; ; ; ; ; ; ;154; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;154; ;
E;09.06.2024;;;;GEM;15081105;Gemeinde Flecken Diesdorf; ;1908;1138;24;1114;3310;1007;951;630;272;51;153; ; ; ; ; ; ; ; ; ; ; ; ; ; ;246; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;246; ;
E;09.06.2024;;;;GEM;15081135;Hansestadt Gardelegen; ;18627;11542;218;11324;33500;7449;10162;1786;10210;513;815; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2565; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2565; ;
E;09.06.2024;;;;GEM;15081225;Gemeinde Jübar; ;1298;969;12;957;2852;1499;672;183;107;24;37; ; ; ; ; ; ; ; ; ; ; ; ; ; ;330; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;330; ;
