City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Chemnitz,SN,2019,16.7,11.5,11.6,7.4,20.0,17.9,14.900000000000006
Döbeln,SN,2019,8.1,3.6,11.6,7.6,31.0,20.1,18.0
Freiberg,SN,2019,14.7,8.3,10.5,5.9,20.7,21.7,18.200000000000003
Plauen,SN,2019,14.5,8.6,14.0,9.9,23.7,20.0,9.299999999999997
Reichenbach im Vogtland,SN,2019,14.8,6.2,5.9,9.7,19.3,15.8,28.30000000000001
Glauchau,SN,2019,12.1,4.4,12.3,10.3,26.0,14.2,20.700000000000003
Limbach-Oberfrohna,SN,2019,9.8,4.5,3.7,4.1,24.5,16.8,36.599999999999994
Werdau,SN,2019,13.9,5.6,6.6,9.4,24.2,16.0,24.299999999999997
Zwickau,SN,2019,14.7,6.5,10.2,5.5,22.0,21.9,19.200000000000003
Dresden,SN,2019,16.2,20.5,8.8,7.5,18.3,17.1,11.599999999999994
Bautzen,SN,2019,11.1,6.6,6.2,8.6,24.4,23.2,19.900000000000006
Hoyerswerda,SN,2019,17.2,3.8,13.3,0.0,20.6,26.4,18.700000000000003
Görlitz,SN,2019,8.5,7.6,2.3,2.2,22.0,30.7,26.700000000000003
Zittau,SN,2019,10.8,5.4,2.8,5.9,14.3,23.7,37.099999999999994
Coswig,SN,2019,10.1,9.0,5.0,5.0,27.2,25.4,18.30000000000001
Meißen,SN,2019,10.2,0.0,4.0,9.6,15.7,18.9,41.6
Radebeul,SN,2019,9.1,19.4,6.4,6.6,25.6,19.1,13.800000000000011
Riesa,SN,2019,14.9,0.0,8.3,6.5,25.7,23.0,21.599999999999994
Freital,SN,2019,8.3,6.3,7.5,5.6,23.3,25.9,23.099999999999994
Pirna,SN,2019,11.2,9.1,5.2,0.0,17.1,19.6,37.800000000000004
Leipzig,SN,2019,21.4,20.7,12.4,4.8,17.5,14.9,8.300000000000011
Borna,SN,2019,23.4,0.0,15.3,0.0,15.5,22.7,23.099999999999994
Grimma,SN,2019,7.0,2.9,5.3,0.0,6.5,16.2,62.1
Markkleeberg,SN,2019,12.0,15.8,23.8,7.7,25.6,15.2,0.0
Delitzsch,SN,2019,10.0,3.1,14.3,0.0,25.9,16.0,30.700000000000003
