City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Flensburg,SH,2008,7,7,16.3,4.7,20.9,0,44.1
Kiel,SH,2008,10.3,17.2,32.8,6.9,29.3,0,3.5
Lübeck,SH,2008,12.1,10.3,31,8.6,25.9,0,12.1
Neumünster,SH,2008,11.6,9.3,34.9,9.3,34.9,0,0
Flensburg,SH,2013,4.651162791,11.62790698,20.93023256,4.651162791,23.25581395,0,34.88372093
Kiel,SH,2013,3.773584906,16.98113208,35.8490566,3.773584906,28.30188679,0,11.32075472
Lübeck,SH,2013,4.081632653,16.32653061,32.65306122,4.081632653,32.65306122,0,10.20408163
Neumünster,SH,2013,2.325581395,11.62790698,32.55813953,4.651162791,37.20930233,0,11.62790698
Flensburg,SH,2018,6.976744186,18.60465116,18.60465116,6.976744186,18.60465116,0,30.23255814
Kiel,SH,2018,6.779661017,20.33898305,30.50847458,6.779661017,23.72881356,5.084745763,6.779661017
Lübeck,SH,2018,4.081632653,16.32653061,28.57142857,4.081632653,24.48979592,6.12244898,16.32653061
Neumünster,SH,2018,4.651162791,16.27906977,27.90697674,4.651162791,34.88372093,0,11.62790698
Flensburg,SH,2023,4.545454545,22.72727273,13.63636364,4.545454545,18.18181818,0,36.36363636
Kiel,SH,2023,4.081632653,28.57142857,22.44897959,4.081632653,22.44897959,6.12244898,12.24489796
Lübeck,SH,2023,4.081632653,22.44897959,22.44897959,6.12244898,24.48979592,8.163265306,12.24489796
Neumünster,SH,2023,1.785714286,12.5,25,7.142857143,30.35714286,5.357142857,17.85714286
