KreisNr,GemeindeNr,Gemeindename,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,SPD,DIE LINKE,FDP,GRÜNE,Sonstige
51,51000,"Erfurt, Stadt",50,,161518,79971,49.5,2464,77507,229179,25,12,13,-,-,-
52,52000,"Gera, Stadt",46,,93103,43124,46.3,1653,41471,122647,16,10,15,-,-,5
53,53000,"Jena, Stadt",42,,77789,41259,53,980,40279,119421,10,10,9,6,3,4
54,54000,"Suhl, Stadt",42,,39734,21505,54.1,584,20921,61705,19,10,13,-,-,-
55,55000,"Weimar, Stadt",42,,49064,25267,51.5,760,24507,72428,15,12,8,-,4,3
56,56000,"Eisenach, Stadt",36,,35916,18342,51.1,613,17729,52180,17,9,7,-,-,3
61,61001,Arenshausen,12,,780,528,67.7,9,519,1551,5,4,-,-,-,3
61,61002,Asbach-Sickenberg,6,,89,81,91,5,76,227,-,-,-,-,-,6
61,61003,Berlingerode,12,,998,727,72.8,18,709,2112,5,-,-,7,-,-
61,61004,Bernterode (b. Heilb. Heiligenst.),6,,234,169,72.2,7,162,478,4,-,-,-,-,2
61,61005,Bernterode (bei Worbis),12,,1178,814,69.1,43,771,2287,7,-,-,-,-,5
61,61006,Beuren,12,x,1021,663,64.9,38,625,4793,12,-,-,-,-,-
61,61007,Birkenfelde,8,,471,344,73,15,329,970,7,-,-,-,-,1
61,61009,Bischofferode,14,,1779,1228,69,29,1199,3507,5,-,-,-,-,9
61,61011,Bockelnhagen,8,,384,294,76.6,12,282,837,2,3,-,-,-,3
61,61012,Bodenrode-Westhausen,12,,896,683,76.2,25,658,1932,8,-,-,-,-,4
61,61014,Bornhagen,6,,275,237,86.2,10,227,675,1,-,-,-,-,5
61,61015,Brehme,12,,931,763,82,19,744,2195,7,-,-,-,-,5
61,61016,Breitenbach,12,,769,649,84.4,38,611,1822,6,-,-,-,-,6
61,61017,Breitenworbis,14,,1854,1343,72.4,38,1305,3834,8,4,-,2,-,-
61,61018,Büttstedt,12,x,765,550,71.9,71,479,3915,12,-,-,-,-,-
61,61019,Buhla,8,,524,378,72.1,20,358,1052,-,5,1,2,-,-
61,61021,Burgwalde,6,,196,161,82.1,14,147,432,2,-,-,-,-,4
61,61022,Deuna,12,,815,645,79.1,28,617,1818,10,-,-,-,-,2
61,61023,Dieterode,6,x,80,69,86.3,2,67,368,-,-,-,-,-,6
61,61024,Dietzenrode/Vatterode,6,,108,94,87,2,92,276,-,-,-,-,-,6
61,61025,"Dingelstädt, Stadt",20,,3924,2485,63.3,80,2405,7129,14,2,-,2,-,2
61,61026,Ecklingerode,8,x,632,422,66.8,15,407,2705,-,-,-,-,-,8
61,61027,Effelder,12,,1079,819,75.9,26,793,2364,2,-,-,-,-,10
61,61028,Eichstruth,6,x,70,63,90,2,61,314,-,-,-,-,-,6
61,61031,Ferna,8,x,479,341,71.2,17,324,1725,8,-,-,-,-,-
61,61032,Freienhagen,6,x,277,217,78.3,6,211,1088,6,-,-,-,-,-
61,61033,Fretterode,6,x,167,139,83.2,3,136,718,-,-,-,-,-,6
61,61034,Geisleden,12,x,938,634,67.6,45,589,5227,-,-,-,-,-,12
61,61035,Geismar,12,x,999,680,68.1,35,645,4667,-,-,-,-,-,12
61,61036,Gerbershausen,8,x,533,417,78.2,17,400,2663,8,-,-,-,-,-
61,61037,Gernrode,12,,1252,986,78.8,62,924,2734,8,-,-,1,-,3
61,61038,Gerterode,6,,350,288,82.3,12,276,813,-,1,-,-,-,5
61,61039,Glasehausen,6,x,133,121,91,1,120,631,-,-,-,-,-,6
61,61041,Großbartloff,12,,778,641,82.4,23,618,1822,9,-,-,3,-,-
61,61042,Großbodungen,12,,1248,971,77.8,63,908,2676,-,-,-,-,-,12
61,61043,Hausen,6,x,352,258,73.3,9,249,1238,6,-,-,-,-,-
61,61044,Haynrode,8,,623,401,64.4,12,389,1128,3,4,-,-,-,1
61,61045,"Heilbad Heiligenstadt, Stadt",24,,13244,7991,60.3,152,7839,23116,15,5,4,-,-,-
61,61046,Helmsdorf,8,,453,346,76.4,15,331,978,5,-,-,-,-,3
61,61047,Heuthen,8,,623,503,80.7,46,457,1334,5,-,-,-,-,3
61,61048,Hohengandern,8,,461,382,82.9,26,356,1037,3,-,-,-,-,5
61,61049,Hohes Kreuz,12,,1083,732,67.6,38,694,2054,8,-,-,-,-,4
61,61051,Holungen,12,x,757,465,61.4,43,422,2749,12,-,-,-,-,-
61,61052,Hundeshagen,12,,970,660,68,25,635,1878,4,-,-,-,-,8
61,61053,Jützenbach,8,,435,352,80.9,20,332,986,6,-,-,-,-,2
61,61054,Kallmerode,8,,459,361,78.6,7,354,1056,6,-,-,-,-,2
61,61055,Kefferhausen,8,,622,466,74.9,20,446,1301,7,-,-,-,-,1
61,61056,Kella,8,,448,377,84.2,8,369,1095,6,-,-,-,-,2
61,61057,Kirchgandern,8,,477,343,71.9,18,325,962,6,-,-,2,-,-
61,61058,Kirchworbis,12,,1167,771,66.1,47,724,2120,7,-,-,1,-,4
61,61059,Kleinbartloff,6,,374,286,76.5,11,275,813,4,-,-,-,-,2
61,61061,Kreuzebra,8,,560,443,79.1,13,430,1270,6,-,-,2,-,-
61,61062,Krombach,6,,169,150,88.8,8,142,426,4,-,-,-,-,2
61,61063,Küllstedt,12,,1187,945,79.6,24,921,2739,7,-,-,-,-,5
