KreisNr,GemeindeNr,Gemeindename,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,DIE LINKE,SPD,FDP,GRÜNE,Sonstige
51,51000,"Erfurt, Stadt",50,,164760,68404,41.5,1712,66692,198640,20,17,8,-,5,-
52,52000,"Gera, Stadt",46,,88552,35043,39.6,1060,33983,100838,14,18,6,-,-,8
53,53000,"Jena, Stadt",46,,84153,36880,43.8,1085,35795,106294,10,11,9,4,6,6
54,54000,"Suhl, Stadt",36,,36835,17514,47.5,368,17146,51067,9,12,4,-,-,11
55,55000,"Weimar, Stadt",42,,51804,22088,42.6,661,21427,63642,13,9,5,-,6,9
56,56000,"Eisenach, Stadt",36,,36492,15374,42.1,400,14974,44286,13,9,6,-,3,5
61,61001,Arenshausen,12,,819,439,53.6,18,421,1256,7,-,3,-,-,2
61,61002,Asbach-Sickenberg,6,x,94,73,77.7,6,67,320,-,-,-,-,-,6
61,61003,Berlingerode,12,,1006,605,60.1,10,595,1767,5,-,-,7,-,-
61,61004,Bernterode (b. Heilb. Heiligenst.),6,x,235,167,71.1,3,164,814,-,-,-,-,-,6
61,61005,Bernterode (bei Worbis),12,,1192,718,60.2,24,694,2063,5,-,-,-,-,7
61,61007,Birkenfelde,8,x,485,295,60.8,12,283,1942,8,-,-,-,-,-
61,61009,Bischofferode,14,,1683,917,54.5,45,872,2577,6,-,-,-,-,8
61,61011,Bockelnhagen,6,,377,272,72.1,24,248,736,-,-,3,-,-,3
61,61012,Bodenrode-Westhausen,12,,958,585,61.1,21,564,1688,9,-,-,-,-,3
61,61014,Bornhagen,6,,248,229,92.3,4,225,672,-,-,4,-,-,2
61,61015,Brehme,12,,958,743,77.6,15,728,2155,5,-,-,-,-,7
61,61017,Breitenworbis,14,,1807,894,49.5,38,856,2527,10,-,4,-,-,-
61,61018,Büttstedt,12,x,786,408,51.9,55,353,3209,12,-,-,-,-,-
61,61019,Buhla,8,,506,341,67.4,8,333,988,-,2,5,1,-,-
61,61021,Burgwalde,6,,211,173,82,32,141,418,2,-,-,-,-,4
61,61022,Deuna,12,,852,597,70.1,31,566,1675,9,-,-,-,-,3
61,61023,Dieterode,6,x,86,75,87.2,2,73,397,-,-,-,-,-,6
61,61024,Dietzenrode/Vatterode,6,,111,85,76.6,7,78,228,-,-,-,-,-,6
61,61025,"Dingelstädt, Stadt",16,,3928,1829,46.6,34,1795,5358,11,-,-,1,-,4
61,61026,Ecklingerode,8,,630,370,58.7,29,341,1013,5,-,-,-,-,3
61,61027,Effelder,12,x,1089,723,66.4,15,708,6066,-,-,-,-,-,12
61,61028,Eichstruth,6,x,68,60,88.2,1,59,315,-,-,-,-,-,6
61,61031,Ferna,8,,494,360,72.9,20,340,1007,5,-,-,-,-,3
61,61032,Freienhagen,6,x,278,171,61.5,20,151,673,6,-,-,-,-,-
61,61033,Fretterode,6,x,154,116,75.3,6,110,631,-,-,-,-,-,6
61,61034,Geisleden,12,x,967,529,54.7,20,509,4809,12,-,-,-,-,-
61,61035,Geismar,12,,1037,666,64.2,45,621,1820,11,-,-,-,-,1
61,61036,Gerbershausen,8,x,560,374,66.8,16,358,2661,8,-,-,-,-,-
61,61037,Gernrode,12,,1342,825,61.5,25,800,2360,8,-,-,1,-,3
61,61038,Gerterode,6,,355,221,62.3,27,194,564,-,-,-,-,-,6
61,61039,Glasehausen,6,x,140,128,91.4,2,126,708,-,-,-,-,-,6
61,61041,Großbartloff,12,,813,694,85.4,19,675,1988,8,-,-,-,-,4
61,61042,Großbodungen,12,,1257,970,77.2,37,933,2763,-,-,-,-,-,12
61,61043,Hausen,6,x,392,250,63.8,10,240,1174,6,-,-,-,-,-
61,61044,Haynrode,8,,631,407,64.5,17,390,1134,3,-,2,-,-,3
61,61045,"Heilbad Heiligenstadt, Stadt",24,,14021,6843,48.8,159,6684,19784,17,4,3,-,-,-
61,61046,Helmsdorf,8,,461,332,72,22,310,921,3,-,-,-,-,5
61,61047,Heuthen,8,x,628,397,63.2,6,391,2643,8,-,-,-,-,-
61,61048,Hohengandern,8,,465,313,67.3,16,297,878,5,-,1,-,-,2
61,61049,Hohes Kreuz,12,,1101,570,51.8,25,545,1620,9,-,-,-,-,3
61,61051,Holungen,8,x,744,379,50.9,34,345,2189,8,-,-,-,-,-
61,61052,Hundeshagen,12,,1033,571,55.3,24,547,1639,7,-,-,-,-,5
61,61053,Jützenbach,8,,436,319,73.2,22,297,883,6,-,-,-,-,2
61,61054,Kallmerode,8,,490,343,70,6,337,1011,5,-,-,-,-,3
61,61055,Kefferhausen,8,,647,341,52.7,40,301,878,6,-,-,2,-,-
61,61056,Kella,8,x,465,297,63.9,9,288,1929,8,-,-,-,-,-
61,61057,Kirchgandern,8,,478,317,66.3,35,282,829,6,-,-,2,-,-
61,61058,Kirchworbis,12,,1201,589,49,46,543,1599,-,-,-,-,-,12
61,61059,Kleinbartloff,6,,378,254,67.2,7,247,737,4,-,-,-,-,2
61,61061,Kreuzebra,8,,619,424,68.5,18,406,1190,3,1,-,4,-,-
61,61062,Krombach,6,x,174,145,83.3,1,144,844,-,-,-,-,-,6
61,61063,Küllstedt,12,,1224,884,72.2,12,872,2589,7,-,-,-,-,5
61,61065,Lenterode,6,,268,223,83.2,7,216,643,2,-,-,-,-,4
61,61066,Lindewerra,6,,211,180,85.3,-,180,538,-,-,-,-,1,5
61,61067,Lutter,8,x,610,411,67.4,5,406,2670,8,-,-,-,-,-
61,61068,Mackenrode,8,,314,188,59.9,15,173,508,6,-,-,-,-,2
61,61069,Marth,6,,280,192,68.6,4,188,562,6,-,-,-,-,-
61,61073,Neustadt,8,,594,261,43.9,28,233,674,6,-,-,-,-,2
61,61074,Niederorschel,16,,2712,1480,54.6,72,1408,4160,9,-,3,2,-,2
61,61075,Pfaffschwende,6,,279,197,70.6,7,190,562,-,-,2,-,-,4
61,61076,Reinholterode,8,x,653,469,71.8,9,460,3312,8,-,-,-,-,-
61,61077,Röhrig,6,x,198,150,75.8,7,143,748,-,-,-,-,-,6
61,61078,Rohrberg,6,,198,137,69.2,10,127,375,2,-,-,-,-,4
61,61082,Rustenfelde,8,,390,273,70,5,268,798,5,-,-,-,-,3
61,61083,Schachtebich,6,,208,142,68.3,18,124,367,-,-,-,-,-,6
61,61084,Schönhagen,6,,95,79,83.2,2,77,231,-,-,-,-,-,6
61,61085,Schwobfeld,6,,87,62,71.3,4,58,171,-,-,-,-,-,6
61,61086,Sickerode,6,x,139,86,61.9,3,83,449,-,-,-,-,-,6
61,61087,Silberhausen,8,x,570,367,64.4,8,359,2402,8,-,-,-,-,-
61,61088,Silkerode,6,x,342,214,62.6,3,211,1143,-,-,-,-,-,6
61,61089,Steinbach,8,,470,408,86.8,14,394,1171,5,-,-,-,-,3
61,61091,Steinheuterode,6,,231,210,90.9,9,201,603,6,-,-,-,-,-
61,61092,Steinrode,8,,461,314,68.1,32,282,836,-,-,-,-,-,8
61,61093,Stöckey,6,,363,286,78.8,7,279,836,2,-,-,4,-,-
61,61094,Tastungen,6,x,225,160,71.1,21,139,613,-,-,-,-,-,6
61,61096,Thalwenden,6,x,311,179,57.6,7,172,1019,-,-,-,-,-,6
61,61097,Uder,14,,2092,1114,53.3,40,1074,2864,10,-,-,-,-,4
61,61098,Volkerode,6,x,233,130,55.8,14,116,589,6,-,-,-,-,-
61,61099,Vollenborn,6,x,225,148,65.8,3,145,748,-,-,-,-,-,6
61,61101,Wachstedt,8,,477,386,80.9,7,379,1125,3,-,-,5,-,-
61,61102,Wahlhausen,6,x,253,194,76.7,3,191,1049,-,-,-,-,-,6
61,61103,Wehnde,6,,320,232,72.5,8,224,658,1,-,-,-,-,5
61,61104,Weißenborn-Lüderode,12,x,1203,657,54.6,23,634,6023,12,-,-,-,-,-
61,61105,Wiesenfeld,6,x,206,112,54.4,1,111,609,-,-,-,-,-,6
61,61107,Wingerode,12,,996,624,62.7,30,594,1757,9,-,-,-,-,3
61,61111,Wüstheuterode,8,,524,371,70.8,35,336,989,5,-,-,-,-,3
61,61112,Zwinge,6,x,363,154,42.4,12,142,641,-,-,-,-,-,6
61,61113,Schimberg,14,,1918,1272,66.3,72,1200,3548,6,-,-,-,-,8
61,61114,Teistungen,14,,2005,1125,56.1,43,1082,3227,10,1,-,3,-,-
61,61115,"Leinefelde-Worbis, Stadt",30,,16614,8049,48.4,367,7682,22914,17,5,3,-,-,5
62,62001,Auleben,12,,928,649,69.9,35,614,1813,3,-,4,-,-,5
62,62002,"Bleicherode, Stadt",20,,5390,2339,43.4,65,2274,6746,9,6,5,-,-,-
62,62004,Buchholz,6,,189,143,75.7,17,126,370,-,-,-,-,-,6
62,62005,"Ellrich, Stadt",20,,5219,2399,46,93,2306,6838,6,5,6,2,-,1
62,62006,Etzelsrode,6,x,85,67,78.8,2,65,355,-,-,-,-,-,6
62,62007,Friedrichsthal,6,,233,165,70.8,8,157,468,-,-,-,-,-,6
62,62008,Görsbach,12,,984,552,56.1,46,506,1477,3,1,-,-,-,8
62,62009,Großlohra,12,,888,463,52.1,19,444,1321,4,-,-,-,-,8
62,62014,Hainrode/Hainleite,6,,326,257,78.8,17,240,710,-,1,-,-,-,5
62,62015,Hamma,6,x,258,185,71.7,5,180,965,-,-,-,-,-,6
62,62016,Harzungen,6,x,197,134,68,-,134,523,-,-,-,-,-,6
62,62017,"Heringen/Helme, Stadt",14,,1995,1103,55.3,31,1072,3157,6,3,3,2,-,-
62,62018,Herrmannsacker,6,,343,213,62.1,20,193,557,-,-,-,-,-,6
62,62022,Ilfeld,16,,2677,1293,48.3,79,1214,3564,9,4,3,-,-,-
62,62024,Kehmstedt,8,,463,295,63.7,24,271,807,-,-,-,-,-,8
62,62025,Kleinbodungen,6,x,349,250,71.6,15,235,1097,-,-,-,-,-,6
62,62026,Kleinfurra,12,,1008,609,60.4,30,579,1704,4,-,-,-,-,8
62,62029,Kraja,6,x,279,175,62.7,8,167,749,-,-,-,-,-,6
62,62033,Lipprechterode,8,,552,418,75.7,25,393,1161,-,-,-,-,-,8
62,62036,Neustadt/Harz,12,,1054,634,60.2,22,612,1821,6,-,3,-,-,3
62,62037,Niedergebra,8,,692,466,67.3,36,430,1271,3,-,-,-,-,5
62,62038,Niedersachswerfen,16,,2790,1147,41.1,71,1076,3184,8,1,7,-,-,-
62,62039,Nohra,8,,853,444,52.1,25,419,1243,3,-,-,-,-,5
62,62041,"Nordhausen, Stadt",36,,36088,14741,40.8,521,14220,42160,14,9,11,2,-,-
62,62042,Obergebra,8,,755,426,56.4,26,400,1171,3,-,5,-,-,-
62,62044,Petersdorf,6,x,300,196,65.3,3,193,1059,-,-,-,-,-,6
62,62046,Rehungen,8,x,454,234,51.5,8,226,1312,-,-,-,-,-,8
62,62047,Rodishain,6,,228,174,76.3,5,169,504,-,-,-,-,-,6
62,62049,Sollstedt,16,,2623,1382,52.7,50,1332,3950,5,-,3,-,-,8
62,62052,Stempeda,6,x,238,191,80.3,5,186,927,-,-,-,-,-,6
62,62054,Urbach,12,,879,518,58.9,45,473,1399,2,-,-,-,-,10
62,62055,Uthleben,12,,997,666,66.8,42,624,1862,7,-,-,-,-,5
62,62057,Windehausen,8,x,444,293,66,12,281,1800,-,-,-,-,-,8
62,62058,Wipperdorf,12,,1359,681,50.1,66,615,1795,-,-,-,-,-,12
62,62059,Wolkramshausen,12,,968,607,62.7,16,591,1766,3,1,-,-,-,8
62,62062,Hohenstein,14,,2161,1377,63.7,72,1305,3833,6,2,3,3,-,-
62,62063,Werther,16,,3035,1945,64.1,85,1860,5537,5,4,3,-,-,4
63,63001,Andenhausen,6,x,204,100,49,15,85,383,-,-,-,-,-,6
63,63002,"Bad Liebenstein, Stadt",16,,3536,2100,59.4,84,2016,5932,-,-,-,-,-,16
63,63003,"Bad Salzungen, Stadt",24,,13799,5776,41.9,179,5597,16588,7,8,2,1,-,6
63,63004,Barchfeld,16,,2931,1604,54.7,44,1560,4631,1,4,9,-,-,2
63,63006,Berka v. d. Hainich,8,,714,478,66.9,59,419,1226,-,-,-,-,-,8
