KreisNr,GemeindeNr,Gemeindename,Anzahl Stimmbezirke,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,DIE LINKE,SPD,FDP,GRÜNE,NPD,REP,AfD,Sport-/,Feuerwehr/,Freie Wähler/,Sonstige
51,51000,Stadt Erfurt,173,50,,168923,79836,47.3,2697,77139,229492,12,11,15,1,5,1,-,2,-,-,2,1
52,52000,Stadt Gera,88,42,,81803,35661,43.6,1227,34434,101961,10,13,4,1,2,2,-,-,-,-,3,7
53,53000,Stadt Jena,95,46,,85068,43781,51.5,1087,42694,126941,10,11,10,2,5,-,-,-,-,-,-,8
54,54000,Stadt Suhl,34,36,,31544,14193,45,477,13716,40604,9,12,6,1,-,-,-,-,-,-,-,8
55,55000,Stadt Weimar,69,42,,51330,25456,49.6,1134,24322,72016,10,8,8,1,7,1,-,-,-,-,-,7
56,56000,Stadt Eisenach,47,36,,34699,17710,51,296,17414,51610,11,10,4,1,3,3,-,-,-,-,-,4
61,61001,Arenshausen,1,12,,842,443,52.6,12,431,1272,7,-,1,-,-,-,-,-,-,-,4,-
61,61002,Asbach-Sickenberg,1,6,x,80,77,96.3,-,77,320,-,-,-,-,-,-,-,-,-,-,6,-
61,61003,Berlingerode,1,12,,1011,623,61.6,20,603,1809,8,-,-,-,-,-,-,-,-,-,-,4
61,61004,Bernterode (bei Heilbad Heiligenstadt),1,6,x,209,137,65.6,2,135,680,-,-,-,-,-,-,-,-,-,-,6,-
61,61007,Birkenfelde,1,8,x,484,276,57,4,272,1816,-,-,-,-,-,-,-,-,-,-,8,-
61,61012,Bodenrode-Westhausen,2,12,,923,592,64.1,23,569,1679,7,-,-,-,-,-,-,-,-,-,5,-
61,61014,Bornhagen,1,6,x,210,151,71.9,2,149,642,-,-,-,-,-,-,-,-,-,6,-,-
61,61015,Brehme,1,12,,900,668,74.2,11,657,1961,5,-,-,-,-,-,-,-,-,-,7,-
61,61017,Breitenworbis,2,16,,2796,1471,52.6,24,1447,4326,9,-,3,-,-,-,-,-,-,-,-,4
