City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Erfurt,TH,2024,16.0,8.0,16.0,2.0,24.0,20.0,14.000000000000002
Gera,TH,2024,11.904761904761903,2.380952380952381,4.761904761904762,0.0,16.666666666666664,35.714285714285715,28.57142857142857
Jena,TH,2024,17.391304347826086,15.217391304347828,13.043478260869565,8.695652173913043,17.391304347826086,13.043478260869565,15.217391304347828
Suhl,TH,2024,11.11111111111111,2.7777777777777777,5.555555555555555,2.7777777777777777,36.11111111111111,25.0,16.666666666666664
Weimar,TH,2024,14.285714285714285,14.285714285714285,14.285714285714285,2.380952380952381,19.047619047619047,14.285714285714285,21.428571428571427
Leinefelde-Worbis,TH,2024,6.666666666666667,0.0,3.3333333333333335,3.3333333333333335,40.0,16.666666666666664,30.0
Nordhausen,TH,2024,11.11111111111111,5.555555555555555,13.88888888888889,2.7777777777777777,22.22222222222222,36.11111111111111,8.333333333333332
Bad Salzungen,TH,2024,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,23.333333333333332,23.333333333333332,43.333333333333336
Eisenach,TH,2024,8.333333333333332,8.333333333333332,13.88888888888889,2.7777777777777777,27.77777777777778,19.444444444444446,19.444444444444446
Mühlhausen,TH,2024,5.555555555555555,2.7777777777777777,25.0,2.7777777777777777,19.444444444444446,19.444444444444446,25.0
Sondershausen,TH,2024,10.0,0.0,13.333333333333334,0.0,20.0,20.0,36.666666666666664
Meiningen,TH,2024,6.666666666666667,3.3333333333333335,33.33333333333333,0.0,16.666666666666664,26.666666666666668,13.333333333333334
Gotha,TH,2024,2.7777777777777777,2.7777777777777777,33.33333333333333,2.7777777777777777,16.666666666666664,25.0,16.666666666666664
Arnstadt,TH,2024,10.0,3.3333333333333335,6.666666666666667,3.3333333333333335,16.666666666666664,23.333333333333332,36.666666666666664
Ilmenau,TH,2024,11.11111111111111,5.555555555555555,5.555555555555555,2.7777777777777777,27.77777777777778,25.0,22.22222222222222
Apolda,TH,2024,6.666666666666667,3.3333333333333335,0.0,6.666666666666667,30.0,26.666666666666668,26.666666666666668
Sonneberg,TH,2024,6.666666666666667,0.0,3.3333333333333335,3.3333333333333335,16.666666666666664,33.33333333333333,36.666666666666664
Rudolstadt,TH,2024,6.666666666666667,3.3333333333333335,13.333333333333334,3.3333333333333335,13.333333333333334,26.666666666666668,33.33333333333333
Saalfeld,TH,2024,6.666666666666667,3.3333333333333335,10.0,6.666666666666667,36.666666666666664,23.333333333333332,13.333333333333334
Greiz,TH,2024,6.666666666666667,3.3333333333333335,10.0,0.0,36.666666666666664,26.666666666666668,16.666666666666664
Altenburg,TH,2024,11.11111111111111,0.0,8.333333333333332,2.7777777777777777,27.77777777777778,25.0,25.0
Erfurt,TH,2019,16.0,12.0,18.0,6.0,20.0,14.000000000000002,14.000000000000002
Gera,TH,2019,19.047619047619047,7.142857142857142,7.142857142857142,2.380952380952381,14.285714285714285,28.57142857142857,21.428571428571427
Jena,TH,2019,19.565217391304348,19.565217391304348,13.043478260869565,13.043478260869565,13.043478260869565,10.869565217391305,10.869565217391305
Suhl,TH,2019,19.444444444444446,5.555555555555555,11.11111111111111,2.7777777777777777,30.555555555555557,11.11111111111111,19.444444444444446
Weimar,TH,2019,16.666666666666664,19.047619047619047,14.285714285714285,2.380952380952381,16.666666666666664,11.904761904761903,19.047619047619047
Eisenach,TH,2019,22.22222222222222,11.11111111111111,11.11111111111111,5.555555555555555,19.444444444444446,11.11111111111111,19.444444444444446
Leinefelde-Worbis,TH,2019,10.0,0.0,6.666666666666667,3.3333333333333335,53.333333333333336,13.333333333333334,13.333333333333334
Nordhausen,TH,2019,22.22222222222222,8.333333333333332,16.666666666666664,8.333333333333332,22.22222222222222,22.22222222222222,0.0
Bad Salzungen,TH,2019,13.333333333333334,3.3333333333333335,3.3333333333333335,3.3333333333333335,16.666666666666664,13.333333333333334,46.666666666666664
Mühlhausen,TH,2019,11.11111111111111,8.333333333333332,16.666666666666664,2.7777777777777777,19.444444444444446,13.88888888888889,27.77777777777778
Sondershausen,TH,2019,10.0,3.3333333333333335,10.0,0.0,20.0,10.0,46.666666666666664
Meiningen,TH,2019,6.666666666666667,10.0,33.33333333333333,3.3333333333333335,16.666666666666664,13.333333333333334,16.666666666666664
Gotha,TH,2019,13.88888888888889,8.333333333333332,30.555555555555557,2.7777777777777777,16.666666666666664,16.666666666666664,11.11111111111111
Arnstadt,TH,2019,11.76470588235294,5.88235294117647,8.823529411764707,2.941176470588235,17.647058823529413,17.647058823529413,35.294117647058826
Ilmenau,TH,2019,12.5,10.0,7.5,2.5,25.0,15.0,27.500000000000004
Apolda,TH,2019,10.0,6.666666666666667,6.666666666666667,6.666666666666667,30.0,16.666666666666664,23.333333333333332
Sonneberg,TH,2019,16.666666666666664,0.0,10.0,6.666666666666667,40.0,23.333333333333332,3.3333333333333335
Rudolstadt,TH,2019,10.0,3.3333333333333335,13.333333333333334,3.3333333333333335,16.666666666666664,23.333333333333332,30.0
Saalfeld,TH,2019,12.5,9.375,12.5,9.375,31.25,15.625,9.375
Greiz,TH,2019,13.333333333333334,0.0,13.333333333333334,3.3333333333333335,40.0,13.333333333333334,16.666666666666664
Altenburg,TH,2019,13.88888888888889,2.7777777777777777,11.11111111111111,2.7777777777777777,30.555555555555557,0.0,38.88888888888889
Erfurt,TH,2014,22.0,10.0,30.0,2.0,24.0,4.0,8.0
Gera,TH,2014,30.952380952380953,4.761904761904762,9.523809523809524,2.380952380952381,23.809523809523807,0.0,28.571428571428584
Jena,TH,2014,23.91304347826087,10.869565217391305,21.73913043478261,4.3478260869565215,21.73913043478261,0.0,17.39130434782608
Suhl,TH,2014,33.33333333333333,0.0,16.666666666666664,2.7777777777777777,25.0,0.0,22.22222222222223
Weimar,TH,2014,19.047619047619047,16.666666666666664,19.047619047619047,2.380952380952381,23.809523809523807,0.0,19.047619047619065
Eisenach,TH,2014,27.77777777777778,8.333333333333332,11.11111111111111,2.7777777777777777,30.555555555555557,0.0,19.444444444444457
Leinefelde-Worbis,TH,2014,12.5,0.0,8.333333333333332,0.0,58.333333333333336,0.0,20.83333333333333
Nordhausen,TH,2014,22.22222222222222,8.333333333333332,30.555555555555557,5.555555555555555,30.555555555555557,0.0,2.7777777777777715
Bad Salzungen,TH,2014,20.833333333333336,4.166666666666666,4.166666666666666,4.166666666666666,25.0,0.0,41.66666666666667
Mühlhausen,TH,2014,19.444444444444446,5.555555555555555,27.77777777777778,5.555555555555555,19.444444444444446,0.0,22.222222222222214
Sondershausen,TH,2014,20.0,3.3333333333333335,20.0,0.0,26.666666666666668,0.0,30.0
Meiningen,TH,2014,16.666666666666664,6.666666666666667,26.666666666666668,0.0,23.333333333333332,0.0,26.666666666666657
Gotha,TH,2014,19.444444444444446,2.7777777777777777,36.11111111111111,2.7777777777777777,22.22222222222222,0.0,16.666666666666686
Arnstadt,TH,2014,23.333333333333332,0.0,16.666666666666664,3.3333333333333335,16.666666666666664,0.0,40.0
Ilmenau,TH,2014,23.333333333333332,0.0,10.0,3.3333333333333335,33.33333333333333,0.0,30.000000000000014
Apolda,TH,2014,20.0,3.3333333333333335,10.0,6.666666666666667,36.666666666666664,0.0,23.333333333333343
Sonneberg,TH,2014,26.666666666666668,3.3333333333333335,16.666666666666664,6.666666666666667,43.333333333333336,0.0,3.333333333333343
Rudolstadt,TH,2014,16.666666666666664,6.666666666666667,16.666666666666664,3.3333333333333335,23.333333333333332,0.0,33.33333333333334
Saalfeld,TH,2014,23.333333333333332,6.666666666666667,13.333333333333334,10.0,33.33333333333333,0.0,13.333333333333343
Greiz,TH,2014,16.666666666666664,0.0,23.333333333333332,3.3333333333333335,26.666666666666668,0.0,30.000000000000014
Altenburg,TH,2014,22.22222222222222,8.333333333333332,25.0,2.7777777777777777,25.0,0.0,16.66666666666667
Erfurt,TH,2009,20.0,8.0,34.0,6.0,22.0,0.0,10.0
Gera,TH,2009,30.434782608695656,4.3478260869565215,13.043478260869565,6.521739130434782,28.26086956521739,0.0,17.391304347826086
Jena,TH,2009,19.565217391304348,10.869565217391305,23.91304347826087,10.869565217391305,19.565217391304348,0.0,15.217391304347828
Suhl,TH,2009,30.555555555555557,0.0,16.666666666666664,8.333333333333332,22.22222222222222,0.0,22.22222222222222
Weimar,TH,2009,19.047619047619047,14.285714285714285,14.285714285714285,7.142857142857142,23.809523809523807,0.0,21.428571428571427
Eisenach,TH,2009,19.444444444444446,8.333333333333332,16.666666666666664,5.555555555555555,33.33333333333333,0.0,16.666666666666664
Leinefelde-Worbis,TH,2009,13.333333333333334,6.666666666666667,10.0,3.3333333333333335,53.333333333333336,0.0,13.333333333333334
Nordhausen,TH,2009,22.22222222222222,5.555555555555555,36.11111111111111,8.333333333333332,25.0,0.0,2.7777777777777777
Bad Salzungen,TH,2009,25.0,4.166666666666666,8.333333333333332,4.166666666666666,20.833333333333336,0.0,37.5
Mühlhausen,TH,2009,22.22222222222222,2.7777777777777777,22.22222222222222,11.11111111111111,30.555555555555557,0.0,11.11111111111111
Sondershausen,TH,2009,20.0,3.3333333333333335,16.666666666666664,3.3333333333333335,30.0,0.0,26.666666666666668
Meiningen,TH,2009,23.333333333333332,10.0,16.666666666666664,3.3333333333333335,20.0,0.0,26.666666666666668
Gotha,TH,2009,19.444444444444446,2.7777777777777777,30.555555555555557,5.555555555555555,25.0,0.0,16.666666666666664
Arnstadt,TH,2009,23.333333333333332,0.0,16.666666666666664,6.666666666666667,16.666666666666664,0.0,36.666666666666664
Ilmenau,TH,2009,20.0,0.0,10.0,3.3333333333333335,40.0,0.0,26.666666666666668
Apolda,TH,2009,20.0,3.3333333333333335,10.0,10.0,36.666666666666664,0.0,20.0
Sonneberg,TH,2009,26.666666666666668,0.0,20.0,13.333333333333334,40.0,0.0,0.0
Rudolstadt,TH,2009,20.0,0.0,16.666666666666664,3.3333333333333335,23.333333333333332,0.0,36.666666666666664
Saalfeld,TH,2009,23.333333333333332,0.0,20.0,13.333333333333334,30.0,0.0,13.333333333333334
Greiz,TH,2009,13.333333333333334,0.0,30.0,13.333333333333334,23.333333333333332,0.0,20.0
Altenburg,TH,2009,25.0,2.7777777777777777,30.555555555555557,11.11111111111111,30.555555555555557,0.0,0.0
Erfurt,TH,2004,34.0,10.0,16.0,0.0,40.0,0.0,0.0
Gera,TH,2004,39.130434782608695,0.0,13.043478260869565,0.0,30.434782608695656,0.0,17.391304347826086
Jena,TH,2004,23.91304347826087,13.043478260869565,19.565217391304348,8.695652173913043,21.73913043478261,0.0,13.043478260869565
Suhl,TH,2004,33.33333333333333,0.0,11.11111111111111,0.0,25.0,0.0,30.555555555555557
Weimar,TH,2004,21.428571428571427,14.285714285714285,11.904761904761903,0.0,30.952380952380953,0.0,21.428571428571427
Eisenach,TH,2004,25.0,8.333333333333332,16.666666666666664,0.0,36.11111111111111,0.0,13.88888888888889
Leinefelde-Worbis,TH,2004,16.666666666666664,0.0,10.0,0.0,56.666666666666664,0.0,16.666666666666664
Nordhausen,TH,2004,25.0,0.0,30.555555555555557,5.555555555555555,38.88888888888889,0.0,0.0
Bad Salzungen,TH,2004,33.33333333333333,0.0,8.333333333333332,4.166666666666666,29.166666666666668,0.0,25.0
Mühlhausen,TH,2004,27.77777777777778,0.0,22.22222222222222,8.333333333333332,33.33333333333333,0.0,8.333333333333332
Sondershausen,TH,2004,26.666666666666668,0.0,13.333333333333334,0.0,36.666666666666664,0.0,23.333333333333332
Meiningen,TH,2004,30.0,6.666666666666667,10.0,0.0,23.333333333333332,0.0,30.0
Gotha,TH,2004,27.77777777777778,0.0,19.444444444444446,0.0,33.33333333333333,0.0,19.444444444444446
Arnstadt,TH,2004,30.0,0.0,13.333333333333334,6.666666666666667,23.333333333333332,0.0,26.666666666666668
Ilmenau,TH,2004,23.333333333333332,0.0,13.333333333333334,0.0,46.666666666666664,0.0,16.666666666666664
Apolda,TH,2004,23.333333333333332,0.0,13.333333333333334,10.0,46.666666666666664,0.0,6.666666666666667
Sonneberg,TH,2004,26.666666666666668,0.0,16.666666666666664,10.0,46.666666666666664,0.0,0.0
Rudolstadt,TH,2004,20.0,0.0,13.333333333333334,0.0,26.666666666666668,0.0,40.0
Saalfeld,TH,2004,26.666666666666668,0.0,20.0,6.666666666666667,33.33333333333333,0.0,13.333333333333334
Greiz,TH,2004,16.666666666666664,0.0,40.0,13.333333333333334,30.0,0.0,0.0
Altenburg,TH,2004,33.33333333333333,0.0,27.77777777777778,0.0,38.88888888888889,0.0,0.0
Erfurt,TH,1999,26.0,0.0,24.0,0.0,50.0,0.0,0.0
Gera,TH,1999,32.608695652173914,0.0,21.73913043478261,0.0,34.78260869565217,0.0,10.869565217391305
Jena,TH,1999,21.428571428571427,7.142857142857142,23.809523809523807,14.285714285714285,23.809523809523807,0.0,9.523809523809524
Suhl,TH,1999,30.952380952380953,0.0,23.809523809523807,0.0,45.23809523809524,0.0,0.0
Weimar,TH,1999,19.047619047619047,9.523809523809524,28.57142857142857,0.0,35.714285714285715,0.0,7.142857142857142
Eisenach,TH,1999,19.444444444444446,0.0,25.0,0.0,47.22222222222222,0.0,8.333333333333332
Nordhausen,TH,1999,22.22222222222222,0.0,38.88888888888889,0.0,38.88888888888889,0.0,0.0
Bad Salzungen,TH,1999,33.33333333333333,0.0,29.166666666666668,0.0,37.5,0.0,0.0
Mühlhausen,TH,1999,19.444444444444446,0.0,33.33333333333333,8.333333333333332,33.33333333333333,0.0,5.555555555555555
