Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,State,District,City,Yearly Difference,Yearly Mean Difference,Normalized Difference
DEBB065,PM10,2004,20.874,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,,-2.106560830860534,
DEBB069,PM10,2005,27.765,ug/m3,Traffic,urban,12.5892,52.1421,BB,Potsdam-Mittelmark,Bad Belzig,6.891000000000002,0.29723809523809525,23.183434796539576
DEBB065,PM10,2005,21.602,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-6.163,0.29723809523809525,-20.734219801345724
DEBB069,PM10,2006,30.938,ug/m3,Traffic,urban,12.5892,52.1421,BB,Potsdam-Mittelmark,Bad Belzig,9.335999999999999,0.6694746835443037,13.945262202558212
DEBB065,PM10,2006,20.475,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-10.462999999999997,0.6694746835443037,-15.628671639392305
DEBB069,PM10,2007,15.75,ug/m3,Traffic,urban,12.5892,52.1421,BB,Potsdam-Mittelmark,Bad Belzig,-4.725000000000001,-1.451907010014306,3.2543406481338253
DEBB065,PM10,2007,17.202,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,1.4520000000000017,-1.451907010014306,-1.0000640467916018
DEBB065,PM10,2008,17.045,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.15700000000000003,-0.4787074122236671,0.32796651146618283
DEBB065,PM10,2009,16.678,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.3670000000000009,0.42221114683815647,-0.8692333273253932
DEBB065,PM10,2010,20.55,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,3.872,0.34169937369519826,11.331598176863768
DEBB065,PM10,2011,17.927,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-2.623000000000001,-0.18009193776520507,14.564783035538984
DEBB065,PM10,2012,15.073,ug/m3,Background,rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-2.853999999999999,-0.9996726057906459,2.85493468908529
DEBB065,PM10,2013,15.596,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.5229999999999997,0.31199032882011607,1.6763340132300872
DEBB065,PM10,2014,10.922,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-4.6739999999999995,-0.17379324055665993,26.89402640188521
DEBB065,PM10,2015,14.719,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,3.796999999999999,-0.5690783132530122,-6.672192405813667
DEBB065,PM10,2016,14.542,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.1769999999999996,-0.7219779116465863,0.24515985481650365
DEBB065,PM10,2017,15.039,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.4969999999999999,-0.10794789579158322,-4.604073070211261
DEBB065,PM10,2018,14.547,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.4919999999999991,0.5549171597633136,-0.8866188247086281
DEBB065,PM10,2018,14.982,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.4349999999999987,0.5549171597633136,0.7839007901387252
DEBB065,PM10,2019,13.336,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-1.645999999999999,-1.3484574257425743,1.2206540366623535
DEBB065,PM10,2020,10.905,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-2.431000000000001,-0.7518148893360161,3.233508719343133
DEBB065,PM10,2020,11.073,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.16800000000000104,-0.7518148893360161,-0.22345926155888504
DEBB065,PM10,2021,11.129,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.05599999999999916,0.13464471057884236,0.4159093941325521
DEBB065,PM10,2021,11.886,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.7569999999999997,0.13464471057884236,5.622203774256189
DEBB065,PM10,2022,11.841,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-0.04499999999999993,0.18983300589390964,-0.23705045278137088
DEBB065,PM10,2022,12.231,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.39000000000000057,0.18983300589390964,2.054437257438554
DEBB065,PM10,2023,9.894,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-2.3369999999999997,-1.1112631578947367,2.103012219380506
DEBB065,PM10,2023,9.94,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,0.045999999999999375,-1.1112631578947367,-0.04139433551198201
DEBB065,PM10,2024,11.935,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,1.995000000000001,0.3032672811059907,6.578355544074523
DEBB065,PM10,2025,7.364,ug/m3,Background,Rural,12.5614,52.1942,BB,Potsdam-Mittelmark,Bad Belzig,-4.571000000000001,2.278094117647059,-2.0065018229892893
DEBB068,PM10,2006,39.065,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,,0.6694746835443037,
DEBB068,PM10,2006,39.065,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.0,0.6694746835443037,0.0
DEBB068,PM10,2007,26.61,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-12.454999999999998,-1.451907010014306,8.578373073546407
DEBB068,PM10,2007,26.61,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.0,-1.451907010014306,-0.0
DEBB068,PM10,2007,26.217,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-0.3930000000000007,-1.451907010014306,0.27067849200351224
DEBB068,PM10,2007,26.217,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.0,-1.451907010014306,-0.0
DEBB068,PM10,2008,25.132,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-1.0849999999999973,-0.4787074122236671,2.266520158858646
DEBB068,PM10,2008,25.132,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.0,-0.4787074122236671,-0.0
DEBB068,PM10,2009,28.256,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,3.1239999999999988,0.42221114683815647,7.399141456579075
DEBB068,PM10,2009,28.256,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.0,0.42221114683815647,0.0
DEBB068,PM10,2010,31.177,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,2.9209999999999994,0.34169937369519826,8.54844996761856
DEBB068,PM10,2010,31.177,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.0,0.34169937369519826,0.0
DEBB068,PM10,2011,29.734,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-1.4429999999999978,-0.18009193776520507,8.01257412134301
DEBB068,PM10,2011,29.734,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.0,-0.18009193776520507,-0.0
DEBB068,PM10,2012,23.521,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,-6.213000000000001,-0.9996726057906459,6.215034766393453
DEBB068,PM10,2012,23.521,ug/m3,Traffic,urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,0.0,-0.9996726057906459,-0.0
DEBB068,PM10,2013,25.466,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,1.9450000000000003,0.31199032882011607,6.2341676017830245
DEBB068,PM10,2014,27.101,ug/m3,Traffic,Urban,13.5823,52.6777,BB,Barnim,Bernau bei Berlin,1.634999999999998,-0.17379324055665993,-9.407730673316703
